date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:18,C,66,9
2019-03-26T13:10:06,C,66,11
2019-03-26T13:20:25,C,66,11
2019-03-26T13:31:10,C,66,14
2019-03-26T13:39:51,C,66,15
2019-03-26T13:49:35,C,66,16
2019-03-26T14:00:24,C,66,14
2019-03-26T14:10:14,C,66,18
2019-03-26T14:19:36,C,66,14
2019-03-26T14:30:09,C,66,18
2019-03-26T14:40:15,C,66,17
2019-03-26T14:50:59,C,66,16
2019-03-26T15:00:13,C,66,13
2019-03-26T15:11:33,C,66,12
2019-03-26T15:20:03,C,66,12
2019-03-26T15:30:15,C,66,10
2019-03-26T15:39:09,C,66,15
2019-03-26T15:50:59,C,66,12
2019-03-26T16:00:50,C,66,11
2019-03-26T16:10:14,C,66,10
2019-03-26T16:20:53,C,66,11
2019-03-26T16:31:47,C,66,10
2019-03-26T16:40:53,C,66,13
2019-03-26T16:51:00,C,66,11
2019-03-26T17:00:36,C,66,13
2019-03-26T17:11:00,C,66,14
2019-03-26T17:19:00,C,66,17
2019-03-26T17:31:19,C,66,13
2019-03-26T17:40:08,C,66,12
2019-03-26T17:51:01,C,66,11
2019-03-26T18:11:02,C,66,22
2019-03-26T18:31:14,C,66,25
2019-03-26T18:42:05,C,66,23
2019-03-26T18:52:58,C,66,18
2019-03-26T19:02:01,C,66,17
2019-03-26T19:12:12,C,66,21
2019-03-26T19:22:01,C,66,25
2019-03-26T19:33:18,C,66,26
2019-03-26T19:42:36,C,66,22
2019-03-26T19:52:41,C,66,22
2019-03-26T20:01:20,C,66,21
2019-03-26T20:12:29,C,66,22
2019-03-26T20:19:29,C,66,22
2019-03-26T20:33:47,C,66,27
2019-03-26T20:43:29,C,66,29
2019-03-26T20:52:38,C,66,28
2019-03-26T21:03:25,C,66,24
2019-03-26T21:13:10,C,66,20
2019-03-26T21:22:03,C,66,22
2019-03-26T21:33:17,C,66,23
2019-03-26T21:39:25,C,66,26
2019-03-26T21:51:25,C,66,26
2019-03-26T22:01:45,C,66,24
2019-03-26T22:11:25,C,66,25
2019-03-26T22:23:29,C,66,27
2019-03-26T22:34:06,C,66,25
2019-03-26T22:42:47,C,66,25
2019-03-26T22:53:22,C,66,24
2019-03-26T23:03:26,C,66,22
2019-03-26T23:11:55,C,66,25
2019-03-26T23:24:32,C,66,23
2019-03-26T23:33:38,C,66,22
2019-03-26T23:44:02,C,66,22
2019-03-26T23:51:40,C,66,24
2019-03-27T00:03:27,C,66,23
2019-03-27T00:12:37,C,66,21
2019-03-27T00:19:27,C,66,21
2019-03-27T00:27:27,C,66,21
2019-03-27T00:43:28,C,66,22
2019-03-27T00:54:27,C,66,22
2019-03-27T01:03:28,C,66,22
2019-03-27T01:11:28,C,66,22
2019-03-27T01:23:31,C,66,22
2019-03-27T01:31:33,C,66,22
2019-03-27T01:43:35,C,66,22
2019-03-27T01:51:35,C,66,22
2019-03-27T02:03:35,C,66,22
2019-03-27T02:11:36,C,66,22
2019-03-27T02:23:36,C,66,22
2019-03-27T02:31:36,C,66,22
2019-03-27T02:43:36,C,66,22
2019-03-27T02:51:36,C,66,22
2019-03-27T03:15:36,C,66,21
2019-03-27T03:24:59,C,66,22
2019-03-27T03:31:37,C,66,22
2019-03-27T03:43:37,C,66,22
2019-03-27T03:55:37,C,66,22
2019-03-27T04:05:53,C,66,29
2019-03-27T04:11:37,C,66,29
2019-03-27T04:23:37,C,66,29
2019-03-27T04:35:38,C,66,29
2019-03-27T04:43:38,C,66,29
2019-03-27T04:55:38,C,66,29
2019-03-27T05:03:38,C,66,29
2019-03-27T05:11:38,C,66,30
2019-03-27T05:23:38,C,66,31
2019-03-27T05:35:38,C,66,32
2019-03-27T05:43:38,C,66,31
2019-03-27T05:55:39,C,66,32
2019-03-27T06:03:39,C,66,33
2019-03-27T06:14:14,C,66,33
2019-03-27T06:23:48,C,66,33
2019-03-27T06:35:39,C,66,34
2019-03-27T06:45:55,C,66,35
2019-03-27T06:51:39,C,66,34
2019-03-27T07:04:11,C,66,32
2019-03-27T07:12:50,C,66,33
2019-03-27T07:25:43,C,66,29
2019-03-27T07:35:40,C,66,27
2019-03-27T07:43:40,C,66,23
2019-03-27T07:54:47,C,66,19
2019-03-27T08:05:53,C,66,13
2019-03-27T08:15:38,C,66,8
2019-03-27T08:25:35,C,66,9
2019-03-27T08:37:00,C,66,14
2019-03-27T08:44:37,C,66,13
2019-03-27T08:54:50,C,66,15
2019-03-27T09:06:15,C,66,8
2019-03-27T09:16:08,C,66,10
2019-03-27T09:25:59,C,66,5
2019-03-27T09:35:42,C,66,8
2019-03-27T09:45:14,C,66,7
2019-03-27T09:56:18,C,66,5
2019-03-27T10:06:59,C,66,12
2019-03-27T10:15:11,C,66,9
2019-03-27T10:26:03,C,66,8
2019-03-27T10:35:17,C,66,11
2019-03-27T10:46:58,C,66,7
2019-03-27T10:56:43,C,66,6
2019-03-27T11:05:25,C,66,7
2019-03-27T11:16:03,C,66,4
2019-03-27T11:26:41,C,66,7
2019-03-27T11:36:38,C,66,8
2019-03-27T11:45:56,C,66,7
2019-03-27T11:57:04,C,66,11
2019-03-27T12:05:19,C,66,5
2019-03-27T12:17:25,C,66,7
2019-03-27T12:27:57,C,66,3
2019-03-27T12:35:44,C,66,4
2019-03-27T12:46:53,C,66,7
2019-03-27T12:55:46,C,66,10
2019-03-27T13:07:45,C,66,6
2019-03-27T13:16:53,C,66,9
2019-03-27T13:26:32,C,66,8
2019-03-27T13:35:45,C,66,10
2019-03-27T13:47:45,C,66,9
2019-03-27T13:56:02,C,66,14
2019-03-27T14:07:45,C,66,15
2019-03-27T14:16:57,C,66,17
2019-03-27T14:26:58,C,66,18
2019-03-27T14:37:03,C,66,22
2019-03-27T14:45:42,C,66,22
2019-03-27T14:55:46,C,66,19
2019-03-27T15:06:09,C,66,17
2019-03-27T15:16:41,C,66,19
2019-03-27T15:26:37,C,66,18
2019-03-27T15:37:25,C,66,10
2019-03-27T15:47:47,C,66,2
2019-03-27T15:56:45,C,66,4
2019-03-27T16:07:21,C,66,8
2019-03-27T16:17:14,C,66,2
2019-03-27T16:28:43,C,66,3
2019-03-27T16:38:00,C,66,9
2019-03-27T16:47:56,C,66,9
2019-03-27T16:58:04,C,66,7
2019-03-27T17:08:25,C,66,12
2019-03-27T17:18:46,C,66,8
2019-03-27T17:27:17,C,66,9
2019-03-27T17:38:05,C,66,12
2019-03-27T17:46:10,C,66,10
2019-03-27T17:57:18,C,66,11
2019-03-27T18:08:02,C,66,19
2019-03-27T18:17:51,C,66,22
2019-03-27T18:26:41,C,66,21
2019-03-27T18:36:38,C,66,21
2019-03-27T18:48:42,C,66,20
2019-03-27T18:58:34,C,66,21
2019-03-27T19:08:41,C,66,14
2019-03-27T19:17:12,C,66,21
2019-03-27T19:28:15,C,66,24
2019-03-27T19:38:19,C,66,20
2019-03-27T19:48:12,C,66,20
2019-03-27T19:58:33,C,66,18
2019-03-27T20:07:50,C,66,25
2019-03-27T20:18:49,C,66,19
2019-03-27T20:29:26,C,66,20
2019-03-27T20:37:50,C,66,24
2019-03-27T20:47:51,C,66,22
2019-03-27T20:57:56,C,66,20
2019-03-27T21:08:06,C,66,27
2019-03-27T21:15:51,C,66,25
2019-03-27T21:27:51,C,66,27
2019-03-27T21:37:37,C,66,26
2019-03-27T21:47:52,C,66,26
2019-03-27T21:58:34,C,66,26
2019-03-27T22:07:52,C,66,25
2019-03-27T22:15:52,C,66,25
2019-03-27T22:28:09,C,66,23
2019-03-27T22:39:57,C,66,26
2019-03-27T22:47:52,C,66,27
2019-03-27T22:59:08,C,66,27
2019-03-27T23:09:40,C,66,30
2019-03-27T23:16:57,C,66,28
2019-03-27T23:27:53,C,66,29
2019-03-27T23:37:35,C,66,28
2019-03-27T23:48:12,C,66,29
2019-03-27T23:58:50,C,66,26
2019-03-28T00:07:54,C,66,30
2019-03-28T00:17:28,C,66,30
2019-03-28T00:27:54,C,66,28
2019-03-28T00:38:50,C,66,27
2019-03-28T00:47:54,C,66,27
2019-03-28T00:59:54,C,66,26
2019-03-28T01:07:54,C,66,26
2019-03-28T01:19:55,C,66,26
2019-03-28T01:27:55,C,66,26
2019-03-28T01:35:55,C,66,26
2019-03-28T01:47:55,C,66,26
2019-03-28T01:59:55,C,66,26
2019-03-28T02:07:55,C,66,26
2019-03-28T02:19:55,C,66,26
2019-03-28T02:27:55,C,66,26
2019-03-28T02:39:56,C,66,26
2019-03-28T02:47:56,C,66,26
2019-03-28T02:55:56,C,66,26
2019-03-28T03:07:56,C,66,26
2019-03-28T03:19:29,C,66,26
2019-03-28T03:29:35,C,66,26
2019-03-28T03:40:27,C,66,26
2019-03-28T03:48:04,C,66,26
2019-03-28T04:00:04,C,66,27
2019-03-28T04:08:06,C,66,34
2019-03-28T04:20:07,C,66,33
2019-03-28T04:28:07,C,66,33
2019-03-28T04:40:07,C,66,34
2019-03-28T04:48:07,C,66,34
2019-03-28T05:00:07,C,66,35
2019-03-28T05:08:12,C,66,35
2019-03-28T05:20:07,C,66,35
2019-03-28T05:28:08,C,66,36
2019-03-28T05:40:08,C,66,36
2019-03-28T05:48:08,C,66,36
2019-03-28T06:00:08,C,66,36
2019-03-28T06:11:31,C,66,37
2019-03-28T06:20:08,C,66,36
2019-03-28T06:29:20,C,66,34
2019-03-28T06:40:09,C,66,32
2019-03-28T06:50:00,C,66,32
2019-03-28T07:00:09,C,66,35
2019-03-28T07:12:05,C,66,32
2019-03-28T07:20:09,C,66,32
2019-03-28T07:30:19,C,66,26
2019-03-28T07:41:08,C,66,25
2019-03-28T07:50:53,C,66,22
2019-03-28T08:00:52,C,66,26
2019-03-28T08:10:29,C,66,27
2019-03-28T08:20:58,C,66,24
2019-03-28T08:31:14,C,66,21
2019-03-28T08:41:36,C,66,22
2019-03-28T08:51:26,C,66,27
2019-03-28T09:01:33,C,66,12
2019-03-28T09:11:40,C,66,11
2019-03-28T09:21:33,C,66,11
2019-03-28T09:31:41,C,66,8
2019-03-28T09:42:43,C,66,8
2019-03-28T09:52:04,C,66,17
2019-03-28T10:00:58,C,66,18
2019-03-28T10:09:14,C,66,14
2019-03-28T10:22:57,C,66,14
2019-03-28T10:32:23,C,66,16
2019-03-28T10:42:05,C,66,17
2019-03-28T10:51:08,C,66,20
2019-03-28T11:02:25,C,66,19
2019-03-28T11:11:01,C,66,18
2019-03-28T11:23:08,C,66,10
2019-03-28T11:32:21,C,66,6
2019-03-28T11:42:18,C,66,10
2019-03-28T11:52:13,C,66,7
2019-03-28T12:00:53,C,66,6
2019-03-28T12:12:13,C,66,4
2019-03-28T12:21:50,C,66,5
2019-03-28T12:32:21,C,66,8
2019-03-28T12:41:06,C,66,3
2019-03-28T12:52:30,C,66,6
2019-03-28T13:02:09,C,66,9
2019-03-28T13:11:08,C,66,8
2019-03-28T13:21:46,C,66,11
2019-03-28T13:32:14,C,66,9
2019-03-28T13:42:59,C,66,13
2019-03-28T13:52:14,C,66,18
2019-03-28T14:01:36,C,66,18
2019-03-28T14:12:46,C,66,23
2019-03-28T14:21:27,C,66,21
2019-03-28T14:32:27,C,66,18
2019-03-28T14:42:02,C,66,19
2019-03-28T14:51:46,C,66,19
2019-03-28T15:00:21,C,66,17
2019-03-28T15:10:23,C,66,19
2019-03-28T15:22:43,C,66,20
2019-03-28T15:32:43,C,66,20
2019-03-28T15:52:56,C,66,20
2019-03-28T16:03:14,C,66,21
2019-03-28T16:24:59,C,66,20
2019-03-28T16:44:17,C,66,23
2019-03-28T16:54:50,C,66,25
2019-03-28T17:04:58,C,66,25
2019-03-28T17:14:45,C,66,26
2019-03-28T17:23:02,C,66,28
2019-03-28T17:44:41,C,66,33
2019-03-28T17:53:57,C,66,26
2019-03-28T18:04:59,C,66,22
2019-03-28T18:13:56,C,66,26
2019-03-28T18:24:18,C,66,35
2019-03-28T18:34:42,C,66,27
2019-03-28T18:42:03,C,66,28
2019-03-28T18:53:40,C,66,23
2019-03-28T19:14:52,C,66,22
2019-03-28T19:25:54,C,66,23
2019-03-28T19:36:40,C,66,28
2019-03-28T19:45:03,C,66,25
2019-03-28T19:54:49,C,66,24
2019-03-28T20:04:51,C,66,24
2019-03-28T20:16:38,C,66,24
2019-03-28T20:25:27,C,66,22
2019-03-28T20:34:58,C,66,18
2019-03-28T20:45:42,C,66,19
2019-03-28T20:54:43,C,66,21
2019-03-28T21:06:08,C,66,24
2019-03-28T21:16:53,C,66,25
2019-03-28T21:24:48,C,66,28
2019-03-28T21:32:21,C,66,30
2019-03-28T21:46:02,C,66,31
2019-03-28T21:56:51,C,66,31
2019-03-28T22:06:43,C,66,36
2019-03-28T22:14:00,C,66,38
2019-03-28T22:26:00,C,66,35
2019-03-28T22:35:50,C,66,35
2019-03-28T22:44:22,C,66,33
2019-03-28T22:56:22,C,66,33
2019-03-28T23:04:22,C,66,35
2019-03-28T23:16:22,C,66,35
2019-03-28T23:24:22,C,66,35
2019-03-28T23:36:23,C,66,33
2019-03-28T23:44:23,C,66,32
2019-03-28T23:57:55,C,66,32
2019-03-29T00:04:23,C,66,33
2019-03-29T00:16:23,C,66,33
2019-03-29T00:24:23,C,66,33
2019-03-29T00:36:23,C,66,30
2019-03-29T00:44:23,C,66,30
2019-03-29T01:04:24,C,66,30
2019-03-29T01:16:24,C,66,30
2019-03-29T01:24:24,C,66,30
2019-03-29T01:36:24,C,66,30
2019-03-29T01:44:24,C,66,30
2019-03-29T01:56:24,C,66,30
2019-03-29T02:04:25,C,66,30
2019-03-29T02:16:25,C,66,30
2019-03-29T02:24:25,C,66,30
2019-03-29T02:37:09,C,66,30
2019-03-29T02:44:25,C,66,30
2019-03-29T02:56:25,C,66,30
2019-03-29T03:04:25,C,66,30
2019-03-29T03:17:22,C,66,29
2019-03-29T03:24:26,C,66,30
2019-03-29T03:36:26,C,66,30
2019-03-29T03:44:26,C,66,30
2019-03-29T03:56:26,C,66,30
2019-03-29T04:04:26,C,66,34
2019-03-29T04:16:26,C,66,34
2019-03-29T04:28:27,C,66,34
2019-03-29T04:36:27,C,66,34
2019-03-29T04:44:27,C,66,34
2019-03-29T04:58:01,C,66,35
2019-03-29T05:08:27,C,66,35
2019-03-29T05:16:27,C,66,35
2019-03-29T05:25:50,C,66,36
2019-03-29T05:36:27,C,66,36
2019-03-29T05:47:39,C,66,37
2019-03-29T05:56:28,C,66,37
2019-03-29T06:08:28,C,66,37
2019-03-29T06:17:43,C,66,37
2019-03-29T06:26:40,C,66,38
2019-03-29T06:36:28,C,66,39
2019-03-29T06:48:28,C,66,39
2019-03-29T06:58:16,C,66,38
2019-03-29T07:08:29,C,66,37
2019-03-29T07:17:40,C,66,34
2019-03-29T07:28:29,C,66,33
2019-03-29T07:38:14,C,66,33
2019-03-29T07:47:58,C,66,29
2019-03-29T07:58:29,C,66,30
2019-03-29T08:07:05,C,66,30
2019-03-29T08:17:16,C,66,26
2019-03-29T08:28:30,C,66,25
2019-03-29T08:38:17,C,66,25
2019-03-29T08:48:53,C,66,31
2019-03-29T08:58:19,C,66,26
2019-03-29T09:08:04,C,66,23
2019-03-29T09:18:52,C,66,21
2019-03-29T09:28:46,C,66,24
2019-03-29T09:37:30,C,66,29
2019-03-29T09:47:10,C,66,26
2019-03-29T09:59:10,C,66,24
2019-03-29T10:07:56,C,66,28
2019-03-29T10:19:42,C,66,26
2019-03-29T10:29:02,C,66,22
2019-03-29T10:38:26,C,66,16
2019-03-29T10:49:03,C,66,17
2019-03-29T10:58:27,C,66,21
2019-03-29T11:08:47,C,66,23
2019-03-29T11:19:40,C,66,20
2019-03-29T11:28:38,C,66,17
2019-03-29T11:38:08,C,66,20
2019-03-29T11:48:33,C,66,20
2019-03-29T11:59:45,C,66,15
2019-03-29T12:09:38,C,66,10
2019-03-29T12:17:59,C,66,14
2019-03-29T12:29:23,C,66,19
2019-03-29T12:37:50,C,66,18
2019-03-29T12:48:38,C,66,18
2019-03-29T13:00:07,C,66,16
