date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:04,C,192,172
2019-03-26T13:09:33,C,192,171
2019-03-26T13:18:31,C,192,170
2019-03-26T13:29:47,C,192,167
2019-03-26T13:40:12,C,192,168
2019-03-26T13:50:11,C,192,171
2019-03-26T13:57:34,C,192,171
2019-03-26T14:10:36,C,192,167
2019-03-26T14:19:00,C,192,168
2019-03-26T14:29:34,C,192,170
2019-03-26T14:38:11,C,192,172
2019-03-26T14:49:35,C,192,172
2019-03-26T14:57:35,C,192,174
2019-03-26T15:09:35,C,192,173
2019-03-26T15:17:50,C,192,174
2019-03-26T15:29:35,C,192,174
2019-03-26T15:37:35,C,192,174
2019-03-26T15:49:35,C,192,173
2019-03-26T16:00:08,C,192,174
2019-03-26T16:09:36,C,192,174
2019-03-26T16:17:36,C,192,174
2019-03-26T16:29:36,C,192,174
2019-03-26T16:41:36,C,192,175
2019-03-26T16:52:10,C,192,173
2019-03-26T16:57:36,C,192,172
2019-03-26T17:09:37,C,192,170
2019-03-26T17:21:42,C,192,170
2019-03-26T17:29:37,C,192,172
2019-03-26T17:39:02,C,192,175
2019-03-26T17:50:33,C,192,176
2019-03-26T18:09:37,C,192,173
2019-03-26T18:30:17,C,192,171
2019-03-26T18:42:11,C,192,170
2019-03-26T18:51:33,C,192,168
2019-03-26T19:02:53,C,192,169
2019-03-26T19:11:25,C,192,170
2019-03-26T19:21:38,C,192,165
2019-03-26T19:30:12,C,192,160
2019-03-26T19:41:39,C,192,158
2019-03-26T19:53:39,C,192,156
2019-03-26T20:00:18,C,192,156
2019-03-26T20:13:23,C,192,159
2019-03-26T20:21:39,C,192,159
2019-03-26T20:34:03,C,192,159
2019-03-26T20:42:46,C,192,161
2019-03-26T20:49:59,C,192,163
2019-03-26T21:03:28,C,192,160
2019-03-26T21:11:57,C,192,162
2019-03-26T21:21:40,C,192,161
2019-03-26T21:31:58,C,192,163
2019-03-26T21:41:40,C,192,162
2019-03-26T21:51:53,C,192,163
2019-03-26T22:01:41,C,192,165
2019-03-26T22:13:41,C,192,164
2019-03-26T22:21:41,C,192,165
2019-03-26T22:33:41,C,192,168
2019-03-26T22:42:51,C,192,169
2019-03-26T22:52:14,C,192,170
2019-03-26T23:01:41,C,192,173
2019-03-26T23:14:38,C,192,173
2019-03-26T23:23:17,C,192,174
2019-03-26T23:33:42,C,192,174
2019-03-26T23:41:42,C,192,173
2019-03-26T23:53:42,C,192,174
2019-03-27T00:01:42,C,192,176
2019-03-27T00:13:42,C,192,176
2019-03-27T00:21:42,C,192,176
2019-03-27T00:28:29,C,192,177
2019-03-27T00:41:43,C,192,178
2019-03-27T00:53:43,C,192,178
2019-03-27T01:01:43,C,192,179
2019-03-27T01:13:43,C,192,179
2019-03-27T01:21:45,C,192,179
2019-03-27T01:33:45,C,192,179
2019-03-27T01:41:45,C,192,178
2019-03-27T01:53:45,C,192,178
2019-03-27T02:01:46,C,192,178
2019-03-27T02:13:46,C,192,178
2019-03-27T02:21:46,C,192,177
2019-03-27T02:33:46,C,192,177
2019-03-27T02:41:46,C,192,178
2019-03-27T02:54:07,C,192,177
2019-03-27T03:15:32,C,192,177
2019-03-27T03:21:47,C,192,177
2019-03-27T03:33:47,C,192,177
2019-03-27T03:41:47,C,192,177
2019-03-27T03:53:47,C,192,177
2019-03-27T04:05:47,C,192,178
2019-03-27T04:13:47,C,192,177
2019-03-27T04:21:48,C,192,177
2019-03-27T04:33:48,C,192,177
2019-03-27T04:41:48,C,192,177
2019-03-27T04:53:48,C,192,177
2019-03-27T05:05:48,C,192,177
2019-03-27T05:13:48,C,192,177
2019-03-27T05:21:48,C,192,177
2019-03-27T05:33:49,C,192,177
2019-03-27T05:45:49,C,192,177
2019-03-27T05:53:49,C,192,177
2019-03-27T06:01:49,C,192,177
2019-03-27T06:13:49,C,192,176
2019-03-27T06:21:49,C,192,176
2019-03-27T06:33:49,C,192,175
2019-03-27T06:45:50,C,192,175
2019-03-27T06:53:50,C,192,176
2019-03-27T07:01:50,C,192,177
2019-03-27T07:15:58,C,192,176
2019-03-27T07:21:50,C,192,177
2019-03-27T07:34:59,C,192,176
2019-03-27T07:41:50,C,192,176
2019-03-27T07:53:51,C,192,174
2019-03-27T08:05:51,C,192,174
2019-03-27T08:13:51,C,192,176
2019-03-27T08:23:36,C,192,177
2019-03-27T08:35:48,C,192,176
2019-03-27T08:44:20,C,192,178
2019-03-27T08:54:55,C,192,177
2019-03-27T09:05:52,C,192,176
