date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:56,C,144,79
2019-03-26T13:10:16,C,144,81
2019-03-26T13:20:15,C,144,78
2019-03-26T13:30:33,C,144,80
2019-03-26T13:39:09,C,144,79
2019-03-26T13:49:51,C,144,81
2019-03-26T14:00:21,C,144,84
2019-03-26T14:09:37,C,144,84
2019-03-26T14:20:23,C,144,82
2019-03-26T14:29:37,C,144,79
2019-03-26T14:39:42,C,144,81
2019-03-26T14:51:36,C,144,86
2019-03-26T15:00:33,C,144,87
2019-03-26T15:12:08,C,144,89
2019-03-26T15:20:12,C,144,91
2019-03-26T15:29:59,C,144,96
2019-03-26T15:40:03,C,144,95
2019-03-26T15:50:36,C,144,97
2019-03-26T16:00:37,C,144,98
2019-03-26T16:09:39,C,144,96
2019-03-26T16:17:39,C,144,97
2019-03-26T16:31:23,C,144,96
2019-03-26T16:41:25,C,144,96
2019-03-26T16:51:55,C,144,97
2019-03-26T17:00:43,C,144,100
2019-03-26T17:10:34,C,144,104
2019-03-26T17:20:51,C,144,105
2019-03-26T17:31:17,C,144,106
2019-03-26T17:40:33,C,144,103
2019-03-26T17:50:45,C,144,104
2019-03-26T18:12:42,C,144,108
2019-03-26T18:31:21,C,144,112
2019-03-26T18:41:52,C,144,113
2019-03-26T18:51:59,C,144,112
2019-03-26T19:02:00,C,144,112
2019-03-26T19:11:46,C,144,107
2019-03-26T19:22:11,C,144,107
2019-03-26T19:32:00,C,144,109
2019-03-26T19:42:48,C,144,105
2019-03-26T19:53:50,C,144,105
2019-03-26T20:01:42,C,144,105
2019-03-26T20:12:14,C,144,104
2019-03-26T20:22:19,C,144,101
2019-03-26T20:33:43,C,144,102
2019-03-26T20:44:17,C,144,102
2019-03-26T20:52:45,C,144,101
2019-03-26T21:03:27,C,144,98
2019-03-26T21:11:43,C,144,97
2019-03-26T21:22:52,C,144,96
2019-03-26T21:33:13,C,144,93
2019-03-26T21:42:52,C,144,93
2019-03-26T21:53:22,C,144,95
2019-03-26T22:01:44,C,144,91
2019-03-26T22:13:22,C,144,92
2019-03-26T22:21:44,C,144,90
2019-03-26T22:32:40,C,144,88
2019-03-26T22:42:52,C,144,87
2019-03-26T22:52:32,C,144,86
2019-03-26T23:01:45,C,144,84
2019-03-26T23:14:32,C,144,84
2019-03-26T23:25:05,C,144,86
2019-03-26T23:33:45,C,144,85
2019-03-26T23:43:58,C,144,83
2019-03-26T23:54:13,C,144,84
2019-03-27T00:03:42,C,144,83
2019-03-27T00:13:46,C,144,83
2019-03-27T00:21:46,C,144,83
2019-03-27T00:29:12,C,144,83
2019-03-27T00:42:50,C,144,82
2019-03-27T00:53:46,C,144,82
2019-03-27T01:04:26,C,144,81
2019-03-27T01:13:47,C,144,81
2019-03-27T01:21:47,C,144,81
2019-03-27T01:33:47,C,144,80
2019-03-27T01:42:31,C,144,80
2019-03-27T01:54:14,C,144,80
2019-03-27T02:01:47,C,144,78
2019-03-27T02:13:48,C,144,79
2019-03-27T02:24:11,C,144,79
2019-03-27T02:33:48,C,144,79
2019-03-27T02:41:48,C,144,80
2019-03-27T02:53:48,C,144,80
2019-03-27T03:13:48,C,144,80
2019-03-27T03:21:51,C,144,80
2019-03-27T03:33:54,C,144,80
2019-03-27T03:43:28,C,144,80
2019-03-27T03:53:54,C,144,79
2019-03-27T04:02:31,C,144,78
2019-03-27T04:13:54,C,144,78
2019-03-27T04:22:45,C,144,78
2019-03-27T04:34:30,C,144,78
2019-03-27T04:43:16,C,144,78
2019-03-27T04:53:55,C,144,78
2019-03-27T05:05:55,C,144,78
2019-03-27T05:13:55,C,144,77
2019-03-27T05:24:50,C,144,76
2019-03-27T05:35:13,C,144,74
2019-03-27T05:45:12,C,144,73
2019-03-27T05:53:56,C,144,73
2019-03-27T06:02:44,C,144,72
2019-03-27T06:15:01,C,144,75
2019-03-27T06:24:10,C,144,75
2019-03-27T06:35:51,C,144,76
2019-03-27T06:45:15,C,144,79
2019-03-27T06:53:57,C,144,79
2019-03-27T07:03:56,C,144,82
2019-03-27T07:15:17,C,144,83
2019-03-27T07:25:45,C,144,83
2019-03-27T07:35:47,C,144,83
2019-03-27T07:44:29,C,144,82
2019-03-27T07:54:30,C,144,85
2019-03-27T08:06:54,C,144,87
2019-03-27T08:15:49,C,144,89
2019-03-27T08:26:02,C,144,87
2019-03-27T08:37:00,C,144,87
2019-03-27T08:45:32,C,144,88
2019-03-27T08:55:36,C,144,88
2019-03-27T09:06:47,C,144,89
2019-03-27T09:16:56,C,144,86
2019-03-27T09:25:59,C,144,82
2019-03-27T09:36:06,C,144,84
2019-03-27T09:45:36,C,144,86
2019-03-27T09:57:01,C,144,89
2019-03-27T10:06:41,C,144,89
2019-03-27T10:15:28,C,144,87
2019-03-27T10:26:19,C,144,86
2019-03-27T10:35:38,C,144,82
2019-03-27T10:46:03,C,144,73
2019-03-27T10:56:54,C,144,68
2019-03-27T11:06:00,C,144,66
2019-03-27T11:16:08,C,144,63
2019-03-27T11:26:22,C,144,65
2019-03-27T11:36:58,C,144,69
2019-03-27T11:46:01,C,144,74
2019-03-27T11:57:39,C,144,76
2019-03-27T12:05:15,C,144,70
2019-03-27T12:17:34,C,144,67
2019-03-27T12:27:54,C,144,60
2019-03-27T12:36:13,C,144,57
2019-03-27T12:47:38,C,144,62
2019-03-27T12:56:30,C,144,64
2019-03-27T13:07:26,C,144,61
2019-03-27T13:15:51,C,144,67
2019-03-27T13:27:31,C,144,73
2019-03-27T13:35:54,C,144,72
2019-03-27T13:47:26,C,144,78
2019-03-27T13:56:32,C,144,84
2019-03-27T14:07:58,C,144,87
2019-03-27T14:16:37,C,144,91
2019-03-27T14:26:49,C,144,93
2019-03-27T14:37:10,C,144,95
2019-03-27T14:47:32,C,144,101
2019-03-27T14:56:37,C,144,103
2019-03-27T15:06:52,C,144,102
2019-03-27T15:17:15,C,144,101
2019-03-27T15:26:41,C,144,102
2019-03-27T15:36:49,C,144,103
2019-03-27T15:46:59,C,144,104
2019-03-27T15:56:58,C,144,106
2019-03-27T16:07:27,C,144,105
2019-03-27T16:17:10,C,144,104
2019-03-27T16:27:49,C,144,106
2019-03-27T16:38:43,C,144,105
2019-03-27T16:47:07,C,144,106
2019-03-27T16:58:30,C,144,107
2019-03-27T17:08:13,C,144,107
2019-03-27T17:18:29,C,144,110
2019-03-27T17:26:45,C,144,109
2019-03-27T17:37:37,C,144,111
2019-03-27T17:46:30,C,144,110
2019-03-27T17:57:20,C,144,104
2019-03-27T18:08:14,C,144,107
2019-03-27T18:15:40,C,144,109
2019-03-27T18:27:04,C,144,110
2019-03-27T18:36:27,C,144,108
2019-03-27T18:47:49,C,144,107
2019-03-27T18:58:07,C,144,109
2019-03-27T19:08:14,C,144,106
2019-03-27T19:16:42,C,144,104
2019-03-27T19:27:40,C,144,105
2019-03-27T19:38:47,C,144,104
2019-03-27T19:48:25,C,144,108
2019-03-27T19:58:08,C,144,106
2019-03-27T20:07:52,C,144,104
2019-03-27T20:19:11,C,144,105
2019-03-27T20:29:12,C,144,103
2019-03-27T20:38:08,C,144,103
2019-03-27T20:48:26,C,144,98
2019-03-27T20:57:53,C,144,97
2019-03-27T21:07:00,C,144,97
2019-03-27T21:18:09,C,144,99
2019-03-27T21:27:47,C,144,96
2019-03-27T21:38:44,C,144,95
2019-03-27T21:48:34,C,144,94
2019-03-27T21:58:21,C,144,92
2019-03-27T22:08:19,C,144,90
2019-03-27T22:18:10,C,144,87
2019-03-27T22:29:12,C,144,88
2019-03-27T22:39:13,C,144,80
2019-03-27T22:48:07,C,144,81
2019-03-27T22:58:35,C,144,82
2019-03-27T23:07:01,C,144,82
2019-03-27T23:19:07,C,144,81
2019-03-27T23:26:11,C,144,82
2019-03-27T23:39:30,C,144,82
2019-03-27T23:48:38,C,144,82
2019-03-27T23:58:46,C,144,80
2019-03-28T00:10:11,C,144,79
2019-03-28T00:18:11,C,144,79
2019-03-28T00:27:38,C,144,79
2019-03-28T00:38:12,C,144,79
2019-03-28T00:48:07,C,144,78
