date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:09,C,156,98
2019-03-26T13:10:09,C,156,93
2019-03-26T13:20:10,C,156,86
2019-03-26T13:30:10,C,156,57
2019-03-26T13:40:10,C,156,31
2019-03-26T13:50:10,C,156,79
2019-03-26T14:00:11,C,156,85
2019-03-26T14:10:11,C,156,98
2019-03-26T14:20:11,C,156,104
2019-03-26T14:30:12,C,156,103
2019-03-26T14:40:12,C,156,103
2019-03-26T14:52:12,C,156,96
2019-03-26T15:00:12,C,156,92
2019-03-26T15:12:13,C,156,92
2019-03-26T15:20:13,C,156,87
2019-03-26T15:32:13,C,156,81
2019-03-26T15:40:14,C,156,82
2019-03-26T15:52:14,C,156,77
2019-03-26T16:00:14,C,156,78
2019-03-26T16:10:15,C,156,73
2019-03-26T16:22:15,C,156,72
2019-03-26T16:32:15,C,156,76
2019-03-26T16:42:16,C,156,79
2019-03-26T16:52:16,C,156,76
2019-03-26T17:02:16,C,156,73
2019-03-26T17:12:16,C,156,80
2019-03-26T17:22:17,C,156,73
2019-03-26T17:32:17,C,156,63
2019-03-26T17:42:17,C,156,59
2019-03-26T17:52:18,C,156,51
2019-03-26T18:12:18,C,156,41
2019-03-26T18:32:19,C,156,26
2019-03-26T18:42:19,C,156,27
2019-03-26T18:52:49,C,156,17
2019-03-26T19:02:50,C,156,12
2019-03-26T19:14:50,C,156,3
2019-03-26T19:22:50,C,156,0
2019-03-26T19:34:51,C,156,0
2019-03-26T19:42:51,C,156,0
2019-03-26T19:54:51,C,156,0
2019-03-26T20:02:51,C,156,0
2019-03-26T20:14:52,C,156,0
2019-03-26T20:22:52,C,156,0
2019-03-26T20:34:52,C,156,0
2019-03-26T20:44:53,C,156,0
2019-03-26T20:54:53,C,156,0
2019-03-26T21:04:53,C,156,0
2019-03-26T21:14:54,C,156,0
2019-03-26T21:22:54,C,156,0
2019-03-26T21:34:54,C,156,0
2019-03-26T21:44:55,C,156,0
2019-03-26T21:54:55,C,156,0
2019-03-26T22:02:55,C,156,0
2019-03-26T22:14:55,C,156,0
2019-03-26T22:24:56,C,156,0
2019-03-26T22:34:56,C,156,0
2019-03-26T22:44:56,C,156,0
2019-03-26T22:54:57,C,156,0
2019-03-26T23:04:57,C,156,0
2019-03-26T23:14:57,C,156,0
2019-03-26T23:24:58,C,156,0
2019-03-26T23:34:58,C,156,0
