date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:43,C,294,215
2019-03-26T13:10:20,C,294,217
2019-03-26T13:20:04,C,294,216
2019-03-26T13:30:56,C,294,223
2019-03-26T13:39:47,C,294,227
2019-03-26T13:50:08,C,294,231
2019-03-26T14:00:22,C,294,224
2019-03-26T14:10:21,C,294,228
2019-03-26T14:20:45,C,294,233
2019-03-26T14:30:18,C,294,231
2019-03-26T14:40:12,C,294,229
2019-03-26T14:51:37,C,294,234
2019-03-26T15:00:45,C,294,237
2019-03-26T15:12:11,C,294,238
2019-03-26T15:20:12,C,294,237
2019-03-26T15:30:33,C,294,230
2019-03-26T15:40:19,C,294,230
2019-03-26T15:51:40,C,294,229
2019-03-26T16:00:43,C,294,227
2019-03-26T16:10:02,C,294,226
2019-03-26T16:21:35,C,294,219
2019-03-26T16:31:40,C,294,215
2019-03-26T16:41:17,C,294,218
2019-03-26T16:51:48,C,294,204
2019-03-26T17:01:12,C,294,201
2019-03-26T17:11:25,C,294,201
2019-03-26T17:21:27,C,294,205
2019-03-26T17:31:44,C,294,202
2019-03-26T17:41:13,C,294,206
2019-03-26T17:51:43,C,294,204
2019-03-26T18:12:48,C,294,199
2019-03-26T18:32:27,C,294,201
2019-03-26T18:42:25,C,294,198
2019-03-26T18:52:53,C,294,185
2019-03-26T19:03:16,C,294,181
2019-03-26T19:12:22,C,294,181
2019-03-26T19:22:35,C,294,166
2019-03-26T19:33:11,C,294,177
2019-03-26T19:42:30,C,294,173
2019-03-26T19:54:06,C,294,167
2019-03-26T20:01:56,C,294,163
2019-03-26T20:12:42,C,294,160
2019-03-26T20:22:28,C,294,159
2019-03-26T20:33:58,C,294,159
2019-03-26T20:43:56,C,294,162
2019-03-26T20:53:00,C,294,164
2019-03-26T21:03:15,C,294,167
2019-03-26T21:13:10,C,294,167
2019-03-26T21:22:41,C,294,156
2019-03-26T21:34:03,C,294,158
2019-03-26T21:43:09,C,294,158
2019-03-26T21:53:18,C,294,149
2019-03-26T22:02:33,C,294,144
2019-03-26T22:13:35,C,294,142
2019-03-26T22:23:17,C,294,140
2019-03-26T22:34:13,C,294,143
2019-03-26T22:43:26,C,294,143
2019-03-26T22:53:10,C,294,140
2019-03-26T23:03:40,C,294,144
2019-03-26T23:14:29,C,294,142
2019-03-26T23:25:04,C,294,133
2019-03-26T23:34:29,C,294,140
2019-03-26T23:43:56,C,294,138
2019-03-26T23:54:30,C,294,135
2019-03-27T00:04:49,C,294,135
2019-03-27T00:14:05,C,294,132
2019-03-27T00:21:51,C,294,134
2019-03-27T00:28:33,C,294,135
2019-03-27T00:43:20,C,294,133
2019-03-27T00:54:49,C,294,133
2019-03-27T01:04:19,C,294,129
2019-03-27T01:13:14,C,294,128
2019-03-27T01:22:31,C,294,129
2019-03-27T01:33:22,C,294,129
2019-03-27T01:43:07,C,294,128
2019-03-27T01:54:31,C,294,127
2019-03-27T02:03:32,C,294,125
2019-03-27T02:14:32,C,294,126
2019-03-27T02:23:01,C,294,128
2019-03-27T02:34:32,C,294,125
2019-03-27T02:44:46,C,294,124
2019-03-27T02:54:32,C,294,124
2019-03-27T03:15:52,C,294,125
2019-03-27T03:22:34,C,294,125
2019-03-27T03:30:34,C,294,123
2019-03-27T03:42:34,C,294,122
2019-03-27T03:54:34,C,294,121
2019-03-27T04:05:49,C,294,123
2019-03-27T04:12:28,C,294,123
2019-03-27T04:24:07,C,294,124
2019-03-27T04:35:49,C,294,123
2019-03-27T04:42:35,C,294,124
2019-03-27T04:55:53,C,294,125
2019-03-27T05:06:01,C,294,123
2019-03-27T05:14:35,C,294,125
2019-03-27T05:23:37,C,294,125
2019-03-27T05:35:23,C,294,124
