date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:32,C,607,577
2019-03-26T13:10:32,C,607,586
2019-03-26T13:20:32,C,607,603
2019-03-26T13:31:03,C,607,601
2019-03-26T13:40:03,C,607,606
2019-03-26T13:50:03,C,607,607
2019-03-26T14:00:05,C,607,605
2019-03-26T14:10:33,C,607,607
2019-03-26T14:20:34,C,607,601
2019-03-26T14:30:34,C,607,607
2019-03-26T14:41:05,C,607,602
2019-03-26T14:51:07,C,607,603
2019-03-26T15:00:08,C,607,604
2019-03-26T15:11:05,C,607,600
2019-03-26T15:20:35,C,607,601
2019-03-26T15:31:36,C,607,605
2019-03-26T15:40:36,C,607,595
2019-03-26T15:51:37,C,607,593
2019-03-26T16:00:07,C,607,592
2019-03-26T16:10:07,C,607,596
2019-03-26T16:21:08,C,607,597
2019-03-26T16:31:10,C,607,605
2019-03-26T16:41:41,C,607,605
2019-03-26T16:51:39,C,607,604
2019-03-26T17:01:39,C,607,602
2019-03-26T17:11:09,C,607,594
2019-03-26T17:21:10,C,607,591
2019-03-26T17:31:09,C,607,598
2019-03-26T17:41:10,C,607,587
2019-03-26T17:51:40,C,607,583
2019-03-26T18:12:40,C,607,571
2019-03-26T18:32:11,C,607,560
2019-03-26T18:42:12,C,607,574
2019-03-26T18:52:12,C,607,560
2019-03-26T19:02:42,C,607,557
2019-03-26T19:13:42,C,607,555
2019-03-26T19:22:43,C,607,545
2019-03-26T19:33:14,C,607,542
2019-03-26T19:42:14,C,607,533
2019-03-26T19:53:14,C,607,517
2019-03-26T20:02:15,C,607,517
2019-03-26T20:13:44,C,607,513
2019-03-26T20:22:45,C,607,505
2019-03-26T20:33:45,C,607,507
2019-03-26T20:42:45,C,607,496
2019-03-26T20:53:15,C,607,490
2019-03-26T21:03:16,C,607,486
2019-03-26T21:13:16,C,607,487
2019-03-26T21:22:46,C,607,487
2019-03-26T21:33:46,C,607,484
2019-03-26T21:43:47,C,607,481
2019-03-26T21:52:47,C,607,479
2019-03-26T22:02:17,C,607,476
2019-03-26T22:13:18,C,607,471
2019-03-26T22:23:18,C,607,463
2019-03-26T22:33:19,C,607,466
2019-03-26T22:43:49,C,607,463
2019-03-26T22:53:49,C,607,460
2019-03-26T23:02:49,C,607,457
2019-03-26T23:14:20,C,607,454
2019-03-26T23:24:20,C,607,448
2019-03-26T23:34:20,C,607,445
2019-03-26T23:44:20,C,607,441
2019-03-26T23:54:50,C,607,439
2019-03-27T00:04:51,C,607,439
2019-03-27T00:13:51,C,607,440
2019-03-27T00:22:52,C,607,438
2019-03-27T00:30:22,C,607,438
2019-03-27T00:43:22,C,607,434
2019-03-27T00:54:22,C,607,432
2019-03-27T01:04:23,C,607,430
2019-03-27T01:14:53,C,607,428
2019-03-27T01:24:53,C,607,429
2019-03-27T01:34:53,C,607,434
2019-03-27T01:44:24,C,607,434
2019-03-27T01:54:24,C,607,433
2019-03-27T02:04:25,C,607,435
2019-03-27T02:14:25,C,607,433
2019-03-27T02:24:55,C,607,433
2019-03-27T02:34:56,C,607,433
2019-03-27T02:44:55,C,607,432
2019-03-27T02:54:56,C,607,431
2019-03-27T03:15:26,C,607,432
2019-03-27T03:25:27,C,607,431
2019-03-27T03:34:30,C,607,429
2019-03-27T03:45:57,C,607,432
2019-03-27T03:55:58,C,607,434
2019-03-27T04:04:58,C,607,434
2019-03-27T04:14:28,C,607,435
2019-03-27T04:24:28,C,607,436
2019-03-27T04:35:29,C,607,436
2019-03-27T04:44:29,C,607,437
2019-03-27T04:55:59,C,607,436
2019-03-27T05:06:00,C,607,438
2019-03-27T05:16:00,C,607,438
2019-03-27T05:25:00,C,607,435
2019-03-27T05:35:31,C,607,442
2019-03-27T05:45:31,C,607,448
2019-03-27T05:55:31,C,607,451
2019-03-27T06:06:02,C,607,452
2019-03-27T06:16:02,C,607,450
2019-03-27T06:26:02,C,607,459
2019-03-27T06:35:02,C,607,471
2019-03-27T06:45:34,C,607,489
2019-03-27T06:55:33,C,607,498
2019-03-27T07:05:33,C,607,520
2019-03-27T07:16:34,C,607,550
2019-03-27T07:26:04,C,607,551
2019-03-27T07:35:05,C,607,557
2019-03-27T07:45:06,C,607,573
2019-03-27T07:55:35,C,607,581
2019-03-27T08:06:36,C,607,581
2019-03-27T08:15:36,C,607,606
2019-03-27T08:25:36,C,607,607
2019-03-27T08:36:08,C,607,601
2019-03-27T08:45:08,C,607,606
2019-03-27T08:55:07,C,607,604
2019-03-27T09:06:38,C,607,606
2019-03-27T09:16:38,C,607,606
2019-03-27T09:25:38,C,607,603
2019-03-27T09:36:39,C,607,593
2019-03-27T09:46:08,C,607,597
2019-03-27T09:56:09,C,607,606
2019-03-27T10:06:09,C,607,607
2019-03-27T10:16:39,C,607,598
2019-03-27T10:26:39,C,607,607
2019-03-27T10:35:39,C,607,603
2019-03-27T10:46:40,C,607,605
2019-03-27T10:57:10,C,607,605
2019-03-27T11:06:10,C,607,599
2019-03-27T11:16:10,C,607,606
2019-03-27T11:26:11,C,607,607
2019-03-27T11:36:41,C,607,602
2019-03-27T11:46:41,C,607,607
2019-03-27T11:57:42,C,607,606
2019-03-27T12:07:12,C,607,607
2019-03-27T12:17:13,C,607,603
2019-03-27T12:27:13,C,607,604
2019-03-27T12:36:13,C,607,606
2019-03-27T12:47:43,C,607,598
2019-03-27T12:56:43,C,607,600
2019-03-27T13:07:44,C,607,607
2019-03-27T13:16:44,C,607,603
2019-03-27T13:27:14,C,607,604
2019-03-27T13:36:14,C,607,607
2019-03-27T13:47:15,C,607,597
2019-03-27T13:56:15,C,607,598
2019-03-27T14:07:46,C,607,603
2019-03-27T14:16:46,C,607,605
2019-03-27T14:27:46,C,607,606
2019-03-27T14:38:16,C,607,601
2019-03-27T14:47:17,C,607,603
2019-03-27T14:56:17,C,607,607
2019-03-27T15:07:17,C,607,593
2019-03-27T15:17:48,C,607,601
2019-03-27T15:26:48,C,607,599
2019-03-27T15:37:48,C,607,601
2019-03-27T15:47:49,C,607,594
2019-03-27T15:57:18,C,607,594
2019-03-27T16:07:19,C,607,585
2019-03-27T16:17:19,C,607,589
2019-03-27T16:28:50,C,607,589
2019-03-27T16:38:50,C,607,588
2019-03-27T16:48:50,C,607,598
2019-03-27T16:58:51,C,607,600
2019-03-27T17:08:21,C,607,601
2019-03-27T17:18:21,C,607,599
2019-03-27T17:27:21,C,607,606
2019-03-27T17:38:22,C,607,588
2019-03-27T17:47:52,C,607,586
2019-03-27T17:57:52,C,607,575
2019-03-27T18:08:53,C,607,557
2019-03-27T18:16:53,C,607,550
2019-03-27T18:27:23,C,607,543
2019-03-27T18:37:23,C,607,538
2019-03-27T18:48:23,C,607,546
2019-03-27T18:58:54,C,607,547
2019-03-27T19:08:55,C,607,542
2019-03-27T19:18:55,C,607,527
2019-03-27T19:27:55,C,607,526
2019-03-27T19:38:25,C,607,524
2019-03-27T19:48:25,C,607,529
2019-03-27T19:58:25,C,607,522
2019-03-27T20:08:26,C,607,509
