date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:31,C,208,150
2019-03-26T13:10:32,C,208,152
2019-03-26T13:20:32,C,208,153
2019-03-26T13:30:32,C,208,157
2019-03-26T13:40:32,C,208,161
2019-03-26T13:50:32,C,208,160
2019-03-26T13:59:32,C,208,158
2019-03-26T14:09:32,C,208,153
2019-03-26T14:20:32,C,208,155
2019-03-26T14:30:32,C,208,155
2019-03-26T14:40:33,C,208,155
2019-03-26T14:51:33,C,208,156
2019-03-26T15:00:33,C,208,159
2019-03-26T15:10:33,C,208,156
2019-03-26T15:19:33,C,208,155
2019-03-26T15:31:33,C,208,152
2019-03-26T15:40:33,C,208,150
2019-03-26T15:51:33,C,208,148
2019-03-26T16:00:33,C,208,146
2019-03-26T16:10:34,C,208,147
2019-03-26T16:20:34,C,208,144
2019-03-26T16:30:34,C,208,141
2019-03-26T16:40:34,C,208,139
2019-03-26T16:51:34,C,208,138
2019-03-26T17:01:34,C,208,138
2019-03-26T17:11:34,C,208,134
2019-03-26T17:21:34,C,208,138
2019-03-26T17:30:34,C,208,132
2019-03-26T17:40:35,C,208,133
2019-03-26T17:50:35,C,208,130
2019-03-26T18:12:35,C,208,135
2019-03-26T18:31:35,C,208,122
2019-03-26T18:41:35,C,208,119
2019-03-26T18:52:35,C,208,114
2019-03-26T19:02:36,C,208,106
2019-03-26T19:13:36,C,208,103
2019-03-26T19:22:36,C,208,94
2019-03-26T19:32:36,C,208,89
2019-03-26T19:41:36,C,208,86
2019-03-26T19:52:36,C,208,85
2019-03-26T20:02:36,C,208,89
2019-03-26T20:13:36,C,208,93
2019-03-26T20:22:36,C,208,90
2019-03-26T20:33:37,C,208,85
2019-03-26T20:43:37,C,208,81
2019-03-26T20:52:37,C,208,80
2019-03-26T21:02:37,C,208,79
2019-03-26T21:12:37,C,208,88
2019-03-26T21:22:37,C,208,85
2019-03-26T21:33:37,C,208,84
2019-03-26T21:43:37,C,208,82
2019-03-26T21:53:37,C,208,84
2019-03-26T22:01:38,C,208,83
2019-03-26T22:12:38,C,208,78
2019-03-26T22:22:38,C,208,80
2019-03-26T22:33:38,C,208,80
2019-03-26T22:43:38,C,208,76
2019-03-26T22:53:38,C,208,78
2019-03-26T23:03:38,C,208,74
2019-03-26T23:13:38,C,208,73
2019-03-26T23:23:38,C,208,69
2019-03-26T23:33:39,C,208,64
2019-03-26T23:44:39,C,208,59
2019-03-26T23:54:39,C,208,61
2019-03-27T00:04:39,C,208,61
2019-03-27T00:13:39,C,208,60
2019-03-27T00:21:39,C,208,58
2019-03-27T00:28:39,C,208,56
2019-03-27T00:42:39,C,208,56
2019-03-27T00:53:39,C,208,53
2019-03-27T01:04:40,C,208,51
2019-03-27T01:14:40,C,208,50
2019-03-27T01:24:40,C,208,50
2019-03-27T01:33:40,C,208,50
2019-03-27T01:43:40,C,208,51
2019-03-27T01:53:40,C,208,50
2019-03-27T02:03:40,C,208,52
2019-03-27T02:14:40,C,208,50
2019-03-27T02:24:41,C,208,51
2019-03-27T02:34:41,C,208,51
2019-03-27T02:44:41,C,208,50
2019-03-27T02:54:41,C,208,49
2019-03-27T03:15:23,C,208,49
2019-03-27T03:25:23,C,208,49
2019-03-27T03:34:23,C,208,50
2019-03-27T03:45:23,C,208,50
2019-03-27T03:55:23,C,208,49
2019-03-27T04:04:23,C,208,49
2019-03-27T04:14:23,C,208,48
2019-03-27T04:24:24,C,208,50
2019-03-27T04:35:24,C,208,50
2019-03-27T04:44:24,C,208,50
2019-03-27T04:55:24,C,208,51
2019-03-27T05:05:24,C,208,52
2019-03-27T05:14:24,C,208,54
2019-03-27T05:24:24,C,208,55
2019-03-27T05:35:24,C,208,54
2019-03-27T05:45:24,C,208,54
2019-03-27T05:55:25,C,208,54
2019-03-27T06:05:25,C,208,56
2019-03-27T06:15:25,C,208,57
2019-03-27T06:24:25,C,208,63
2019-03-27T06:34:25,C,208,65
2019-03-27T06:45:25,C,208,73
2019-03-27T06:55:25,C,208,81
2019-03-27T07:05:25,C,208,94
2019-03-27T07:16:26,C,208,100
2019-03-27T07:25:26,C,208,109
2019-03-27T07:34:26,C,208,108
2019-03-27T07:44:26,C,208,105
2019-03-27T07:55:26,C,208,112
2019-03-27T08:06:26,C,208,122
2019-03-27T08:15:26,C,208,131
2019-03-27T08:25:26,C,208,131
2019-03-27T08:36:26,C,208,133
2019-03-27T08:45:27,C,208,128
2019-03-27T08:54:27,C,208,136
2019-03-27T09:05:27,C,208,131
2019-03-27T09:16:27,C,208,136
2019-03-27T09:25:27,C,208,135
2019-03-27T09:36:27,C,208,135
2019-03-27T09:45:27,C,208,135
2019-03-27T09:56:27,C,208,132
2019-03-27T10:05:27,C,208,135
2019-03-27T10:15:28,C,208,139
2019-03-27T10:26:28,C,208,138
2019-03-27T10:35:28,C,208,140
2019-03-27T10:46:28,C,208,138
2019-03-27T10:56:28,C,208,141
2019-03-27T11:05:28,C,208,142
2019-03-27T11:16:28,C,208,144
2019-03-27T11:26:28,C,208,144
2019-03-27T11:36:28,C,208,148
