date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:22,C,251,170
2019-03-26T13:10:22,C,251,172
2019-03-26T13:20:23,C,251,171
2019-03-26T13:30:23,C,251,171
2019-03-26T13:40:23,C,251,169
2019-03-26T13:50:23,C,251,167
2019-03-26T13:59:23,C,251,172
2019-03-26T14:10:23,C,251,170
2019-03-26T14:20:23,C,251,170
2019-03-26T14:30:23,C,251,167
2019-03-26T14:40:23,C,251,169
2019-03-26T14:51:24,C,251,170
2019-03-26T15:00:24,C,251,173
2019-03-26T15:10:24,C,251,171
2019-03-26T15:20:24,C,251,171
2019-03-26T15:31:24,C,251,171
2019-03-26T15:40:24,C,251,167
2019-03-26T15:51:24,C,251,168
2019-03-26T16:00:24,C,251,164
2019-03-26T16:10:24,C,251,163
2019-03-26T16:20:25,C,251,164
2019-03-26T16:30:25,C,251,165
2019-03-26T16:41:25,C,251,162
2019-03-26T16:51:25,C,251,161
2019-03-26T17:01:25,C,251,165
2019-03-26T17:11:25,C,251,166
2019-03-26T17:21:25,C,251,162
2019-03-26T17:30:25,C,251,160
2019-03-26T17:40:25,C,251,160
2019-03-26T17:51:26,C,251,157
2019-03-26T18:12:26,C,251,157
2019-03-26T18:31:26,C,251,146
2019-03-26T18:42:26,C,251,145
2019-03-26T18:52:26,C,251,147
2019-03-26T19:02:26,C,251,139
2019-03-26T19:13:26,C,251,129
2019-03-26T19:22:27,C,251,127
2019-03-26T19:32:27,C,251,117
2019-03-26T19:41:27,C,251,114
2019-03-26T19:53:27,C,251,112
2019-03-26T20:02:27,C,251,106
2019-03-26T20:13:27,C,251,101
2019-03-26T20:22:27,C,251,96
2019-03-26T20:33:27,C,251,94
2019-03-26T20:43:27,C,251,90
2019-03-26T20:52:27,C,251,91
2019-03-26T21:02:28,C,251,88
2019-03-26T21:13:28,C,251,85
2019-03-26T21:22:28,C,251,75
2019-03-26T21:33:28,C,251,71
2019-03-26T21:43:28,C,251,68
2019-03-26T21:53:28,C,251,59
2019-03-26T22:01:28,C,251,58
2019-03-26T22:12:28,C,251,58
2019-03-26T22:23:29,C,251,52
2019-03-26T22:33:29,C,251,48
2019-03-26T22:43:29,C,251,47
2019-03-26T22:53:29,C,251,45
2019-03-26T23:03:29,C,251,41
2019-03-26T23:13:29,C,251,37
2019-03-26T23:23:29,C,251,38
2019-03-26T23:34:29,C,251,38
2019-03-26T23:44:29,C,251,37
2019-03-26T23:54:30,C,251,36
2019-03-27T00:04:30,C,251,37
2019-03-27T00:13:30,C,251,35
2019-03-27T00:21:30,C,251,37
2019-03-27T00:28:30,C,251,37
2019-03-27T00:42:30,C,251,34
2019-03-27T00:54:30,C,251,34
2019-03-27T01:04:30,C,251,34
2019-03-27T01:14:30,C,251,34
2019-03-27T01:24:30,C,251,33
2019-03-27T01:33:31,C,251,32
2019-03-27T01:43:31,C,251,32
2019-03-27T01:53:31,C,251,31
2019-03-27T02:04:31,C,251,31
2019-03-27T02:14:31,C,251,31
2019-03-27T02:24:31,C,251,31
2019-03-27T02:34:31,C,251,30
2019-03-27T02:44:31,C,251,31
2019-03-27T02:54:32,C,251,31
2019-03-27T03:15:12,C,251,31
2019-03-27T03:25:12,C,251,31
2019-03-27T03:34:13,C,251,30
2019-03-27T03:45:13,C,251,30
2019-03-27T03:55:13,C,251,30
2019-03-27T04:05:13,C,251,30
2019-03-27T04:14:13,C,251,30
2019-03-27T04:24:13,C,251,30
2019-03-27T04:35:13,C,251,29
2019-03-27T04:44:13,C,251,30
2019-03-27T04:55:13,C,251,30
2019-03-27T05:05:14,C,251,30
2019-03-27T05:15:14,C,251,29
2019-03-27T05:25:14,C,251,29
2019-03-27T05:35:14,C,251,29
2019-03-27T05:45:14,C,251,30
2019-03-27T05:55:14,C,251,30
2019-03-27T06:05:14,C,251,33
2019-03-27T06:15:14,C,251,32
2019-03-27T06:24:14,C,251,33
2019-03-27T06:35:14,C,251,44
2019-03-27T06:45:15,C,251,56
2019-03-27T06:55:15,C,251,76
2019-03-27T07:05:15,C,251,92
2019-03-27T07:16:15,C,251,110
2019-03-27T07:25:15,C,251,116
2019-03-27T07:34:15,C,251,115
2019-03-27T07:45:15,C,251,117
2019-03-27T07:55:15,C,251,119
2019-03-27T08:06:16,C,251,121
2019-03-27T08:15:16,C,251,130
2019-03-27T08:25:16,C,251,143
2019-03-27T08:36:16,C,251,147
