date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:27,C,326,276
2019-03-26T13:09:37,C,326,281
2019-03-26T13:20:47,C,326,286
2019-03-26T13:30:10,C,326,284
2019-03-26T13:40:05,C,326,282
2019-03-26T13:50:37,C,326,278
2019-03-26T14:00:19,C,326,278
2019-03-26T14:10:23,C,326,279
2019-03-26T14:20:03,C,326,279
2019-03-26T14:31:10,C,326,280
2019-03-26T14:39:43,C,326,281
2019-03-26T14:51:18,C,326,279
2019-03-26T15:00:57,C,326,278
2019-03-26T15:11:20,C,326,277
2019-03-26T15:19:55,C,326,276
2019-03-26T15:31:39,C,326,275
2019-03-26T15:40:07,C,326,273
2019-03-26T15:51:57,C,326,270
2019-03-26T16:00:58,C,326,269
2019-03-26T16:10:12,C,326,271
2019-03-26T16:21:47,C,326,270
2019-03-26T16:30:46,C,326,269
2019-03-26T16:40:55,C,326,268
2019-03-26T16:51:38,C,326,267
2019-03-26T17:01:23,C,326,265
2019-03-26T17:10:49,C,326,260
2019-03-26T17:21:21,C,326,257
2019-03-26T17:30:50,C,326,255
2019-03-26T17:41:15,C,326,255
2019-03-26T17:51:40,C,326,250
2019-03-26T18:12:10,C,326,240
2019-03-26T18:31:59,C,326,237
2019-03-26T18:41:56,C,326,232
2019-03-26T18:52:05,C,326,232
2019-03-26T19:01:52,C,326,226
2019-03-26T19:13:44,C,326,215
2019-03-26T19:21:43,C,326,214
2019-03-26T19:32:47,C,326,209
2019-03-26T19:41:47,C,326,204
2019-03-26T19:53:37,C,326,203
2019-03-26T20:01:48,C,326,201
2019-03-26T20:13:22,C,326,196
2019-03-26T20:22:37,C,326,192
2019-03-26T20:32:53,C,326,189
2019-03-26T20:43:49,C,326,187
2019-03-26T20:53:50,C,326,183
2019-03-26T21:03:17,C,326,181
2019-03-26T21:13:33,C,326,182
2019-03-26T21:19:49,C,326,180
2019-03-26T21:29:56,C,326,178
2019-03-26T21:41:49,C,326,175
2019-03-26T21:53:13,C,326,173
2019-03-26T22:01:51,C,326,172
2019-03-26T22:13:41,C,326,171
2019-03-26T22:22:54,C,326,167
2019-03-26T22:31:25,C,326,164
2019-03-26T22:43:20,C,326,159
2019-03-26T22:52:22,C,326,154
2019-03-26T23:03:31,C,326,150
2019-03-26T23:14:35,C,326,147
2019-03-26T23:25:06,C,326,144
2019-03-26T23:33:48,C,326,143
2019-03-26T23:44:38,C,326,143
2019-03-26T23:54:34,C,326,143
2019-03-27T00:04:13,C,326,141
2019-03-27T00:11:52,C,326,139
2019-03-27T00:22:20,C,326,139
2019-03-27T00:29:45,C,326,139
2019-03-27T00:42:38,C,326,139
2019-03-27T00:54:20,C,326,137
2019-03-27T01:03:36,C,326,136
2019-03-27T01:14:45,C,326,135
2019-03-27T01:24:33,C,326,135
2019-03-27T01:34:21,C,326,135
2019-03-27T01:43:37,C,326,134
2019-03-27T01:54:21,C,326,133
2019-03-27T02:04:38,C,326,133
2019-03-27T02:14:21,C,326,131
2019-03-27T02:24:34,C,326,131
2019-03-27T02:30:21,C,326,131
2019-03-27T02:42:51,C,326,131
2019-03-27T02:54:23,C,326,130
2019-03-27T03:15:54,C,326,130
2019-03-27T03:24:52,C,326,129
2019-03-27T03:34:25,C,326,128
2019-03-27T03:43:31,C,326,128
2019-03-27T03:54:25,C,326,128
2019-03-27T04:04:15,C,326,129
2019-03-27T04:14:26,C,326,129
2019-03-27T04:23:17,C,326,130
2019-03-27T04:35:01,C,326,130
2019-03-27T04:42:28,C,326,131
2019-03-27T04:54:26,C,326,132
2019-03-27T05:05:06,C,326,135
2019-03-27T05:14:26,C,326,136
2019-03-27T05:25:33,C,326,136
2019-03-27T05:35:56,C,326,140
2019-03-27T05:45:25,C,326,143
2019-03-27T05:55:32,C,326,144
2019-03-27T06:04:44,C,326,146
2019-03-27T06:15:36,C,326,147
2019-03-27T06:25:33,C,326,151
2019-03-27T06:34:55,C,326,158
2019-03-27T06:45:30,C,326,164
2019-03-27T06:55:47,C,326,174
2019-03-27T07:03:56,C,326,191
2019-03-27T07:15:39,C,326,204
2019-03-27T07:23:46,C,326,205
2019-03-27T07:33:59,C,326,216
2019-03-27T07:44:59,C,326,225
2019-03-27T07:54:29,C,326,230
2019-03-27T08:05:58,C,326,236
2019-03-27T08:14:45,C,326,241
2019-03-27T08:25:57,C,326,246
2019-03-27T08:35:32,C,326,258
2019-03-27T08:45:07,C,326,261
2019-03-27T08:54:57,C,326,262
2019-03-27T09:05:49,C,326,263
2019-03-27T09:16:25,C,326,261
2019-03-27T09:24:54,C,326,261
2019-03-27T09:36:14,C,326,263
2019-03-27T09:45:13,C,326,263
2019-03-27T09:56:22,C,326,262
2019-03-27T10:06:31,C,326,262
2019-03-27T10:14:43,C,326,262
2019-03-27T10:27:03,C,326,268
2019-03-27T10:35:08,C,326,271
2019-03-27T10:46:39,C,326,268
2019-03-27T10:56:27,C,326,268
2019-03-27T11:03:54,C,326,268
2019-03-27T11:16:03,C,326,268
2019-03-27T11:26:48,C,326,266
2019-03-27T11:37:00,C,326,271
2019-03-27T11:45:58,C,326,273
2019-03-27T11:57:58,C,326,273
2019-03-27T12:07:00,C,326,274
2019-03-27T12:17:05,C,326,276
2019-03-27T12:26:55,C,326,278
2019-03-27T12:37:07,C,326,277
2019-03-27T12:47:38,C,326,276
2019-03-27T12:56:26,C,326,277
2019-03-27T13:07:32,C,326,278
2019-03-27T13:15:42,C,326,278
2019-03-27T13:27:14,C,326,278
2019-03-27T13:36:44,C,326,276
2019-03-27T13:46:35,C,326,275
2019-03-27T13:56:38,C,326,274
2019-03-27T14:07:46,C,326,274
2019-03-27T14:16:23,C,326,274
2019-03-27T14:26:35,C,326,273
2019-03-27T14:37:34,C,326,275
2019-03-27T14:46:38,C,326,275
2019-03-27T14:56:27,C,326,274
2019-03-27T15:06:50,C,326,270
2019-03-27T15:17:24,C,326,270
2019-03-27T15:26:45,C,326,271
2019-03-27T15:34:36,C,326,271
2019-03-27T15:47:09,C,326,272
2019-03-27T15:57:42,C,326,269
2019-03-27T16:06:37,C,326,268
2019-03-27T16:17:31,C,326,265
2019-03-27T16:28:39,C,326,268
2019-03-27T16:38:37,C,326,268
2019-03-27T16:48:18,C,326,265
2019-03-27T16:58:37,C,326,264
2019-03-27T17:08:32,C,326,260
2019-03-27T17:17:34,C,326,264
2019-03-27T17:25:31,C,326,263
2019-03-27T17:38:52,C,326,257
2019-03-27T17:46:56,C,326,256
2019-03-27T17:57:29,C,326,254
2019-03-27T18:08:16,C,326,250
2019-03-27T18:17:20,C,326,251
2019-03-27T18:27:20,C,326,247
2019-03-27T18:36:55,C,326,241
2019-03-27T18:47:57,C,326,236
2019-03-27T18:57:38,C,326,230
2019-03-27T19:06:39,C,326,224
2019-03-27T19:17:58,C,326,213
2019-03-27T19:28:44,C,326,213
2019-03-27T19:37:56,C,326,209
2019-03-27T19:48:31,C,326,206
2019-03-27T19:57:51,C,326,205
2019-03-27T20:06:56,C,326,201
2019-03-27T20:18:52,C,326,200
2019-03-27T20:29:46,C,326,197
2019-03-27T20:37:04,C,326,198
2019-03-27T20:48:44,C,326,197
2019-03-27T20:57:55,C,326,189
2019-03-27T21:07:53,C,326,189
2019-03-27T21:18:41,C,326,182
2019-03-27T21:27:27,C,326,176
2019-03-27T21:37:59,C,326,170
2019-03-27T21:48:15,C,326,170
2019-03-27T21:59:50,C,326,172
2019-03-27T22:08:09,C,326,170
2019-03-27T22:18:05,C,326,168
2019-03-27T22:30:15,C,326,165
2019-03-27T22:39:05,C,326,165
2019-03-27T22:48:51,C,326,165
2019-03-27T22:59:20,C,326,161
2019-03-27T23:09:05,C,326,159
2019-03-27T23:19:02,C,326,157
2019-03-27T23:28:53,C,326,157
2019-03-27T23:40:19,C,326,151
2019-03-27T23:49:33,C,326,149
2019-03-27T23:59:11,C,326,147
2019-03-28T00:10:01,C,326,145
2019-03-28T00:18:53,C,326,143
2019-03-28T00:28:48,C,326,141
2019-03-28T00:38:44,C,326,141
2019-03-28T00:46:44,C,326,141
2019-03-28T00:58:44,C,326,141
2019-03-28T01:06:45,C,326,139
2019-03-28T01:20:05,C,326,138
2019-03-28T01:29:48,C,326,138
2019-03-28T01:38:45,C,326,138
2019-03-28T01:48:58,C,326,138
2019-03-28T02:00:09,C,326,138
2019-03-28T02:09:16,C,326,138
2019-03-28T02:20:07,C,326,138
2019-03-28T02:30:46,C,326,138
2019-03-28T02:38:46,C,326,138
2019-03-28T02:50:17,C,326,137
2019-03-28T02:58:49,C,326,137
2019-03-28T03:09:15,C,326,136
2019-03-28T03:18:49,C,326,136
2019-03-28T03:30:49,C,326,135
2019-03-28T03:38:49,C,326,135
2019-03-28T03:50:19,C,326,135
2019-03-28T03:58:50,C,326,135
2019-03-28T04:06:50,C,326,135
2019-03-28T04:21:36,C,326,136
2019-03-28T04:26:56,C,326,135
2019-03-28T04:38:51,C,326,135
2019-03-28T04:49:49,C,326,136
2019-03-28T05:01:36,C,326,137
2019-03-28T05:10:51,C,326,139
2019-03-28T05:18:51,C,326,140
2019-03-28T05:31:36,C,326,142
2019-03-28T05:39:16,C,326,145
2019-03-28T05:50:52,C,326,149
2019-03-28T06:01:10,C,326,151
2019-03-28T06:10:52,C,326,153
2019-03-28T06:20:30,C,326,153
2019-03-28T06:30:52,C,326,158
2019-03-28T06:38:59,C,326,161
2019-03-28T06:50:53,C,326,172
2019-03-28T06:59:56,C,326,183
2019-03-28T07:10:53,C,326,199
2019-03-28T07:20:54,C,326,204
2019-03-28T07:30:56,C,326,210
2019-03-28T07:40:44,C,326,214
2019-03-28T07:50:53,C,326,222
2019-03-28T08:01:56,C,326,232
2019-03-28T08:10:57,C,326,238
2019-03-28T08:21:20,C,326,244
2019-03-28T08:31:50,C,326,247
2019-03-28T08:41:05,C,326,249
2019-03-28T08:51:35,C,326,252
2019-03-28T09:01:21,C,326,254
2019-03-28T09:12:25,C,326,257
2019-03-28T09:20:37,C,326,257
2019-03-28T09:32:13,C,326,259
2019-03-28T09:42:16,C,326,264
2019-03-28T09:52:50,C,326,266
2019-03-28T10:00:29,C,326,268
2019-03-28T10:10:55,C,326,269
2019-03-28T10:21:59,C,326,273
2019-03-28T10:32:51,C,326,276
2019-03-28T10:41:57,C,326,276
2019-03-28T10:51:15,C,326,278
2019-03-28T11:00:58,C,326,274
2019-03-28T11:12:07,C,326,274
2019-03-28T11:22:21,C,326,276
2019-03-28T11:31:28,C,326,280
2019-03-28T11:42:57,C,326,281
2019-03-28T11:51:51,C,326,282
2019-03-28T12:01:31,C,326,280
2019-03-28T12:13:14,C,326,281
2019-03-28T12:21:58,C,326,278
2019-03-28T12:32:07,C,326,278
2019-03-28T12:42:58,C,326,279
2019-03-28T12:53:09,C,326,277
2019-03-28T13:00:38,C,326,277
2019-03-28T13:11:53,C,326,280
2019-03-28T13:22:59,C,326,278
2019-03-28T13:32:11,C,326,278
2019-03-28T13:42:18,C,326,278
2019-03-28T13:53:16,C,326,279
2019-03-28T14:02:14,C,326,280
2019-03-28T14:12:26,C,326,280
