date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:40,C,54,3
2019-03-26T13:10:41,C,54,4
2019-03-26T13:20:41,C,54,4
2019-03-26T13:30:41,C,54,12
2019-03-26T13:40:11,C,54,12
2019-03-26T13:50:12,C,54,10
2019-03-26T14:00:12,C,54,14
2019-03-26T14:10:12,C,54,17
2019-03-26T14:20:43,C,54,18
2019-03-26T14:30:43,C,54,15
2019-03-26T14:40:43,C,54,12
2019-03-26T14:51:14,C,54,13
2019-03-26T15:00:14,C,54,14
2019-03-26T15:11:14,C,54,15
2019-03-26T15:20:14,C,54,12
2019-03-26T15:31:45,C,54,18
2019-03-26T15:40:45,C,54,21
2019-03-26T15:51:45,C,54,21
2019-03-26T15:59:45,C,54,24
2019-03-26T16:10:16,C,54,22
2019-03-26T16:21:16,C,54,21
2019-03-26T16:31:19,C,54,19
2019-03-26T16:41:47,C,54,25
2019-03-26T16:51:47,C,54,27
2019-03-26T17:01:48,C,54,27
2019-03-26T17:10:47,C,54,31
2019-03-26T17:21:18,C,54,29
2019-03-26T17:31:18,C,54,29
2019-03-26T17:41:18,C,54,29
2019-03-26T17:51:19,C,54,30
2019-03-26T18:12:49,C,54,29
2019-03-26T18:32:20,C,54,30
2019-03-26T18:42:20,C,54,30
2019-03-26T18:52:20,C,54,31
2019-03-26T19:02:21,C,54,30
2019-03-26T19:13:51,C,54,25
2019-03-26T19:22:51,C,54,27
2019-03-26T19:32:52,C,54,27
2019-03-26T19:41:54,C,54,28
2019-03-26T19:53:22,C,54,31
2019-03-26T20:02:23,C,54,34
2019-03-26T20:13:23,C,54,33
2019-03-26T20:22:53,C,54,30
2019-03-26T20:33:53,C,54,29
2019-03-26T20:42:53,C,54,32
2019-03-26T20:52:54,C,54,31
2019-03-26T21:03:24,C,54,32
2019-03-26T21:13:24,C,54,33
2019-03-26T21:22:24,C,54,35
2019-03-26T21:33:25,C,54,37
2019-03-26T21:43:55,C,54,36
2019-03-26T21:52:55,C,54,34
2019-03-26T22:01:56,C,54,33
2019-03-26T22:13:26,C,54,33
2019-03-26T22:23:32,C,54,33
2019-03-26T22:33:26,C,54,33
2019-03-26T22:43:27,C,54,32
2019-03-26T22:52:57,C,54,32
2019-03-26T23:02:57,C,54,30
2019-03-26T23:13:58,C,54,31
2019-03-26T23:24:28,C,54,29
2019-03-26T23:34:28,C,54,28
2019-03-26T23:44:29,C,54,27
2019-03-26T23:54:29,C,54,27
2019-03-27T00:04:59,C,54,27
2019-03-27T00:13:59,C,54,27
2019-03-27T00:23:00,C,54,27
2019-03-27T00:30:01,C,54,28
2019-03-27T00:43:30,C,54,28
2019-03-27T00:54:31,C,54,28
2019-03-27T01:04:31,C,54,28
2019-03-27T01:14:31,C,54,28
2019-03-27T01:25:01,C,54,28
2019-03-27T01:35:02,C,54,28
2019-03-27T01:44:02,C,54,28
2019-03-27T01:54:32,C,54,28
2019-03-27T02:04:33,C,54,28
2019-03-27T02:14:33,C,54,28
2019-03-27T02:24:33,C,54,28
2019-03-27T02:35:03,C,54,27
2019-03-27T02:45:04,C,54,28
2019-03-27T02:55:04,C,54,28
2019-03-27T03:15:35,C,54,28
2019-03-27T03:25:35,C,54,28
2019-03-27T03:34:35,C,54,28
2019-03-27T03:46:06,C,54,28
2019-03-27T03:56:06,C,54,28
2019-03-27T04:05:06,C,54,27
2019-03-27T04:14:06,C,54,27
2019-03-27T04:24:36,C,54,27
2019-03-27T04:35:37,C,54,27
2019-03-27T04:44:37,C,54,27
2019-03-27T04:55:37,C,54,27
2019-03-27T05:05:56,C,54,27
2019-03-27T05:15:56,C,54,27
2019-03-27T05:25:26,C,54,26
2019-03-27T05:35:27,C,54,26
2019-03-27T05:45:27,C,54,26
2019-03-27T05:55:27,C,54,26
2019-03-27T06:05:58,C,54,25
