date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:00:02,C,242,184,Y,0,0,H,0,0
2019-03-26T13:10:02,C,242,185,Y,0,0,H,0,0
2019-03-26T13:20:03,C,242,183,Y,0,0,H,0,0
2019-03-26T13:30:03,C,242,187,Y,0,0,H,0,0
2019-03-26T13:40:03,C,242,187,Y,0,0,H,0,0
2019-03-26T13:50:03,C,242,186,Y,0,0,H,0,0
2019-03-26T14:00:03,C,242,181,Y,0,0,H,0,0
2019-03-26T14:10:02,C,242,181,Y,0,0,H,0,0
2019-03-26T14:20:03,C,242,177,Y,0,0,H,0,0
2019-03-26T14:30:03,C,242,177,Y,0,0,H,0,0
2019-03-26T14:40:02,C,242,179,Y,0,0,H,0,0
2019-03-26T14:50:03,C,242,179,Y,0,0,H,0,0
2019-03-26T15:00:03,C,242,179,Y,0,0,H,0,0
2019-03-26T15:12:03,C,242,183,Y,0,0,H,0,0
2019-03-26T15:20:03,C,242,183,Y,0,0,H,0,0
2019-03-26T15:30:02,C,242,182,Y,0,0,H,0,0
2019-03-26T15:40:02,C,242,180,Y,0,0,H,0,0
2019-03-26T15:50:03,C,242,181,Y,0,0,H,0,0
2019-03-26T16:00:03,C,242,183,Y,0,0,H,0,0
2019-03-26T16:10:03,C,242,186,Y,0,0,H,0,0
2019-03-26T16:20:02,C,242,186,Y,0,0,H,0,0
2019-03-26T16:30:03,C,242,188,Y,0,0,H,0,0
2019-03-26T16:42:02,C,242,188,Y,0,0,H,0,0
2019-03-26T16:52:03,C,242,184,Y,0,0,H,0,0
2019-03-26T17:02:02,C,242,182,Y,0,0,H,0,0
2019-03-26T17:10:02,C,242,183,Y,0,0,H,0,0
2019-03-26T17:20:02,C,242,182,Y,0,0,H,0,0
2019-03-26T17:32:03,C,242,181,Y,0,0,H,0,0
2019-03-26T17:40:03,C,242,183,Y,0,0,H,0,0
2019-03-26T17:50:03,C,242,181,Y,0,0,H,0,0
2019-03-26T18:12:02,C,242,172,Y,0,0,H,0,0
2019-03-26T18:32:02,C,242,166,Y,0,0,H,0,0
2019-03-26T18:42:03,C,242,164,Y,0,0,H,0,0
2019-03-26T18:52:02,C,242,165,Y,0,0,H,0,0
2019-03-26T19:02:03,C,242,163,Y,0,0,H,0,0
2019-03-26T19:12:02,C,242,159,Y,0,0,H,0,0
2019-03-26T19:22:02,C,242,157,Y,0,0,H,0,0
2019-03-26T19:32:03,C,242,156,Y,0,0,H,0,0
2019-03-26T19:42:03,C,242,152,Y,0,0,H,0,0
2019-03-26T19:52:03,C,242,151,Y,0,0,H,0,0
2019-03-26T20:02:03,C,242,147,Y,0,0,H,0,0
2019-03-26T20:12:03,C,242,145,Y,0,0,H,0,0
2019-03-26T20:22:02,C,242,145,Y,0,0,H,0,0
2019-03-26T20:32:03,C,242,145,Y,0,0,H,0,0
2019-03-26T20:42:03,C,242,141,Y,0,0,H,0,0
2019-03-26T20:54:03,C,242,136,Y,0,0,H,0,0
2019-03-26T21:02:03,C,242,135,Y,0,0,H,0,0
2019-03-26T21:14:02,C,242,129,Y,0,0,H,0,0
2019-03-26T21:22:03,C,242,127,Y,0,0,H,0,0
2019-03-26T21:32:03,C,242,122,Y,0,0,H,0,0
2019-03-26T21:42:03,C,242,120,Y,0,0,H,0,0
2019-03-26T21:54:03,C,242,120,Y,0,0,H,0,0
2019-03-26T22:02:02,C,242,118,Y,0,0,H,0,0
2019-03-26T22:12:02,C,242,116,Y,0,0,H,0,0
2019-03-26T22:22:03,C,242,115,Y,0,0,H,0,0
2019-03-26T22:34:03,C,242,113,Y,0,0,H,0,0
2019-03-26T22:42:03,C,242,114,Y,0,0,H,0,0
2019-03-26T22:52:03,C,242,112,Y,0,0,H,0,0
2019-03-26T23:04:02,C,242,110,Y,0,0,H,0,0
2019-03-26T23:14:03,C,242,110,Y,0,0,H,0,0
2019-03-26T23:24:02,C,242,112,Y,0,0,H,0,0
2019-03-26T23:34:02,C,242,111,Y,0,0,H,0,0
2019-03-26T23:44:02,C,242,110,Y,0,0,H,0,0
2019-03-26T23:54:03,C,242,110,Y,0,0,H,0,0
2019-03-27T00:04:03,C,242,110,Y,0,0,H,0,0
2019-03-27T00:14:03,C,242,111,Y,0,0,H,0,0
2019-03-27T00:22:03,C,242,110,Y,0,0,H,0,0
2019-03-27T00:30:02,C,242,109,Y,0,0,H,0,0
2019-03-27T00:44:02,C,242,106,Y,0,0,H,0,0
2019-03-27T00:54:03,C,242,104,Y,0,0,H,0,0
2019-03-27T01:03:37,C,242,104,Y,0,0,H,0,0
2019-03-27T01:14:03,C,242,104,Y,0,0,H,0,0
2019-03-27T01:24:03,C,242,104,Y,0,0,H,0,0
2019-03-27T01:32:41,C,242,104,Y,0,0,H,0,0
2019-03-27T01:44:37,C,242,104,Y,0,0,H,0,0
2019-03-27T01:52:41,C,242,104,Y,0,0,H,0,0
2019-03-27T02:02:42,C,242,103,Y,0,0,H,0,0
2019-03-27T02:14:10,C,242,103,Y,0,0,H,0,0
2019-03-27T02:24:03,C,242,104,Y,0,0,H,0,0
2019-03-27T02:34:03,C,242,111,Y,0,0,H,0,0
2019-03-27T02:44:02,C,242,110,Y,0,0,H,0,0
2019-03-27T02:56:04,C,242,110,Y,0,0,H,0,0
2019-03-27T03:14:03,C,242,110,Y,0,0,H,0,0
2019-03-27T03:26:03,C,242,111,Y,0,0,H,0,0
2019-03-27T03:34:03,C,242,111,Y,0,0,H,0,0
2019-03-27T03:44:02,C,242,111,Y,0,0,H,0,0
2019-03-27T03:54:03,C,242,111,Y,0,0,H,0,0
2019-03-27T04:04:04,C,242,111,Y,0,0,H,0,0
2019-03-27T04:14:03,C,242,111,Y,0,0,H,0,0
2019-03-27T04:24:03,C,242,112,Y,0,0,H,0,0
2019-03-27T04:36:03,C,242,111,Y,0,0,H,0,0
2019-03-27T04:44:03,C,242,111,Y,0,0,H,0,0
2019-03-27T04:54:03,C,242,113,Y,0,0,H,0,0
2019-03-27T05:06:04,C,242,114,Y,0,0,H,0,0
2019-03-27T05:14:03,C,242,114,Y,0,0,H,0,0
2019-03-27T05:24:03,C,242,115,Y,0,0,H,0,0
2019-03-27T05:36:02,C,242,115,Y,0,0,H,0,0
2019-03-27T05:44:03,C,242,116,Y,0,0,H,0,0
2019-03-27T05:54:03,C,242,118,Y,0,0,H,0,0
2019-03-27T06:06:03,C,242,117,Y,0,0,H,0,0
2019-03-27T06:14:03,C,242,119,Y,0,0,H,0,0
2019-03-27T06:24:03,C,242,123,Y,0,0,H,0,0
2019-03-27T06:36:03,C,242,126,Y,0,0,H,0,0
2019-03-27T06:46:03,C,242,135,Y,0,0,H,0,0
2019-03-27T06:54:03,C,242,139,Y,0,0,H,0,0
2019-03-27T07:04:07,C,242,145,Y,0,0,H,0,0
2019-03-27T07:16:03,C,242,156,Y,0,0,H,0,0
2019-03-27T07:26:03,C,242,161,Y,0,0,H,0,0
2019-03-27T07:34:02,C,242,160,Y,0,0,H,0,0
2019-03-27T07:44:03,C,242,163,Y,0,0,H,0,0
2019-03-27T07:56:02,C,242,162,Y,0,0,H,0,0
2019-03-27T08:06:03,C,242,166,Y,0,0,H,0,0
2019-03-27T08:14:03,C,242,168,Y,0,0,H,0,0
2019-03-27T08:26:02,C,242,174,Y,0,0,H,0,0
2019-03-27T08:36:02,C,242,179,Y,0,0,H,0,0
2019-03-27T08:44:02,C,242,184,Y,0,0,H,0,0
2019-03-27T08:56:03,C,242,184,Y,0,0,H,0,0
2019-03-27T09:06:02,C,242,187,Y,0,0,H,0,0
2019-03-27T09:16:04,C,242,187,Y,0,0,H,0,0
2019-03-27T09:26:03,C,242,190,Y,0,0,H,0,0
2019-03-27T09:36:02,C,242,191,Y,0,0,H,0,0
2019-03-27T09:46:03,C,242,191,Y,0,0,H,0,0
2019-03-27T09:56:03,C,242,188,Y,0,0,H,0,0
2019-03-27T10:06:02,C,242,185,Y,0,0,H,0,0
2019-03-27T10:16:03,C,242,185,Y,0,0,H,0,0
2019-03-27T10:26:02,C,242,185,Y,0,0,H,0,0
2019-03-27T10:34:03,C,242,186,Y,0,0,H,0,0
2019-03-27T10:46:02,C,242,189,Y,0,0,H,0,0
2019-03-27T10:56:02,C,242,188,Y,0,0,H,0,0
2019-03-27T11:06:03,C,242,186,Y,0,0,H,0,0
2019-03-27T11:16:03,C,242,188,Y,0,0,H,0,0
2019-03-27T11:26:03,C,242,189,Y,0,0,H,0,0
2019-03-27T11:36:05,C,242,190,Y,0,0,H,0,0
2019-03-27T11:46:02,C,242,188,Y,0,0,H,0,0
2019-03-27T11:56:02,C,242,190,Y,0,0,H,0,0
2019-03-27T12:06:02,C,242,190,Y,0,0,H,0,0
2019-03-27T12:16:03,C,242,187,Y,0,0,H,0,0
2019-03-27T12:26:02,C,242,189,Y,0,0,H,0,0
2019-03-27T12:36:02,C,242,190,Y,0,0,H,0,0
2019-03-27T12:48:03,C,242,189,Y,0,0,H,0,0
2019-03-27T12:56:02,C,242,190,Y,0,0,H,0,0
2019-03-27T13:06:03,C,242,191,Y,0,0,H,0,0
2019-03-27T13:16:02,C,242,194,Y,0,0,H,0,0
2019-03-27T13:26:03,C,242,192,Y,0,0,H,0,0
2019-03-27T13:36:02,C,242,194,Y,0,0,H,0,0
2019-03-27T13:46:03,C,242,196,Y,0,0,H,0,0
2019-03-27T13:56:02,C,242,194,Y,0,0,H,0,0
2019-03-27T14:06:03,C,242,193,Y,0,0,H,0,0
2019-03-27T14:16:02,C,242,193,Y,0,0,H,0,0
2019-03-27T14:26:03,C,242,193,Y,0,0,H,0,0
2019-03-27T14:36:02,C,242,189,Y,0,0,H,0,0
2019-03-27T14:46:02,C,242,189,Y,0,0,H,0,0
2019-03-27T14:56:03,C,242,188,Y,0,0,H,0,0
2019-03-27T15:08:02,C,242,186,Y,0,0,H,0,0
2019-03-27T15:18:02,C,242,183,Y,0,0,H,0,0
2019-03-27T15:26:03,C,242,185,Y,0,0,H,0,0
2019-03-27T15:36:03,C,242,183,Y,0,0,H,0,0
2019-03-27T15:46:02,C,242,183,Y,0,0,H,0,0
2019-03-27T15:56:02,C,242,182,Y,0,0,H,0,0
2019-03-27T16:08:03,C,242,179,Y,0,0,H,0,0
2019-03-27T16:16:03,C,242,178,Y,0,0,H,0,0
2019-03-27T16:28:02,C,242,181,Y,0,0,H,0,0
2019-03-27T16:38:02,C,242,179,Y,0,0,H,0,0
2019-03-27T16:48:03,C,242,181,Y,0,0,H,0,0
2019-03-27T16:58:02,C,242,183,Y,0,0,H,0,0
2019-03-27T17:08:03,C,242,182,Y,0,0,H,0,0
2019-03-27T17:18:03,C,242,178,Y,0,0,H,0,0
2019-03-27T17:26:03,C,242,180,Y,0,0,H,0,0
2019-03-27T17:38:02,C,242,181,Y,0,0,H,0,0
2019-03-27T17:48:02,C,242,180,Y,0,0,H,0,0
2019-03-27T17:56:02,C,242,181,Y,0,0,H,0,0
2019-03-27T18:08:03,C,242,176,Y,0,0,H,0,0
2019-03-27T18:18:03,C,242,174,Y,0,0,H,0,0
2019-03-27T18:28:03,C,242,172,Y,0,0,H,0,0
2019-03-27T18:36:03,C,242,171,Y,0,0,H,0,0
2019-03-27T18:48:03,C,242,162,Y,0,0,H,0,0
