date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:01:02,C,104,33,Y,12,0,H,0,0
2019-03-26T13:09:30,C,104,35,Y,12,0,H,0,0
2019-03-26T13:19:01,C,104,37,Y,12,0,H,0,0
2019-03-26T13:29:39,C,104,37,Y,12,0,H,0,0
2019-03-26T13:39:25,C,104,36,Y,12,0,H,0,0
2019-03-26T13:49:37,C,104,39,Y,12,0,H,0,0
2019-03-26T13:59:33,C,104,40,Y,12,0,H,0,0
2019-03-26T14:09:40,C,104,40,Y,12,0,H,0,0
2019-03-26T14:19:04,C,104,40,Y,12,0,H,0,0
2019-03-26T14:29:07,C,104,40,Y,12,0,H,0,0
2019-03-26T14:39:03,C,104,40,Y,12,0,H,0,0
2019-03-26T14:49:32,C,104,40,Y,12,0,H,0,0
2019-03-26T15:01:06,C,104,39,Y,12,0,H,0,0
2019-03-26T15:11:28,C,104,39,Y,12,0,H,0,0
2019-03-26T15:19:02,C,104,39,Y,12,0,H,0,0
2019-03-26T15:31:01,C,104,40,Y,12,0,H,0,0
2019-03-26T15:39:04,C,104,40,Y,12,0,H,0,0
2019-03-26T15:51:04,C,104,40,Y,12,0,H,0,0
2019-03-26T16:01:01,C,104,38,Y,12,0,H,0,0
2019-03-26T16:09:04,C,104,38,Y,12,0,H,0,0
2019-03-26T16:21:35,C,104,39,Y,12,0,H,0,0
2019-03-26T16:31:27,C,104,39,Y,12,0,H,0,0
2019-03-26T16:41:03,C,104,42,Y,12,0,H,0,0
2019-03-26T16:51:03,C,104,42,Y,12,0,H,0,0
2019-03-26T17:01:39,C,104,39,Y,12,0,H,0,0
2019-03-26T17:11:07,C,104,42,Y,12,0,H,0,0
2019-03-26T17:19:01,C,104,40,Y,12,0,H,0,0
2019-03-26T17:31:01,C,104,37,Y,12,0,H,0,0
2019-03-26T17:41:26,C,104,36,Y,12,0,H,0,0
2019-03-26T17:51:05,C,104,34,Y,12,0,H,0,0
2019-03-26T18:11:03,C,104,29,Y,12,0,H,0,0
2019-03-26T18:31:37,C,104,29,Y,12,0,H,0,0
2019-03-26T18:41:28,C,104,28,Y,12,0,H,0,0
2019-03-26T18:51:34,C,104,25,Y,12,0,H,0,0
2019-03-26T19:01:02,C,104,22,Y,12,0,H,0,0
2019-03-26T19:11:34,C,104,17,Y,12,0,H,0,0
2019-03-26T19:21:29,C,104,13,Y,12,0,H,0,0
2019-03-26T19:33:02,C,104,11,Y,12,0,H,0,0
2019-03-26T19:41:40,C,104,13,Y,12,0,H,0,0
2019-03-26T19:53:04,C,104,9,Y,12,0,H,0,0
2019-03-26T20:01:01,C,104,8,Y,12,0,H,0,0
2019-03-26T20:13:02,C,104,10,Y,12,0,H,0,0
2019-03-26T20:23:03,C,104,9,Y,12,0,H,0,0
2019-03-26T20:33:04,C,104,7,Y,12,0,H,0,0
2019-03-26T20:41:30,C,104,7,Y,12,0,H,0,0
2019-03-26T20:53:36,C,104,7,Y,12,0,H,0,0
2019-03-26T21:03:31,C,104,6,Y,12,0,H,0,0
2019-03-26T21:13:27,C,104,6,Y,12,0,H,0,0
2019-03-26T21:21:41,C,104,5,Y,12,0,H,0,0
2019-03-26T21:33:28,C,104,2,Y,12,0,H,0,0
