date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:24,C,468,351
2019-03-26T13:10:24,C,468,347
2019-03-26T13:20:24,C,468,350
2019-03-26T13:30:24,C,468,360
2019-03-26T13:40:24,C,468,358
2019-03-26T13:50:24,C,468,361
2019-03-26T13:59:25,C,468,363
2019-03-26T14:10:25,C,468,359
2019-03-26T14:20:25,C,468,357
2019-03-26T14:30:25,C,468,362
2019-03-26T14:40:25,C,468,359
2019-03-26T14:51:25,C,468,362
2019-03-26T15:00:25,C,468,362
2019-03-26T15:10:25,C,468,359
2019-03-26T15:20:25,C,468,365
2019-03-26T15:31:26,C,468,363
2019-03-26T15:40:26,C,468,368
2019-03-26T15:51:26,C,468,363
2019-03-26T16:00:26,C,468,367
2019-03-26T16:10:26,C,468,363
2019-03-26T16:20:26,C,468,365
2019-03-26T16:30:26,C,468,359
2019-03-26T16:41:26,C,468,357
2019-03-26T16:51:27,C,468,353
2019-03-26T17:01:27,C,468,348
2019-03-26T17:11:27,C,468,352
2019-03-26T17:21:27,C,468,355
2019-03-26T17:30:27,C,468,347
2019-03-26T17:40:27,C,468,345
2019-03-26T17:51:27,C,468,347
2019-03-26T18:12:27,C,468,330
2019-03-26T18:31:28,C,468,317
2019-03-26T18:42:28,C,468,308
2019-03-26T18:52:28,C,468,307
2019-03-26T19:02:28,C,468,298
2019-03-26T19:13:28,C,468,295
2019-03-26T19:22:28,C,468,298
2019-03-26T19:32:28,C,468,278
2019-03-26T19:41:28,C,468,275
2019-03-26T19:53:29,C,468,263
2019-03-26T20:02:29,C,468,253
2019-03-26T20:13:29,C,468,254
2019-03-26T20:22:29,C,468,251
2019-03-26T20:33:29,C,468,244
2019-03-26T20:43:29,C,468,244
2019-03-26T20:52:29,C,468,236
2019-03-26T21:02:29,C,468,235
2019-03-26T21:13:29,C,468,228
2019-03-26T21:22:29,C,468,226
2019-03-26T21:33:30,C,468,222
2019-03-26T21:43:30,C,468,218
2019-03-26T21:53:30,C,468,205
2019-03-26T22:01:30,C,468,198
2019-03-26T22:12:30,C,468,193
2019-03-26T22:23:30,C,468,187
2019-03-26T22:33:30,C,468,182
2019-03-26T22:43:30,C,468,183
2019-03-26T22:53:31,C,468,179
2019-03-26T23:03:31,C,468,169
2019-03-26T23:13:31,C,468,169
2019-03-26T23:23:31,C,468,164
2019-03-26T23:34:31,C,468,167
2019-03-26T23:44:31,C,468,163
2019-03-26T23:54:31,C,468,162
2019-03-27T00:04:31,C,468,160
2019-03-27T00:13:32,C,468,155
2019-03-27T00:21:32,C,468,155
2019-03-27T00:28:32,C,468,158
2019-03-27T00:42:32,C,468,153
2019-03-27T00:54:32,C,468,151
2019-03-27T01:04:32,C,468,150
2019-03-27T01:14:32,C,468,148
2019-03-27T01:24:32,C,468,146
2019-03-27T01:33:32,C,468,145
2019-03-27T01:43:32,C,468,145
2019-03-27T01:53:33,C,468,143
2019-03-27T02:04:33,C,468,144
2019-03-27T02:14:33,C,468,145
2019-03-27T02:24:33,C,468,145
2019-03-27T02:34:33,C,468,144
2019-03-27T02:44:33,C,468,144
2019-03-27T02:54:33,C,468,143
2019-03-27T03:15:16,C,468,138
2019-03-27T03:25:16,C,468,140
2019-03-27T03:34:16,C,468,149
2019-03-27T03:45:16,C,468,148
2019-03-27T03:55:16,C,468,149
