date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:35,C,136,110
2019-03-26T13:09:05,C,136,108
2019-03-26T13:19:05,C,136,109
2019-03-26T13:29:13,C,136,111
2019-03-26T13:38:11,C,136,112
2019-03-26T13:48:36,C,136,109
2019-03-26T13:58:06,C,136,109
2019-03-26T14:08:37,C,136,110
2019-03-26T14:18:37,C,136,109
2019-03-26T14:29:09,C,136,109
2019-03-26T14:39:08,C,136,107
2019-03-26T14:49:08,C,136,104
2019-03-26T14:58:08,C,136,103
2019-03-26T15:09:38,C,136,104
2019-03-26T15:18:39,C,136,99
2019-03-26T15:29:39,C,136,100
2019-03-26T15:39:10,C,136,99
2019-03-26T15:50:10,C,136,98
2019-03-26T15:58:10,C,136,99
2019-03-26T16:08:10,C,136,98
2019-03-26T16:19:40,C,136,99
2019-03-26T16:29:41,C,136,99
2019-03-26T16:39:41,C,136,99
2019-03-26T16:49:41,C,136,102
2019-03-26T17:00:14,C,136,103
2019-03-26T17:10:15,C,136,104
2019-03-26T17:19:15,C,136,103
2019-03-26T17:29:13,C,136,101
2019-03-26T17:39:43,C,136,103
2019-03-26T17:49:43,C,136,99
2019-03-26T18:11:15,C,136,100
2019-03-26T18:30:17,C,136,98
2019-03-26T18:40:23,C,136,97
2019-03-26T18:50:18,C,136,98
2019-03-26T19:00:57,C,136,96
2019-03-26T19:11:45,C,136,98
2019-03-26T19:20:46,C,136,96
2019-03-26T19:32:16,C,136,93
2019-03-26T19:40:16,C,136,94
2019-03-26T19:51:16,C,136,92
2019-03-26T20:00:47,C,136,86
2019-03-26T20:10:20,C,136,90
2019-03-26T20:20:47,C,136,89
2019-03-26T20:31:48,C,136,91
2019-03-26T20:42:18,C,136,92
2019-03-26T20:51:18,C,136,90
2019-03-26T21:01:19,C,136,88
2019-03-26T21:11:18,C,136,83
2019-03-26T21:20:49,C,136,85
2019-03-26T21:31:49,C,136,84
2019-03-26T21:41:49,C,136,82
2019-03-26T21:51:50,C,136,84
2019-03-26T22:00:20,C,136,82
2019-03-26T22:11:20,C,136,79
2019-03-26T22:21:21,C,136,76
2019-03-26T22:31:51,C,136,76
2019-03-26T22:41:51,C,136,75
2019-03-26T22:51:52,C,136,76
2019-03-26T23:01:52,C,136,75
2019-03-26T23:12:22,C,136,74
2019-03-26T23:22:22,C,136,73
2019-03-26T23:32:23,C,136,74
2019-03-26T23:42:23,C,136,72
2019-03-26T23:52:53,C,136,69
2019-03-27T00:02:56,C,136,71
2019-03-27T00:11:54,C,136,72
2019-03-27T00:20:54,C,136,73
2019-03-27T00:27:24,C,136,73
2019-03-27T00:41:25,C,136,72
2019-03-27T00:52:27,C,136,73
2019-03-27T01:02:55,C,136,73
2019-03-27T01:12:55,C,136,72
2019-03-27T01:22:56,C,136,72
2019-03-27T01:32:56,C,136,71
2019-03-27T01:42:26,C,136,71
2019-03-27T01:52:27,C,136,72
2019-03-27T02:02:27,C,136,71
2019-03-27T02:12:27,C,136,71
2019-03-27T02:22:58,C,136,70
2019-03-27T02:32:58,C,136,69
2019-03-27T02:42:59,C,136,69
2019-03-27T02:53:28,C,136,67
2019-03-27T03:13:29,C,136,66
2019-03-27T03:23:29,C,136,66
2019-03-27T03:32:59,C,136,66
2019-03-27T03:44:00,C,136,65
2019-03-27T03:54:00,C,136,65
2019-03-27T04:03:00,C,136,66
2019-03-27T04:12:31,C,136,67
2019-03-27T04:22:31,C,136,68
2019-03-27T04:33:31,C,136,68
2019-03-27T04:42:31,C,136,69
2019-03-27T04:54:02,C,136,69
2019-03-27T05:03:50,C,136,69
2019-03-27T05:13:20,C,136,69
2019-03-27T05:23:20,C,136,68
2019-03-27T05:33:21,C,136,67
2019-03-27T05:43:21,C,136,68
2019-03-27T05:53:51,C,136,68
2019-03-27T06:03:51,C,136,71
2019-03-27T06:13:52,C,136,71
2019-03-27T06:24:22,C,136,72
2019-03-27T06:33:22,C,136,73
2019-03-27T06:43:23,C,136,75
2019-03-27T06:53:25,C,136,77
2019-03-27T07:03:53,C,136,83
2019-03-27T07:14:53,C,136,83
2019-03-27T07:23:57,C,136,86
2019-03-27T07:33:55,C,136,86
2019-03-27T07:43:24,C,136,88
2019-03-27T07:53:25,C,136,91
2019-03-27T08:04:25,C,136,87
2019-03-27T08:13:25,C,136,94
2019-03-27T08:23:49,C,136,100
2019-03-27T08:34:56,C,136,106
2019-03-27T08:43:56,C,136,108
2019-03-27T08:53:26,C,136,106
2019-03-27T09:04:27,C,136,110
2019-03-27T09:14:27,C,136,108
2019-03-27T09:23:27,C,136,109
2019-03-27T09:34:57,C,136,112
2019-03-27T09:43:58,C,136,107
2019-03-27T09:54:58,C,136,106
2019-03-27T10:03:59,C,136,104
2019-03-27T10:14:29,C,136,103
2019-03-27T10:24:30,C,136,100
2019-03-27T10:33:29,C,136,98
2019-03-27T10:44:59,C,136,99
2019-03-27T10:55:00,C,136,98
2019-03-27T11:05:00,C,136,104
2019-03-27T11:15:01,C,136,104
2019-03-27T11:24:31,C,136,105
2019-03-27T11:34:31,C,136,104
2019-03-27T11:43:31,C,136,105
2019-03-27T11:55:35,C,136,103
2019-03-27T12:05:02,C,136,101
2019-03-27T12:16:02,C,136,105
2019-03-27T12:26:02,C,136,107
2019-03-27T12:34:02,C,136,107
2019-03-27T12:45:33,C,136,103
2019-03-27T12:54:33,C,136,105
2019-03-27T13:05:39,C,136,106
2019-03-27T13:15:04,C,136,104
2019-03-27T13:26:04,C,136,101
2019-03-27T13:35:06,C,136,104
2019-03-27T13:45:05,C,136,107
2019-03-27T13:54:35,C,136,106
2019-03-27T14:05:36,C,136,105
2019-03-27T14:14:36,C,136,106
2019-03-27T14:25:36,C,136,106
2019-03-27T14:36:06,C,136,107
2019-03-27T14:46:06,C,136,107
2019-03-27T14:54:07,C,136,107
2019-03-27T15:05:07,C,136,107
2019-03-27T15:15:37,C,136,109
2019-03-27T15:24:37,C,136,108
2019-03-27T15:35:38,C,136,107
2019-03-27T15:46:08,C,136,106
2019-03-27T15:56:08,C,136,105
2019-03-27T16:06:09,C,136,108
2019-03-27T16:15:09,C,136,108
2019-03-27T16:26:39,C,136,104
2019-03-27T16:36:39,C,136,104
2019-03-27T16:46:40,C,136,106
2019-03-27T16:56:40,C,136,103
2019-03-27T17:06:43,C,136,104
2019-03-27T17:16:11,C,136,102
2019-03-27T17:25:11,C,136,103
2019-03-27T17:36:41,C,136,104
2019-03-27T17:45:44,C,136,104
2019-03-27T17:55:42,C,136,100
2019-03-27T18:06:42,C,136,97
2019-03-27T18:16:12,C,136,95
2019-03-27T18:26:12,C,136,96
2019-03-27T18:33:43,C,136,92
2019-03-27T18:46:13,C,136,94
2019-03-27T18:56:44,C,136,91
2019-03-27T19:06:44,C,136,90
2019-03-27T19:16:44,C,136,95
2019-03-27T19:26:44,C,136,94
2019-03-27T19:37:17,C,136,98
2019-03-27T19:46:15,C,136,96
2019-03-27T19:56:15,C,136,97
2019-03-27T20:06:46,C,136,94
2019-03-27T20:17:50,C,136,91
2019-03-27T20:27:49,C,136,88
2019-03-27T20:36:46,C,136,91
2019-03-27T20:47:16,C,136,88
2019-03-27T20:56:17,C,136,89
2019-03-27T21:06:17,C,136,89
2019-03-27T21:16:17,C,136,88
2019-03-27T21:26:48,C,136,83
2019-03-27T21:36:49,C,136,80
2019-03-27T21:46:48,C,136,81
2019-03-27T21:57:48,C,136,77
2019-03-27T22:06:19,C,136,72
2019-03-27T22:16:20,C,136,74
2019-03-27T22:27:19,C,136,72
2019-03-27T22:37:49,C,136,69
2019-03-27T22:46:20,C,136,72
2019-03-27T22:57:50,C,136,72
2019-03-27T23:07:50,C,136,73
2019-03-27T23:18:21,C,136,72
2019-03-27T23:26:21,C,136,69
2019-03-27T23:37:21,C,136,69
2019-03-27T23:47:22,C,136,66
2019-03-27T23:57:52,C,136,68
2019-03-28T00:07:53,C,136,68
2019-03-28T00:17:52,C,136,66
2019-03-28T00:27:53,C,136,67
2019-03-28T00:37:23,C,136,66
2019-03-28T00:47:24,C,136,66
2019-03-28T00:57:24,C,136,66
2019-03-28T01:08:54,C,136,66
2019-03-28T01:18:54,C,136,64
2019-03-28T01:28:55,C,136,66
2019-03-28T01:37:55,C,136,66
2019-03-28T01:47:25,C,136,66
2019-03-28T01:58:25,C,136,66
2019-03-28T02:07:26,C,136,66
2019-03-28T02:18:26,C,136,64
2019-03-28T02:28:56,C,136,63
2019-03-28T02:38:57,C,136,63
2019-03-28T02:49:17,C,136,63
2019-03-28T02:56:57,C,136,63
2019-03-28T03:08:27,C,136,63
2019-03-28T03:17:28,C,136,63
2019-03-28T03:28:28,C,136,63
2019-03-28T03:38:58,C,136,64
2019-03-28T03:48:59,C,136,65
2019-03-28T03:58:59,C,136,65
2019-03-28T04:07:59,C,136,66
2019-03-28T04:19:29,C,136,66
2019-03-28T04:28:30,C,136,66
2019-03-28T04:39:30,C,136,66
2019-03-28T04:48:30,C,136,66
2019-03-28T04:59:01,C,136,67
2019-03-28T05:08:48,C,136,66
2019-03-28T05:20:18,C,136,67
2019-03-28T05:29:18,C,136,66
2019-03-28T05:38:19,C,136,66
2019-03-28T05:49:19,C,136,66
2019-03-28T05:58:49,C,136,67
2019-03-28T06:09:50,C,136,69
2019-03-28T06:18:50,C,136,68
2019-03-28T06:29:20,C,136,71
2019-03-28T06:38:20,C,136,72
2019-03-28T06:49:21,C,136,72
2019-03-28T06:58:21,C,136,70
2019-03-28T07:09:52,C,136,79
2019-03-28T07:19:51,C,136,85
2019-03-28T07:29:52,C,136,82
2019-03-28T07:39:52,C,136,85
2019-03-28T07:49:22,C,136,87
2019-03-28T07:59:23,C,136,87
2019-03-28T08:09:23,C,136,90
2019-03-28T08:19:26,C,136,93
2019-03-28T08:29:40,C,136,97
2019-03-28T08:39:54,C,136,100
2019-03-28T08:49:54,C,136,103
2019-03-28T08:59:24,C,136,103
2019-03-28T09:10:25,C,136,104
2019-03-28T09:19:25,C,136,109
2019-03-28T09:29:25,C,136,111
2019-03-28T09:37:55,C,136,109
2019-03-28T09:50:56,C,136,107
2019-03-28T09:59:56,C,136,103
2019-03-28T10:08:56,C,136,108
2019-03-28T10:20:27,C,136,105
2019-03-28T10:30:27,C,136,106
2019-03-28T10:40:27,C,136,104
2019-03-28T10:49:57,C,136,107
2019-03-28T11:00:58,C,136,103
2019-03-28T11:09:58,C,136,107
2019-03-28T11:20:58,C,136,110
2019-03-28T11:30:29,C,136,108
2019-03-28T11:40:29,C,136,109
2019-03-28T11:50:29,C,136,109
2019-03-28T12:00:30,C,136,109
2019-03-28T12:11:00,C,136,104
2019-03-28T12:21:00,C,136,103
2019-03-28T12:31:01,C,136,104
2019-03-28T12:40:01,C,136,104
2019-03-28T12:50:01,C,136,107
2019-03-28T13:00:31,C,136,105
2019-03-28T13:10:32,C,136,104
2019-03-28T13:20:32,C,136,104
2019-03-28T13:31:02,C,136,106
2019-03-28T13:41:02,C,136,106
2019-03-28T13:50:03,C,136,109
2019-03-28T14:00:33,C,136,109
2019-03-28T14:11:33,C,136,109
