date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:38,C,544,544
2019-03-26T13:08:38,C,544,544
2019-03-26T13:19:08,C,544,544
2019-03-26T13:29:08,C,544,544
2019-03-26T13:38:08,C,544,543
2019-03-26T13:48:39,C,544,538
2019-03-26T13:58:39,C,544,540
2019-03-26T14:08:39,C,544,536
2019-03-26T14:18:40,C,544,533
2019-03-26T14:29:10,C,544,532
2019-03-26T14:39:10,C,544,528
2019-03-26T14:49:11,C,544,524
2019-03-26T14:58:11,C,544,531
2019-03-26T15:09:41,C,544,525
2019-03-26T15:18:41,C,544,526
2019-03-26T15:29:42,C,544,528
2019-03-26T15:38:42,C,544,531
2019-03-26T15:50:12,C,544,529
2019-03-26T15:58:13,C,544,527
2019-03-26T16:08:13,C,544,523
2019-03-26T16:19:43,C,544,526
2019-03-26T16:29:43,C,544,521
2019-03-26T16:39:44,C,544,531
2019-03-26T16:49:44,C,544,527
2019-03-26T17:00:14,C,544,519
2019-03-26T17:10:15,C,544,518
2019-03-26T17:19:15,C,544,514
2019-03-26T17:29:15,C,544,511
2019-03-26T17:39:46,C,544,504
2019-03-26T17:49:46,C,544,501
2019-03-26T18:11:16,C,544,509
2019-03-26T18:30:17,C,544,501
2019-03-26T18:40:20,C,544,496
2019-03-26T18:50:48,C,544,484
2019-03-26T19:00:48,C,544,482
2019-03-26T19:11:48,C,544,478
2019-03-26T19:20:48,C,544,475
2019-03-26T19:32:19,C,544,466
2019-03-26T19:40:19,C,544,463
2019-03-26T19:51:19,C,544,454
2019-03-26T20:00:20,C,544,451
2019-03-26T20:11:50,C,544,449
2019-03-26T20:20:50,C,544,443
2019-03-26T20:31:50,C,544,432
2019-03-26T20:42:21,C,544,428
2019-03-26T20:51:21,C,544,419
2019-03-26T21:01:21,C,544,412
2019-03-26T21:11:22,C,544,408
2019-03-26T21:20:52,C,544,398
2019-03-26T21:31:53,C,544,389
2019-03-26T21:41:52,C,544,381
2019-03-26T21:51:53,C,544,379
2019-03-26T22:00:23,C,544,372
2019-03-26T22:11:23,C,544,368
2019-03-26T22:21:24,C,544,366
2019-03-26T22:31:24,C,544,362
2019-03-26T22:41:54,C,544,362
2019-03-26T22:51:55,C,544,362
2019-03-26T23:01:55,C,544,357
2019-03-26T23:12:25,C,544,355
2019-03-26T23:22:25,C,544,358
2019-03-26T23:32:26,C,544,357
2019-03-26T23:42:26,C,544,354
2019-03-26T23:52:56,C,544,355
2019-03-27T00:02:57,C,544,350
2019-03-27T00:11:57,C,544,346
2019-03-27T00:20:57,C,544,345
2019-03-27T00:27:27,C,544,345
2019-03-27T00:41:28,C,544,344
2019-03-27T00:52:28,C,544,342
2019-03-27T01:02:28,C,544,341
2019-03-27T01:12:59,C,544,340
2019-03-27T01:22:59,C,544,339
2019-03-27T01:32:59,C,544,337
2019-03-27T01:42:30,C,544,337
2019-03-27T01:52:30,C,544,337
2019-03-27T02:02:31,C,544,335
2019-03-27T02:12:31,C,544,334
2019-03-27T02:23:02,C,544,334
2019-03-27T02:33:02,C,544,333
2019-03-27T02:43:01,C,544,331
2019-03-27T02:53:05,C,544,332
2019-03-27T03:13:35,C,544,331
2019-03-27T03:23:33,C,544,331
2019-03-27T03:32:33,C,544,329
2019-03-27T03:44:06,C,544,328
2019-03-27T03:54:04,C,544,327
2019-03-27T04:03:04,C,544,544
2019-03-27T04:12:34,C,544,541
2019-03-27T04:22:35,C,544,541
2019-03-27T04:33:35,C,544,541
2019-03-27T04:42:35,C,544,540
2019-03-27T04:54:05,C,544,540
2019-03-27T05:03:51,C,544,541
2019-03-27T05:13:21,C,544,542
2019-03-27T05:23:22,C,544,543
2019-03-27T05:33:22,C,544,541
2019-03-27T05:43:22,C,544,544
2019-03-27T05:53:52,C,544,544
2019-03-27T06:03:53,C,544,544
2019-03-27T06:13:53,C,544,544
2019-03-27T06:24:23,C,544,544
2019-03-27T06:33:24,C,544,544
2019-03-27T06:43:24,C,544,544
2019-03-27T06:53:24,C,544,544
2019-03-27T07:03:55,C,544,544
2019-03-27T07:14:55,C,544,544
2019-03-27T07:23:55,C,544,543
2019-03-27T07:33:56,C,544,541
2019-03-27T07:43:26,C,544,544
2019-03-27T07:53:26,C,544,544
2019-03-27T08:04:26,C,544,544
2019-03-27T08:13:27,C,544,543
2019-03-27T08:23:57,C,544,544
2019-03-27T08:34:57,C,544,543
2019-03-27T08:43:57,C,544,544
2019-03-27T08:53:28,C,544,544
2019-03-27T09:04:28,C,544,542
2019-03-27T09:14:29,C,544,544
2019-03-27T09:23:29,C,544,543
2019-03-27T09:34:59,C,544,543
2019-03-27T09:43:59,C,544,544
2019-03-27T09:55:00,C,544,543
2019-03-27T10:04:00,C,544,542
2019-03-27T10:14:30,C,544,543
2019-03-27T10:24:31,C,544,542
2019-03-27T10:33:31,C,544,544
2019-03-27T10:44:31,C,544,540
2019-03-27T10:55:01,C,544,538
2019-03-27T11:05:02,C,544,535
2019-03-27T11:15:02,C,544,535
2019-03-27T11:24:32,C,544,534
2019-03-27T11:34:33,C,544,533
2019-03-27T11:44:33,C,544,531
2019-03-27T11:55:33,C,544,528
2019-03-27T12:05:03,C,544,524
2019-03-27T12:16:04,C,544,516
2019-03-27T12:26:04,C,544,516
2019-03-27T12:34:04,C,544,515
2019-03-27T12:45:34,C,544,517
2019-03-27T12:54:35,C,544,520
2019-03-27T13:05:35,C,544,523
2019-03-27T13:14:36,C,544,523
2019-03-27T13:26:06,C,544,524
2019-03-27T13:35:06,C,544,526
2019-03-27T13:45:06,C,544,528
2019-03-27T13:54:37,C,544,529
2019-03-27T14:05:37,C,544,530
2019-03-27T14:14:37,C,544,531
2019-03-27T14:25:38,C,544,533
2019-03-27T14:36:08,C,544,530
2019-03-27T14:46:08,C,544,526
2019-03-27T14:54:09,C,544,526
2019-03-27T15:05:09,C,544,527
2019-03-27T15:15:39,C,544,531
2019-03-27T15:24:39,C,544,535
2019-03-27T15:35:40,C,544,540
2019-03-27T15:45:40,C,544,535
2019-03-27T15:56:10,C,544,535
2019-03-27T16:06:10,C,544,534
2019-03-27T16:15:11,C,544,532
2019-03-27T16:26:41,C,544,537
2019-03-27T16:36:41,C,544,532
2019-03-27T16:46:42,C,544,534
2019-03-27T16:56:42,C,544,533
2019-03-27T17:07:12,C,544,532
2019-03-27T17:16:13,C,544,531
2019-03-27T17:25:13,C,544,529
2019-03-27T17:36:13,C,544,528
2019-03-27T17:45:43,C,544,526
2019-03-27T17:55:44,C,544,524
2019-03-27T18:06:44,C,544,520
2019-03-27T18:16:14,C,544,519
2019-03-27T18:26:15,C,544,517
2019-03-27T18:35:15,C,544,513
2019-03-27T18:46:15,C,544,508
2019-03-27T18:56:46,C,544,503
2019-03-27T19:06:46,C,544,494
2019-03-27T19:16:46,C,544,483
2019-03-27T19:26:46,C,544,474
2019-03-27T19:37:17,C,544,474
2019-03-27T19:46:17,C,544,473
2019-03-27T19:56:17,C,544,465
2019-03-27T20:06:17,C,544,461
2019-03-27T20:17:48,C,544,457
