date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:18,C,509,210
2019-03-26T13:08:49,C,509,213
2019-03-26T13:18:09,C,509,212
2019-03-26T13:28:39,C,509,209
2019-03-26T13:37:59,C,509,211
2019-03-26T13:48:29,C,509,211
2019-03-26T13:57:52,C,509,211
2019-03-26T14:08:19,C,509,216
2019-03-26T14:18:49,C,509,215
2019-03-26T14:28:09,C,509,214
2019-03-26T14:38:40,C,509,215
2019-03-26T14:49:10,C,509,217
2019-03-26T14:58:30,C,509,214
2019-03-26T15:09:00,C,509,213
2019-03-26T15:18:20,C,509,214
2019-03-26T15:30:00,C,509,210
2019-03-26T15:38:10,C,509,211
2019-03-26T15:49:50,C,509,213
2019-03-26T15:58:01,C,509,210
2019-03-26T16:08:31,C,509,209
2019-03-26T16:19:01,C,509,218
2019-03-26T16:29:31,C,509,217
2019-03-26T16:40:01,C,509,216
2019-03-26T16:49:21,C,509,210
2019-03-26T16:59:51,C,509,214
2019-03-26T17:10:21,C,509,213
2019-03-26T17:18:31,C,509,213
2019-03-26T17:29:05,C,509,214
2019-03-26T17:39:32,C,509,208
2019-03-26T17:48:52,C,509,200
2019-03-26T18:11:02,C,509,194
2019-03-26T18:29:42,C,509,184
2019-03-26T18:40:13,C,509,182
2019-03-26T18:50:42,C,509,179
2019-03-26T19:00:03,C,509,174
2019-03-26T19:11:43,C,509,168
2019-03-26T19:21:03,C,509,156
2019-03-26T19:31:33,C,509,147
2019-03-26T19:39:43,C,509,141
2019-03-26T19:51:23,C,509,136
2019-03-26T20:00:43,C,509,133
2019-03-26T20:11:13,C,509,125
2019-03-26T20:20:34,C,509,119
2019-03-26T20:31:04,C,509,112
2019-03-26T20:41:34,C,509,103
2019-03-26T20:50:54,C,509,104
2019-03-26T21:01:24,C,509,99
2019-03-26T21:10:44,C,509,99
2019-03-26T21:20:04,C,509,97
2019-03-26T21:31:44,C,509,85
2019-03-26T21:41:05,C,509,88
2019-03-26T21:51:35,C,509,86
2019-03-26T21:59:45,C,509,86
2019-03-26T22:11:25,C,509,81
2019-03-26T22:20:45,C,509,76
2019-03-26T22:31:15,C,509,70
2019-03-26T22:41:45,C,509,70
2019-03-26T22:51:05,C,509,68
2019-03-26T23:01:35,C,509,72
2019-03-26T23:12:06,C,509,74
2019-03-26T23:21:26,C,509,76
2019-03-26T23:31:56,C,509,75
2019-03-26T23:42:26,C,509,70
2019-03-26T23:52:56,C,509,68
2019-03-27T00:02:16,C,509,69
2019-03-27T00:11:36,C,509,68
2019-03-27T00:20:56,C,509,67
2019-03-27T00:26:49,C,509,68
2019-03-27T00:40:47,C,509,66
2019-03-27T00:52:27,C,509,63
2019-03-27T01:02:57,C,509,63
2019-03-27T01:12:17,C,509,63
2019-03-27T01:22:47,C,509,62
2019-03-27T01:33:17,C,509,61
2019-03-27T01:41:27,C,509,60
2019-03-27T01:51:57,C,509,61
2019-03-27T02:02:28,C,509,62
2019-03-27T02:11:48,C,509,61
2019-03-27T02:22:18,C,509,61
2019-03-27T02:32:48,C,509,62
2019-03-27T02:43:18,C,509,61
2019-03-27T02:52:38,C,509,62
2019-03-27T03:13:38,C,509,61
2019-03-27T03:22:59,C,509,63
2019-03-27T03:32:22,C,509,63
2019-03-27T03:43:59,C,509,62
2019-03-27T03:53:19,C,509,62
2019-03-27T04:02:39,C,509,62
2019-03-27T04:11:59,C,509,64
2019-03-27T04:22:30,C,509,63
2019-03-27T04:32:59,C,509,62
2019-03-27T04:42:19,C,509,62
2019-03-27T04:54:00,C,509,63
2019-03-27T05:03:19,C,509,63
2019-03-27T05:12:39,C,509,62
2019-03-27T05:23:10,C,509,60
2019-03-27T05:33:40,C,509,61
2019-03-27T05:43:00,C,509,61
2019-03-27T05:53:30,C,509,61
2019-03-27T06:04:00,C,509,61
2019-03-27T06:13:20,C,509,60
2019-03-27T06:23:50,C,509,64
2019-03-27T06:33:10,C,509,69
2019-03-27T06:42:30,C,509,76
2019-03-27T06:53:01,C,509,90
2019-03-27T07:03:31,C,509,107
2019-03-27T07:14:01,C,509,128
2019-03-27T07:23:21,C,509,133
2019-03-27T07:33:51,C,509,148
2019-03-27T07:43:11,C,509,152
2019-03-27T07:52:31,C,509,157
2019-03-27T08:04:11,C,509,165
2019-03-27T08:13:32,C,509,176
2019-03-27T08:24:02,C,509,185
2019-03-27T08:34:32,C,509,191
2019-03-27T08:43:52,C,509,192
2019-03-27T08:53:12,C,509,202
2019-03-27T09:03:42,C,509,210
2019-03-27T09:14:12,C,509,211
2019-03-27T09:23:32,C,509,213
2019-03-27T09:34:02,C,509,214
2019-03-27T09:43:23,C,509,214
2019-03-27T09:55:03,C,509,218
2019-03-27T10:04:23,C,509,216
2019-03-27T10:13:43,C,509,218
2019-03-27T10:24:13,C,509,217
2019-03-27T10:33:33,C,509,218
2019-03-27T10:44:03,C,509,223
2019-03-27T10:54:34,C,509,226
2019-03-27T11:05:04,C,509,224
2019-03-27T11:14:24,C,509,227
2019-03-27T11:23:44,C,509,226
2019-03-27T11:34:14,C,509,229
2019-03-27T11:44:44,C,509,228
2019-03-27T11:55:14,C,509,229
2019-03-27T12:04:34,C,509,227
2019-03-27T12:16:14,C,509,225
2019-03-27T12:25:35,C,509,226
2019-03-27T12:33:45,C,509,221
2019-03-27T12:45:25,C,509,220
2019-03-27T12:54:45,C,509,220
2019-03-27T13:05:15,C,509,223
2019-03-27T13:14:38,C,509,219
2019-03-27T13:25:05,C,509,224
2019-03-27T13:34:25,C,509,226
2019-03-27T13:44:55,C,509,223
2019-03-27T13:54:16,C,509,218
2019-03-27T14:04:46,C,509,217
2019-03-27T14:14:06,C,509,215
2019-03-27T14:25:49,C,509,214
2019-03-27T14:35:06,C,509,212
2019-03-27T14:45:36,C,509,213
2019-03-27T14:53:46,C,509,211
2019-03-27T15:05:26,C,509,213
2019-03-27T15:14:47,C,509,211
2019-03-27T15:24:07,C,509,211
2019-03-27T15:35:47,C,509,209
2019-03-27T15:45:07,C,509,214
2019-03-27T15:55:37,C,509,215
2019-03-27T16:06:07,C,509,213
2019-03-27T16:15:27,C,509,213
2019-03-27T16:25:57,C,509,215
2019-03-27T16:36:27,C,509,214
2019-03-27T16:46:58,C,509,215
2019-03-27T16:56:18,C,509,215
2019-03-27T17:06:48,C,509,216
2019-03-27T17:16:08,C,509,214
2019-03-27T17:25:28,C,509,213
2019-03-27T17:35:58,C,509,210
2019-03-27T17:45:18,C,509,204
