date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:57,C,30,0
2019-03-26T13:09:58,C,30,0
2019-03-26T13:19:58,C,30,0
2019-03-26T13:30:27,C,30,0
2019-03-26T13:40:28,C,30,0
2019-03-26T13:50:58,C,30,0
2019-03-26T13:59:59,C,30,0
2019-03-26T14:09:58,C,30,1
2019-03-26T14:20:29,C,30,4
2019-03-26T14:30:28,C,30,10
2019-03-26T14:40:29,C,30,11
2019-03-26T14:50:29,C,30,8
2019-03-26T15:00:00,C,30,3
2019-03-26T15:11:00,C,30,11
2019-03-26T15:19:59,C,30,5
2019-03-26T15:31:00,C,30,9
2019-03-26T15:40:31,C,30,3
2019-03-26T15:51:31,C,30,0
2019-03-26T16:00:01,C,30,0
2019-03-26T16:10:02,C,30,0
2019-03-26T16:21:01,C,30,0
2019-03-26T16:31:32,C,30,0
2019-03-26T16:41:32,C,30,0
2019-03-26T16:51:32,C,30,0
2019-03-26T17:00:32,C,30,0
2019-03-26T17:11:03,C,30,5
2019-03-26T17:21:03,C,30,7
2019-03-26T17:31:03,C,30,7
2019-03-26T17:41:33,C,30,5
2019-03-26T17:51:35,C,30,4
2019-03-26T18:12:04,C,30,7
2019-03-26T18:32:06,C,30,0
2019-03-26T18:42:05,C,30,2
2019-03-26T18:52:36,C,30,2
2019-03-26T19:02:35,C,30,4
2019-03-26T19:13:07,C,30,6
2019-03-26T19:22:06,C,30,8
2019-03-26T19:33:06,C,30,8
2019-03-26T19:42:37,C,30,6
2019-03-26T19:53:39,C,30,3
2019-03-26T20:01:37,C,30,3
2019-03-26T20:13:07,C,30,5
2019-03-26T20:22:09,C,30,2
2019-03-26T20:33:08,C,30,7
2019-03-26T20:43:38,C,30,5
2019-03-26T20:53:39,C,30,6
2019-03-26T21:02:39,C,30,7
2019-03-26T21:13:09,C,30,8
2019-03-26T21:22:09,C,30,7
2019-03-26T21:33:40,C,30,5
2019-03-26T21:42:40,C,30,2
2019-03-26T21:53:39,C,30,8
2019-03-26T22:01:09,C,30,7
2019-03-26T22:13:09,C,30,8
2019-03-26T22:23:09,C,30,6
2019-03-26T22:33:09,C,30,7
2019-03-26T22:42:40,C,30,3
2019-03-26T22:52:40,C,30,7
2019-03-26T23:03:10,C,30,9
2019-03-26T23:14:11,C,30,6
2019-03-26T23:24:41,C,30,9
2019-03-26T23:34:42,C,30,9
2019-03-26T23:43:41,C,30,9
2019-03-26T23:54:11,C,30,8
2019-03-27T00:05:11,C,30,8
2019-03-27T00:13:11,C,30,7
2019-03-27T00:22:11,C,30,8
2019-03-27T00:29:12,C,30,8
2019-03-27T00:43:42,C,30,7
2019-03-27T00:54:43,C,30,9
2019-03-27T01:04:42,C,30,9
2019-03-27T01:15:13,C,30,8
2019-03-27T01:24:13,C,30,8
2019-03-27T01:34:14,C,30,7
2019-03-27T01:44:13,C,30,7
2019-03-27T01:54:44,C,30,8
2019-03-27T02:04:44,C,30,8
2019-03-27T02:14:44,C,30,6
2019-03-27T02:25:14,C,30,6
2019-03-27T02:34:15,C,30,7
2019-03-27T02:44:15,C,30,7
2019-03-27T02:55:16,C,30,7
2019-03-27T03:15:46,C,30,6
2019-03-27T03:25:46,C,30,8
2019-03-27T03:34:46,C,30,8
2019-03-27T03:45:17,C,30,9
2019-03-27T03:55:18,C,30,8
2019-03-27T04:05:17,C,30,9
2019-03-27T04:14:18,C,30,9
2019-03-27T04:24:48,C,30,9
2019-03-27T04:35:48,C,30,10
2019-03-27T04:44:48,C,30,10
2019-03-27T04:56:18,C,30,9
2019-03-27T05:05:20,C,30,8
2019-03-27T05:15:20,C,30,9
2019-03-27T05:25:20,C,30,8
2019-03-27T05:35:51,C,30,8
2019-03-27T05:45:51,C,30,10
2019-03-27T05:55:51,C,30,10
2019-03-27T06:05:51,C,30,9
2019-03-27T06:15:22,C,30,7
2019-03-27T06:25:22,C,30,8
2019-03-27T06:35:22,C,30,7
2019-03-27T06:45:53,C,30,10
2019-03-27T06:55:53,C,30,3
2019-03-27T07:05:52,C,30,10
2019-03-27T07:15:54,C,30,13
2019-03-27T07:25:24,C,30,13
2019-03-27T07:35:23,C,30,11
2019-03-27T07:45:24,C,30,14
2019-03-27T07:55:23,C,30,16
2019-03-27T08:06:24,C,30,10
2019-03-27T08:15:24,C,30,9
2019-03-27T08:24:54,C,30,9
2019-03-27T08:36:25,C,30,15
2019-03-27T08:45:25,C,30,10
2019-03-27T08:54:54,C,30,14
2019-03-27T09:06:55,C,30,17
2019-03-27T09:16:54,C,30,15
2019-03-27T09:25:55,C,30,13
2019-03-27T09:35:55,C,30,14
2019-03-27T09:45:25,C,30,17
2019-03-27T09:56:26,C,30,18
2019-03-27T10:06:26,C,30,15
2019-03-27T10:16:55,C,30,16
2019-03-27T10:26:56,C,30,10
2019-03-27T10:35:57,C,30,11
2019-03-27T10:45:58,C,30,9
2019-03-27T10:56:27,C,30,10
2019-03-27T11:06:28,C,30,4
2019-03-27T11:16:27,C,30,11
2019-03-27T11:26:27,C,30,9
2019-03-27T11:36:57,C,30,9
2019-03-27T11:46:58,C,30,2
2019-03-27T11:56:58,C,30,8
2019-03-27T12:05:58,C,30,5
2019-03-27T12:17:29,C,30,5
2019-03-27T12:27:29,C,30,1
2019-03-27T12:36:29,C,30,0
2019-03-27T12:47:59,C,30,0
2019-03-27T12:56:59,C,30,0
2019-03-27T13:07:59,C,30,1
2019-03-27T13:15:59,C,30,4
2019-03-27T13:27:29,C,30,2
2019-03-27T13:36:30,C,30,1
2019-03-27T13:47:30,C,30,0
2019-03-27T13:57:00,C,30,0
2019-03-27T14:08:01,C,30,0
2019-03-27T14:17:01,C,30,0
2019-03-27T14:27:01,C,30,2
2019-03-27T14:37:32,C,30,2
2019-03-27T14:47:31,C,30,1
2019-03-27T14:56:32,C,30,0
2019-03-27T15:07:31,C,30,0
2019-03-27T15:18:02,C,30,0
2019-03-27T15:27:05,C,30,0
2019-03-27T15:37:02,C,30,0
2019-03-27T15:47:02,C,30,0
2019-03-27T15:57:33,C,30,0
2019-03-27T16:07:34,C,30,0
2019-03-27T16:17:34,C,30,0
2019-03-27T16:29:04,C,30,0
2019-03-27T16:39:04,C,30,0
2019-03-27T16:48:05,C,30,0
2019-03-27T16:58:06,C,30,0
2019-03-27T17:08:36,C,30,0
2019-03-27T17:18:36,C,30,0
2019-03-27T17:27:36,C,30,0
2019-03-27T17:38:39,C,30,0
2019-03-27T17:48:06,C,30,0
2019-03-27T17:57:06,C,30,0
2019-03-27T18:08:07,C,30,0
2019-03-27T18:17:37,C,30,0
2019-03-27T18:27:37,C,30,0
2019-03-27T18:37:38,C,30,0
2019-03-27T18:48:37,C,30,0
2019-03-27T18:59:07,C,30,1
2019-03-27T19:08:08,C,30,0
2019-03-27T19:18:08,C,30,0
2019-03-27T19:28:08,C,30,1
2019-03-27T19:38:39,C,30,0
2019-03-27T19:48:39,C,30,2
2019-03-27T19:58:40,C,30,5
2019-03-27T20:09:10,C,30,3
2019-03-27T20:19:10,C,30,5
2019-03-27T20:29:10,C,30,5
2019-03-27T20:38:10,C,30,0
2019-03-27T20:48:41,C,30,4
2019-03-27T20:58:40,C,30,2
2019-03-27T21:08:41,C,30,2
2019-03-27T21:18:41,C,30,0
2019-03-27T21:29:11,C,30,1
2019-03-27T21:38:11,C,30,3
2019-03-27T21:48:11,C,30,4
2019-03-27T21:59:42,C,30,0
2019-03-27T22:08:42,C,30,3
2019-03-27T22:18:43,C,30,0
2019-03-27T22:29:43,C,30,3
2019-03-27T22:39:13,C,30,2
2019-03-27T22:48:13,C,30,1
2019-03-27T22:59:13,C,30,1
2019-03-27T23:09:16,C,30,4
2019-03-27T23:19:44,C,30,4
2019-03-27T23:28:44,C,30,4
2019-03-27T23:39:44,C,30,5
2019-03-27T23:49:14,C,30,4
2019-03-28T00:00:15,C,30,5
2019-03-28T00:09:15,C,30,5
2019-03-28T00:19:15,C,30,5
2019-03-28T00:29:45,C,30,4
2019-03-28T00:39:46,C,30,3
2019-03-28T00:49:45,C,30,3
2019-03-28T00:59:45,C,30,2
2019-03-28T01:11:15,C,30,3
2019-03-28T01:20:16,C,30,3
2019-03-28T01:30:16,C,30,3
2019-03-28T01:39:16,C,30,3
2019-03-28T01:49:47,C,30,2
2019-03-28T02:00:47,C,30,3
2019-03-28T02:09:47,C,30,3
2019-03-28T02:21:17,C,30,3
