date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:59,C,273,98
2019-03-26T13:09:58,C,273,106
2019-03-26T13:20:00,C,273,117
2019-03-26T13:30:29,C,273,113
2019-03-26T13:40:28,C,273,127
2019-03-26T13:50:59,C,273,135
2019-03-26T13:59:58,C,273,144
2019-03-26T14:09:58,C,273,145
2019-03-26T14:20:29,C,273,149
2019-03-26T14:30:28,C,273,153
2019-03-26T14:40:28,C,273,150
2019-03-26T14:50:29,C,273,150
2019-03-26T14:59:29,C,273,157
2019-03-26T15:10:58,C,273,156
2019-03-26T15:19:58,C,273,149
2019-03-26T15:31:28,C,273,155
2019-03-26T15:40:29,C,273,152
2019-03-26T15:51:28,C,273,152
2019-03-26T15:59:59,C,273,151
2019-03-26T16:09:59,C,273,152
2019-03-26T16:20:58,C,273,147
2019-03-26T16:31:29,C,273,145
2019-03-26T16:41:29,C,273,149
2019-03-26T16:51:28,C,273,151
2019-03-26T17:01:00,C,273,146
2019-03-26T17:10:59,C,273,154
2019-03-26T17:21:00,C,273,156
2019-03-26T17:31:30,C,273,149
2019-03-26T17:41:29,C,273,146
2019-03-26T17:51:30,C,273,139
2019-03-26T18:11:59,C,273,119
2019-03-26T18:32:29,C,273,115
2019-03-26T18:42:30,C,273,120
2019-03-26T18:52:29,C,273,119
2019-03-26T19:02:29,C,273,114
2019-03-26T19:12:59,C,273,108
2019-03-26T19:22:02,C,273,101
2019-03-26T19:33:00,C,273,105
2019-03-26T19:42:30,C,273,103
2019-03-26T19:53:30,C,273,102
2019-03-26T20:01:31,C,273,101
2019-03-26T20:13:00,C,273,94
2019-03-26T20:22:00,C,273,97
2019-03-26T20:33:30,C,273,87
2019-03-26T20:43:30,C,273,90
2019-03-26T20:53:34,C,273,90
2019-03-26T21:03:00,C,273,86
2019-03-26T21:13:00,C,273,89
2019-03-26T21:22:30,C,273,97
2019-03-26T21:33:30,C,273,94
2019-03-26T21:42:31,C,273,92
2019-03-26T21:53:29,C,273,89
2019-03-26T22:01:59,C,273,85
2019-03-26T22:12:59,C,273,85
2019-03-26T22:23:29,C,273,85
2019-03-26T22:33:29,C,273,80
2019-03-26T22:42:29,C,273,81
2019-03-26T22:53:00,C,273,78
2019-03-26T23:02:59,C,273,72
2019-03-26T23:14:29,C,273,72
2019-03-26T23:24:29,C,273,69
2019-03-26T23:34:30,C,273,68
2019-03-26T23:43:59,C,273,66
2019-03-26T23:53:59,C,273,70
2019-03-27T00:04:59,C,273,68
2019-03-27T00:12:59,C,273,65
2019-03-27T00:22:30,C,273,60
2019-03-27T00:29:29,C,273,59
2019-03-27T00:43:29,C,273,62
2019-03-27T00:54:59,C,273,61
2019-03-27T01:04:59,C,273,61
2019-03-27T01:15:00,C,273,65
2019-03-27T01:23:59,C,273,65
2019-03-27T01:34:29,C,273,66
2019-03-27T01:44:30,C,273,61
2019-03-27T01:54:29,C,273,61
2019-03-27T02:04:29,C,273,62
2019-03-27T02:14:59,C,273,61
2019-03-27T02:24:59,C,273,61
2019-03-27T02:34:00,C,273,62
2019-03-27T02:44:30,C,273,60
2019-03-27T02:55:30,C,273,59
2019-03-27T03:15:30,C,273,57
2019-03-27T03:26:00,C,273,57
2019-03-27T03:35:00,C,273,59
2019-03-27T03:45:00,C,273,59
2019-03-27T03:55:30,C,273,59
2019-03-27T04:05:30,C,273,76
2019-03-27T04:14:30,C,273,74
2019-03-27T04:24:30,C,273,73
2019-03-27T04:36:00,C,273,70
2019-03-27T04:45:01,C,273,71
2019-03-27T04:56:00,C,273,74
2019-03-27T05:05:14,C,273,76
2019-03-27T05:15:14,C,273,77
2019-03-27T05:25:45,C,273,78
2019-03-27T05:35:45,C,273,78
2019-03-27T05:45:45,C,273,78
2019-03-27T05:55:46,C,273,75
2019-03-27T06:06:16,C,273,75
2019-03-27T06:15:16,C,273,79
2019-03-27T06:25:17,C,273,82
2019-03-27T06:35:17,C,273,91
2019-03-27T06:45:48,C,273,99
2019-03-27T06:55:47,C,273,105
2019-03-27T07:05:47,C,273,111
2019-03-27T07:16:18,C,273,121
2019-03-27T07:25:17,C,273,118
2019-03-27T07:35:18,C,273,122
2019-03-27T07:45:18,C,273,129
2019-03-27T07:55:49,C,273,133
2019-03-27T08:06:49,C,273,139
2019-03-27T08:15:49,C,273,144
2019-03-27T08:24:49,C,273,147
2019-03-27T08:36:19,C,273,146
2019-03-27T08:45:20,C,273,152
2019-03-27T08:55:20,C,273,157
2019-03-27T09:06:50,C,273,162
2019-03-27T09:16:50,C,273,168
2019-03-27T09:25:51,C,273,162
2019-03-27T09:36:21,C,273,169
2019-03-27T09:45:21,C,273,172
