date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:48,C,731,599
2019-03-26T13:08:48,C,731,598
2019-03-26T13:18:49,C,731,601
2019-03-26T13:28:49,C,731,604
2019-03-26T13:39:49,C,731,606
2019-03-26T13:49:49,C,731,609
2019-03-26T13:59:49,C,731,608
2019-03-26T14:09:49,C,731,603
2019-03-26T14:19:49,C,731,608
2019-03-26T14:29:50,C,731,602
2019-03-26T14:39:50,C,731,598
2019-03-26T14:49:50,C,731,594
2019-03-26T15:00:50,C,731,593
2019-03-26T15:10:50,C,731,599
2019-03-26T15:20:50,C,731,598
2019-03-26T15:30:50,C,731,603
2019-03-26T15:38:51,C,731,603
2019-03-26T15:50:51,C,731,608
2019-03-26T15:58:51,C,731,604
2019-03-26T16:09:51,C,731,602
2019-03-26T16:21:51,C,731,598
2019-03-26T16:31:51,C,731,599
2019-03-26T16:39:51,C,731,596
2019-03-26T16:49:52,C,731,596
2019-03-26T16:59:52,C,731,593
2019-03-26T17:09:52,C,731,591
2019-03-26T17:20:52,C,731,594
2019-03-26T17:30:52,C,731,592
2019-03-26T17:40:52,C,731,588
2019-03-26T17:50:53,C,731,583
2019-03-26T18:10:53,C,731,563
2019-03-26T18:30:53,C,731,541
2019-03-26T18:41:53,C,731,540
2019-03-26T18:51:53,C,731,531
2019-03-26T19:01:54,C,731,522
2019-03-26T19:11:54,C,731,511
2019-03-26T19:21:54,C,731,509
2019-03-26T19:31:54,C,731,497
2019-03-26T19:41:54,C,731,486
2019-03-26T19:52:54,C,731,470
2019-03-26T20:02:54,C,731,467
2019-03-26T20:12:55,C,731,466
2019-03-26T20:20:55,C,731,463
2019-03-26T20:32:55,C,731,457
2019-03-26T20:42:55,C,731,456
2019-03-26T20:52:55,C,731,455
2019-03-26T21:03:55,C,731,447
2019-03-26T21:13:55,C,731,437
2019-03-26T21:21:56,C,731,432
2019-03-26T21:31:56,C,731,424
2019-03-26T21:41:56,C,731,420
2019-03-26T21:51:56,C,731,408
2019-03-26T22:01:56,C,731,407
2019-03-26T22:11:56,C,731,397
2019-03-26T22:22:57,C,731,391
2019-03-26T22:32:57,C,731,385
2019-03-26T22:42:57,C,731,379
2019-03-26T22:52:57,C,731,374
2019-03-26T23:02:57,C,731,373
2019-03-26T23:12:57,C,731,369
2019-03-26T23:22:57,C,731,364
2019-03-26T23:33:58,C,731,361
2019-03-26T23:43:58,C,731,359
2019-03-26T23:53:58,C,731,361
2019-03-27T00:03:58,C,731,358
2019-03-27T00:11:58,C,731,354
2019-03-27T00:21:58,C,731,352
2019-03-27T00:27:58,C,731,352
2019-03-27T00:42:59,C,731,349
2019-03-27T00:54:59,C,731,351
2019-03-27T01:04:59,C,731,349
2019-03-27T01:12:59,C,731,349
2019-03-27T01:22:59,C,731,350
2019-03-27T01:32:59,C,731,350
2019-03-27T01:42:59,C,731,348
2019-03-27T01:53:00,C,731,346
2019-03-27T02:04:00,C,731,342
2019-03-27T02:14:00,C,731,345
2019-03-27T02:24:00,C,731,346
2019-03-27T02:34:00,C,731,346
2019-03-27T02:44:00,C,731,346
2019-03-27T02:54:00,C,731,347
2019-03-27T03:14:40,C,731,345
2019-03-27T03:24:40,C,731,346
2019-03-27T03:32:40,C,731,347
2019-03-27T03:44:40,C,731,347
2019-03-27T03:54:40,C,731,345
2019-03-27T04:05:40,C,731,362
2019-03-27T04:13:40,C,731,361
2019-03-27T04:23:41,C,731,362
2019-03-27T04:35:41,C,731,362
2019-03-27T04:43:41,C,731,362
2019-03-27T04:53:41,C,731,363
2019-03-27T05:03:41,C,731,362
2019-03-27T05:14:41,C,731,364
2019-03-27T05:24:42,C,731,365
2019-03-27T05:34:42,C,731,364
2019-03-27T05:44:42,C,731,367
2019-03-27T05:54:42,C,731,372
2019-03-27T06:04:42,C,731,374
2019-03-27T06:14:42,C,731,373
2019-03-27T06:25:42,C,731,379
2019-03-27T06:35:43,C,731,393
2019-03-27T06:45:43,C,731,410
2019-03-27T06:55:43,C,731,424
2019-03-27T07:05:43,C,731,448
2019-03-27T07:15:43,C,731,472
2019-03-27T07:23:43,C,731,476
2019-03-27T07:33:43,C,731,488
2019-03-27T07:44:44,C,731,504
2019-03-27T07:54:44,C,731,524
2019-03-27T08:06:44,C,731,530
2019-03-27T08:14:44,C,731,561
2019-03-27T08:24:44,C,731,570
2019-03-27T08:34:44,C,731,581
2019-03-27T08:44:44,C,731,585
2019-03-27T08:55:45,C,731,600
2019-03-27T09:05:45,C,731,608
2019-03-27T09:15:45,C,731,614
2019-03-27T09:25:45,C,731,616
2019-03-27T09:35:45,C,731,613
2019-03-27T09:43:45,C,731,616
2019-03-27T09:55:45,C,731,620
2019-03-27T10:06:46,C,731,625
2019-03-27T10:16:46,C,731,629
2019-03-27T10:26:46,C,731,628
2019-03-27T10:34:46,C,731,629
2019-03-27T10:44:46,C,731,630
2019-03-27T10:54:46,C,731,630
2019-03-27T11:04:47,C,731,633
2019-03-27T11:14:47,C,731,630
2019-03-27T11:25:47,C,731,625
2019-03-27T11:35:47,C,731,623
2019-03-27T11:45:47,C,731,624
2019-03-27T11:57:47,C,731,626
2019-03-27T12:05:47,C,731,624
2019-03-27T12:15:48,C,731,626
2019-03-27T12:25:48,C,731,620
2019-03-27T12:36:48,C,731,619
2019-03-27T12:46:48,C,731,618
2019-03-27T12:56:48,C,731,612
2019-03-27T13:06:48,C,731,617
2019-03-27T13:14:48,C,731,623
2019-03-27T13:26:49,C,731,621
2019-03-27T13:34:49,C,731,624
2019-03-27T13:47:49,C,731,629
2019-03-27T13:55:49,C,731,625
2019-03-27T14:07:49,C,731,617
2019-03-27T14:15:49,C,731,621
2019-03-27T14:25:49,C,731,618
2019-03-27T14:35:50,C,731,616
2019-03-27T14:45:50,C,731,612
2019-03-27T14:55:50,C,731,610
2019-03-27T15:06:50,C,731,608
2019-03-27T15:16:50,C,731,609
2019-03-27T15:26:50,C,731,612
2019-03-27T15:36:50,C,731,616
2019-03-27T15:46:51,C,731,620
2019-03-27T15:56:51,C,731,620
2019-03-27T16:06:51,C,731,613
2019-03-27T16:17:51,C,731,606
2019-03-27T16:27:51,C,731,607
2019-03-27T16:37:51,C,731,607
2019-03-27T16:47:52,C,731,600
2019-03-27T16:57:52,C,731,603
2019-03-27T17:07:52,C,731,610
2019-03-27T17:17:52,C,731,609
2019-03-27T17:25:52,C,731,601
2019-03-27T17:38:52,C,731,590
2019-03-27T17:46:52,C,731,588
2019-03-27T17:56:53,C,731,585
2019-03-27T18:06:53,C,731,566
2019-03-27T18:16:53,C,731,559
2019-03-27T18:26:53,C,731,549
2019-03-27T18:36:53,C,731,537
2019-03-27T18:47:53,C,731,531
2019-03-27T18:57:54,C,731,525
2019-03-27T19:07:54,C,731,516
2019-03-27T19:17:54,C,731,498
2019-03-27T19:27:54,C,731,497
2019-03-27T19:37:54,C,731,491
2019-03-27T19:47:54,C,731,481
2019-03-27T19:58:54,C,731,479
2019-03-27T20:08:55,C,731,474
2019-03-27T20:18:55,C,731,476
2019-03-27T20:28:55,C,731,472
2019-03-27T20:36:55,C,731,469
2019-03-27T20:46:55,C,731,463
2019-03-27T20:56:55,C,731,456
2019-03-27T21:06:55,C,731,447
2019-03-27T21:17:56,C,731,444
2019-03-27T21:27:56,C,731,432
2019-03-27T21:37:56,C,731,428
2019-03-27T21:47:56,C,731,426
2019-03-27T21:57:56,C,731,421
2019-03-27T22:07:56,C,731,409
2019-03-27T22:17:56,C,731,399
2019-03-27T22:28:57,C,731,388
2019-03-27T22:38:57,C,731,385
2019-03-27T22:48:57,C,731,380
2019-03-27T22:58:57,C,731,376
2019-03-27T23:08:57,C,731,371
2019-03-27T23:18:57,C,731,370
2019-03-27T23:26:57,C,731,370
2019-03-27T23:39:58,C,731,367
2019-03-27T23:49:58,C,731,366
2019-03-27T23:59:58,C,731,363
2019-03-28T00:07:58,C,731,360
2019-03-28T00:17:58,C,731,360
2019-03-28T00:27:58,C,731,359
2019-03-28T00:37:58,C,731,360
2019-03-28T00:47:59,C,731,358
2019-03-28T00:58:59,C,731,357
2019-03-28T01:10:59,C,731,356
2019-03-28T01:18:59,C,731,354
2019-03-28T01:28:59,C,731,353
2019-03-28T01:38:59,C,731,354
2019-03-28T01:48:59,C,731,350
2019-03-28T01:59:00,C,731,353
2019-03-28T02:10:00,C,731,352
2019-03-28T02:20:00,C,731,351
2019-03-28T02:30:00,C,731,350
2019-03-28T02:40:00,C,731,352
2019-03-28T02:50:00,C,731,350
2019-03-28T02:58:01,C,731,350
2019-03-28T03:10:48,C,731,349
2019-03-28T03:18:48,C,731,348
2019-03-28T03:30:48,C,731,349
2019-03-28T03:38:48,C,731,350
2019-03-28T03:48:48,C,731,350
2019-03-28T03:58:48,C,731,350
2019-03-28T04:08:48,C,731,350
2019-03-28T04:21:49,C,731,348
2019-03-28T04:29:49,C,731,349
2019-03-28T04:41:49,C,731,349
2019-03-28T04:49:49,C,731,350
2019-03-28T04:59:49,C,731,350
2019-03-28T05:09:49,C,731,352
2019-03-28T05:19:49,C,731,354
2019-03-28T05:30:50,C,731,356
2019-03-28T05:40:50,C,731,355
2019-03-28T05:50:50,C,731,358
2019-03-28T06:00:50,C,731,359
2019-03-28T06:10:50,C,731,361
2019-03-28T06:18:50,C,731,361
2019-03-28T06:28:51,C,731,367
2019-03-28T06:38:51,C,731,376
2019-03-28T06:51:51,C,731,401
2019-03-28T06:59:51,C,731,418
2019-03-28T07:11:51,C,731,451
2019-03-28T07:19:51,C,731,462
2019-03-28T07:29:51,C,731,471
2019-03-28T07:39:52,C,731,479
2019-03-28T07:49:52,C,731,503
2019-03-28T08:00:52,C,731,515
2019-03-28T08:10:52,C,731,534
2019-03-28T08:20:52,C,731,546
2019-03-28T08:30:52,C,731,561
2019-03-28T08:40:52,C,731,563
2019-03-28T08:50:53,C,731,578
2019-03-28T09:00:53,C,731,584
2019-03-28T09:11:53,C,731,597
2019-03-28T09:21:53,C,731,596
2019-03-28T09:31:53,C,731,602
2019-03-28T09:41:53,C,731,600
2019-03-28T09:51:53,C,731,602
2019-03-28T09:59:54,C,731,608
2019-03-28T10:09:54,C,731,613
2019-03-28T10:21:54,C,731,611
