date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:28,C,361,267
2019-03-26T13:10:28,C,361,267
2019-03-26T13:20:29,C,361,265
2019-03-26T13:30:29,C,361,267
2019-03-26T13:40:29,C,361,268
2019-03-26T13:50:29,C,361,268
2019-03-26T13:59:29,C,361,267
2019-03-26T14:09:29,C,361,263
2019-03-26T14:20:29,C,361,264
2019-03-26T14:30:29,C,361,263
2019-03-26T14:40:29,C,361,267
2019-03-26T14:51:30,C,361,270
2019-03-26T15:00:30,C,361,271
2019-03-26T15:10:30,C,361,273
2019-03-26T15:19:30,C,361,274
2019-03-26T15:31:30,C,361,274
2019-03-26T15:40:30,C,361,274
2019-03-26T15:51:30,C,361,275
2019-03-26T16:00:30,C,361,273
2019-03-26T16:10:30,C,361,272
2019-03-26T16:20:30,C,361,271
2019-03-26T16:30:31,C,361,264
2019-03-26T16:41:31,C,361,261
2019-03-26T16:51:31,C,361,257
2019-03-26T17:01:31,C,361,253
2019-03-26T17:11:31,C,361,256
2019-03-26T17:21:31,C,361,251
2019-03-26T17:30:31,C,361,254
2019-03-26T17:40:31,C,361,248
2019-03-26T17:50:32,C,361,246
2019-03-26T18:12:32,C,361,238
2019-03-26T18:31:32,C,361,231
2019-03-26T18:41:32,C,361,226
2019-03-26T18:52:32,C,361,223
2019-03-26T19:02:32,C,361,214
2019-03-26T19:13:32,C,361,211
2019-03-26T19:22:32,C,361,211
2019-03-26T19:32:32,C,361,208
2019-03-26T19:41:33,C,361,206
2019-03-26T19:52:33,C,361,196
2019-03-26T20:02:33,C,361,189
2019-03-26T20:13:33,C,361,182
2019-03-26T20:22:33,C,361,180
2019-03-26T20:33:33,C,361,175
2019-03-26T20:43:33,C,361,171
2019-03-26T20:52:33,C,361,170
2019-03-26T21:02:33,C,361,168
2019-03-26T21:13:34,C,361,163
2019-03-26T21:22:34,C,361,156
2019-03-26T21:33:34,C,361,153
2019-03-26T21:43:34,C,361,149
2019-03-26T21:53:34,C,361,146
2019-03-26T22:01:34,C,361,143
2019-03-26T22:12:34,C,361,140
2019-03-26T22:22:34,C,361,133
2019-03-26T22:33:34,C,361,129
2019-03-26T22:43:35,C,361,130
2019-03-26T22:53:35,C,361,128
2019-03-26T23:03:35,C,361,123
2019-03-26T23:13:35,C,361,123
2019-03-26T23:23:35,C,361,121
2019-03-26T23:33:35,C,361,122
2019-03-26T23:44:35,C,361,120
2019-03-26T23:54:35,C,361,119
2019-03-27T00:04:35,C,361,117
2019-03-27T00:13:35,C,361,114
2019-03-27T00:21:36,C,361,112
2019-03-27T00:28:36,C,361,112
2019-03-27T00:42:36,C,361,111
2019-03-27T00:54:36,C,361,111
2019-03-27T01:04:36,C,361,110
2019-03-27T01:14:36,C,361,111
2019-03-27T01:24:36,C,361,109
2019-03-27T01:33:36,C,361,107
2019-03-27T01:43:36,C,361,106
2019-03-27T01:53:36,C,361,106
2019-03-27T02:04:37,C,361,105
2019-03-27T02:14:37,C,361,105
2019-03-27T02:24:37,C,361,103
2019-03-27T02:34:37,C,361,103
2019-03-27T02:44:37,C,361,103
2019-03-27T02:54:37,C,361,103
2019-03-27T03:15:16,C,361,103
2019-03-27T03:25:16,C,361,103
2019-03-27T03:34:16,C,361,98
2019-03-27T03:45:16,C,361,97
2019-03-27T03:55:17,C,361,97
2019-03-27T04:04:17,C,361,97
2019-03-27T04:14:17,C,361,97
2019-03-27T04:24:17,C,361,97
2019-03-27T04:35:17,C,361,96
2019-03-27T04:44:17,C,361,96
2019-03-27T04:55:17,C,361,96
2019-03-27T05:05:17,C,361,98
2019-03-27T05:14:17,C,361,98
2019-03-27T05:25:18,C,361,100
2019-03-27T05:35:18,C,361,100
2019-03-27T05:45:18,C,361,101
2019-03-27T05:55:18,C,361,102
2019-03-27T06:05:18,C,361,105
2019-03-27T06:15:18,C,361,106
2019-03-27T06:24:18,C,361,113
2019-03-27T06:35:18,C,361,123
2019-03-27T06:45:18,C,361,131
2019-03-27T06:55:18,C,361,149
2019-03-27T07:05:19,C,361,164
2019-03-27T07:16:19,C,361,187
2019-03-27T07:25:19,C,361,190
2019-03-27T07:34:19,C,361,196
2019-03-27T07:44:19,C,361,200
2019-03-27T07:55:19,C,361,200
2019-03-27T08:06:19,C,361,208
2019-03-27T08:15:19,C,361,218
2019-03-27T08:25:19,C,361,223
2019-03-27T08:36:20,C,361,230
2019-03-27T08:45:20,C,361,236
2019-03-27T08:54:20,C,361,239
2019-03-27T09:06:20,C,361,243
2019-03-27T09:16:20,C,361,245
2019-03-27T09:25:20,C,361,250
2019-03-27T09:36:20,C,361,254
2019-03-27T09:45:20,C,361,256
2019-03-27T09:56:20,C,361,260
2019-03-27T10:05:21,C,361,261
2019-03-27T10:16:21,C,361,260
2019-03-27T10:26:21,C,361,260
2019-03-27T10:35:21,C,361,261
2019-03-27T10:46:21,C,361,260
2019-03-27T10:56:21,C,361,258
2019-03-27T11:05:21,C,361,256
2019-03-27T11:16:21,C,361,260
2019-03-27T11:26:21,C,361,261
2019-03-27T11:36:21,C,361,261
2019-03-27T11:46:22,C,361,262
2019-03-27T11:56:22,C,361,263
2019-03-27T12:05:22,C,361,265
2019-03-27T12:17:22,C,361,264
2019-03-27T12:27:22,C,361,261
2019-03-27T12:36:22,C,361,262
2019-03-27T12:47:22,C,361,261
2019-03-27T12:56:22,C,361,262
2019-03-27T13:07:22,C,361,259
2019-03-27T13:15:22,C,361,259
2019-03-27T13:27:23,C,361,257
2019-03-27T13:36:23,C,361,257
2019-03-27T13:47:23,C,361,253
2019-03-27T13:56:23,C,361,253
2019-03-27T14:07:23,C,361,248
2019-03-27T14:15:23,C,361,248
2019-03-27T14:26:23,C,361,249
2019-03-27T14:37:23,C,361,252
2019-03-27T14:47:23,C,361,250
2019-03-27T14:56:23,C,361,252
2019-03-27T15:07:24,C,361,254
2019-03-27T15:17:24,C,361,257
2019-03-27T15:26:24,C,361,257
2019-03-27T15:36:24,C,361,252
2019-03-27T15:47:24,C,361,254
2019-03-27T15:57:24,C,361,252
2019-03-27T16:07:24,C,361,252
2019-03-27T16:17:24,C,361,253
2019-03-27T16:28:24,C,361,260
2019-03-27T16:38:25,C,361,259
2019-03-27T16:47:25,C,361,262
2019-03-27T16:57:25,C,361,263
2019-03-27T17:08:25,C,361,258
2019-03-27T17:18:25,C,361,260
2019-03-27T17:27:25,C,361,257
2019-03-27T17:38:25,C,361,255
2019-03-27T17:47:25,C,361,253
2019-03-27T17:56:25,C,361,251
2019-03-27T18:07:26,C,361,242
2019-03-27T18:17:26,C,361,243
2019-03-27T18:27:26,C,361,239
2019-03-27T18:37:26,C,361,226
2019-03-27T18:48:26,C,361,219
2019-03-27T18:58:26,C,361,211
2019-03-27T19:07:26,C,361,199
2019-03-27T19:17:26,C,361,192
2019-03-27T19:28:26,C,361,188
2019-03-27T19:38:26,C,361,192
2019-03-27T19:48:27,C,361,186
2019-03-27T19:58:27,C,361,181
2019-03-27T20:08:27,C,361,180
2019-03-27T20:18:27,C,361,178
2019-03-27T20:28:27,C,361,171
2019-03-27T20:37:27,C,361,170
2019-03-27T20:48:27,C,361,174
2019-03-27T20:58:27,C,361,168
2019-03-27T21:08:27,C,361,161
2019-03-27T21:18:28,C,361,155
2019-03-27T21:28:28,C,361,148
2019-03-27T21:37:28,C,361,143
2019-03-27T21:47:28,C,361,139
2019-03-27T21:59:28,C,361,136
2019-03-27T22:08:28,C,361,132
2019-03-27T22:18:28,C,361,126
2019-03-27T22:29:28,C,361,129
2019-03-27T22:39:28,C,361,124
2019-03-27T22:47:28,C,361,124
2019-03-27T22:58:29,C,361,122
2019-03-27T23:09:29,C,361,121
2019-03-27T23:19:29,C,361,115
2019-03-27T23:28:29,C,361,112
2019-03-27T23:39:29,C,361,110
2019-03-27T23:49:29,C,361,107
2019-03-27T23:58:29,C,361,105
2019-03-28T00:08:29,C,361,102
2019-03-28T00:19:29,C,361,102
2019-03-28T00:29:29,C,361,102
2019-03-28T00:39:30,C,361,101
2019-03-28T00:49:30,C,361,100
2019-03-28T00:59:30,C,361,99
2019-03-28T01:09:30,C,361,99
2019-03-28T01:19:30,C,361,99
2019-03-28T01:29:30,C,361,98
2019-03-28T01:39:30,C,361,98
2019-03-28T01:49:30,C,361,98
2019-03-28T02:00:30,C,361,98
2019-03-28T02:09:31,C,361,97
2019-03-28T02:19:31,C,361,97
2019-03-28T02:29:31,C,361,95
2019-03-28T02:39:31,C,361,95
2019-03-28T02:50:31,C,361,95
2019-03-28T02:59:31,C,361,95
2019-03-28T03:10:18,C,361,95
2019-03-28T03:19:18,C,361,94
2019-03-28T03:29:18,C,361,93
2019-03-28T03:39:18,C,361,98
2019-03-28T03:50:18,C,361,98
2019-03-28T04:00:18,C,361,98
2019-03-28T04:10:18,C,361,98
2019-03-28T04:21:18,C,361,98
2019-03-28T04:30:19,C,361,98
2019-03-28T04:41:19,C,361,96
2019-03-28T04:49:19,C,361,97
2019-03-28T05:01:19,C,361,98
2019-03-28T05:10:19,C,361,98
2019-03-28T05:21:19,C,361,99
2019-03-28T05:31:19,C,361,100
2019-03-28T05:40:19,C,361,103
2019-03-28T05:51:19,C,361,106
2019-03-28T05:59:19,C,361,110
2019-03-28T06:11:20,C,361,110
2019-03-28T06:20:20,C,361,114
2019-03-28T06:30:20,C,361,118
2019-03-28T06:40:20,C,361,128
2019-03-28T06:51:20,C,361,149
2019-03-28T07:00:20,C,361,160
2019-03-28T07:10:20,C,361,176
2019-03-28T07:20:20,C,361,197
2019-03-28T07:31:21,C,361,202
2019-03-28T07:41:21,C,361,204
2019-03-28T07:51:21,C,361,206
2019-03-28T08:01:21,C,361,214
2019-03-28T08:11:21,C,361,223
2019-03-28T08:20:21,C,361,227
2019-03-28T08:30:21,C,361,232
2019-03-28T08:41:21,C,361,236
2019-03-28T08:51:21,C,361,240
2019-03-28T09:01:21,C,361,245
2019-03-28T09:12:21,C,361,245
2019-03-28T09:21:22,C,361,246
2019-03-28T09:30:22,C,361,253
2019-03-28T09:41:22,C,361,253
2019-03-28T09:52:22,C,361,253
2019-03-28T10:01:22,C,361,255
2019-03-28T10:11:22,C,361,260
2019-03-28T10:22:22,C,361,262
2019-03-28T10:32:22,C,361,264
2019-03-28T10:42:22,C,361,265
2019-03-28T10:50:23,C,361,265
2019-03-28T11:01:23,C,361,262
2019-03-28T11:11:23,C,361,265
2019-03-28T11:22:23,C,361,267
2019-03-28T11:32:23,C,361,269
2019-03-28T11:41:23,C,361,267
2019-03-28T11:52:23,C,361,271
2019-03-28T12:02:23,C,361,273
2019-03-28T12:12:23,C,361,271
2019-03-28T12:21:23,C,361,265
2019-03-28T12:31:24,C,361,262
2019-03-28T12:42:24,C,361,263
2019-03-28T12:52:24,C,361,264
2019-03-28T13:02:24,C,361,263
2019-03-28T13:12:24,C,361,262
2019-03-28T13:22:24,C,361,261
2019-03-28T13:31:24,C,361,263
2019-03-28T13:41:24,C,361,266
2019-03-28T13:52:24,C,361,265
2019-03-28T14:02:25,C,361,262
2019-03-28T14:13:25,C,361,264
2019-03-28T14:22:25,C,361,263
2019-03-28T14:32:25,C,361,262
2019-03-28T14:41:25,C,361,263
2019-03-28T14:51:25,C,361,260
2019-03-28T15:01:25,C,361,262
2019-03-28T15:12:25,C,361,262
2019-03-28T15:22:25,C,361,260
2019-03-28T15:32:25,C,361,260
2019-03-28T15:52:26,C,361,265
2019-03-28T16:02:26,C,361,263
2019-03-28T16:24:26,C,361,259
2019-03-28T16:44:26,C,361,252
2019-03-28T16:54:26,C,361,251
2019-03-28T17:03:26,C,361,252
2019-03-28T17:13:27,C,361,255
2019-03-28T17:22:27,C,361,257
2019-03-28T17:44:27,C,361,248
2019-03-28T17:54:27,C,361,247
2019-03-28T18:04:27,C,361,242
2019-03-28T18:14:27,C,361,240
2019-03-28T18:22:27,C,361,238
2019-03-28T18:33:27,C,361,235
2019-03-28T18:44:27,C,361,227
2019-03-28T18:54:28,C,361,220
2019-03-28T19:15:28,C,361,214
2019-03-28T19:25:28,C,361,205
2019-03-28T19:35:28,C,361,198
2019-03-28T19:44:28,C,361,193
2019-03-28T19:54:28,C,361,191
2019-03-28T20:05:28,C,361,181
2019-03-28T20:16:28,C,361,181
2019-03-28T20:25:29,C,361,173
2019-03-28T20:35:29,C,361,170
2019-03-28T20:45:29,C,361,168
2019-03-28T20:54:29,C,361,167
2019-03-28T21:05:29,C,361,159
2019-03-28T21:16:29,C,361,155
2019-03-28T21:26:29,C,361,152
2019-03-28T21:36:29,C,361,151
2019-03-28T21:46:29,C,361,147
2019-03-28T21:55:29,C,361,142
2019-03-28T22:05:30,C,361,136
2019-03-28T22:15:30,C,361,133
2019-03-28T22:26:30,C,361,130
2019-03-28T22:36:30,C,361,129
2019-03-28T22:46:30,C,361,128
2019-03-28T22:56:30,C,361,127
2019-03-28T23:05:30,C,361,122
