date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:46,C,230,206
2019-03-26T13:10:46,C,230,206
2019-03-26T13:20:47,C,230,209
2019-03-26T13:30:47,C,230,214
2019-03-26T13:40:17,C,230,216
2019-03-26T13:50:17,C,230,213
2019-03-26T14:00:18,C,230,214
2019-03-26T14:10:48,C,230,218
2019-03-26T14:20:49,C,230,225
2019-03-26T14:30:49,C,230,228
2019-03-26T14:40:49,C,230,226
2019-03-26T14:51:20,C,230,226
2019-03-26T15:00:20,C,230,228
2019-03-26T15:11:20,C,230,228
2019-03-26T15:20:20,C,230,226
2019-03-26T15:31:51,C,230,229
2019-03-26T15:40:51,C,230,225
2019-03-26T15:51:52,C,230,228
2019-03-26T15:59:52,C,230,227
2019-03-26T16:10:22,C,230,224
2019-03-26T16:21:22,C,230,224
2019-03-26T16:31:23,C,230,229
2019-03-26T16:41:53,C,230,228
2019-03-26T16:51:53,C,230,223
2019-03-26T17:01:54,C,230,225
2019-03-26T17:10:54,C,230,221
2019-03-26T17:21:24,C,230,224
2019-03-26T17:31:25,C,230,221
2019-03-26T17:41:25,C,230,218
2019-03-26T17:51:25,C,230,219
2019-03-26T18:12:56,C,230,205
2019-03-26T18:31:56,C,230,200
2019-03-26T18:42:27,C,230,195
2019-03-26T18:52:27,C,230,185
2019-03-26T19:02:28,C,230,188
2019-03-26T19:13:58,C,230,181
2019-03-26T19:22:58,C,230,179
2019-03-26T19:33:58,C,230,183
2019-03-26T19:41:59,C,230,180
2019-03-26T19:53:29,C,230,182
2019-03-26T20:02:29,C,230,185
2019-03-26T20:13:29,C,230,182
2019-03-26T20:22:30,C,230,175
2019-03-26T20:34:00,C,230,180
2019-03-26T20:44:00,C,230,178
2019-03-26T20:53:01,C,230,178
2019-03-26T21:03:31,C,230,179
2019-03-26T21:13:31,C,230,179
2019-03-26T21:22:32,C,230,178
2019-03-26T21:33:32,C,230,172
2019-03-26T21:44:02,C,230,171
2019-03-26T21:54:03,C,230,171
2019-03-26T22:02:03,C,230,166
2019-03-26T22:13:03,C,230,163
2019-03-26T22:23:34,C,230,163
2019-03-26T22:33:34,C,230,160
2019-03-26T22:43:34,C,230,162
2019-03-26T22:54:05,C,230,160
2019-03-26T23:04:05,C,230,156
2019-03-26T23:14:05,C,230,152
2019-03-26T23:24:05,C,230,153
2019-03-26T23:34:36,C,230,154
2019-03-26T23:44:36,C,230,149
2019-03-26T23:54:36,C,230,148
2019-03-27T00:04:37,C,230,150
2019-03-27T00:14:07,C,230,152
2019-03-27T00:23:07,C,230,152
2019-03-27T00:30:08,C,230,154
2019-03-27T00:43:08,C,230,154
2019-03-27T00:54:38,C,230,153
2019-03-27T01:04:39,C,230,153
2019-03-27T01:14:39,C,230,154
2019-03-27T01:25:09,C,230,154
2019-03-27T01:35:10,C,230,153
2019-03-27T01:44:10,C,230,151
2019-03-27T01:54:10,C,230,151
2019-03-27T02:04:41,C,230,151
2019-03-27T02:14:41,C,230,151
2019-03-27T02:24:41,C,230,151
2019-03-27T02:34:41,C,230,150
2019-03-27T02:45:12,C,230,149
2019-03-27T02:55:12,C,230,147
2019-03-27T03:15:43,C,230,148
2019-03-27T03:25:43,C,230,148
2019-03-27T03:34:43,C,230,149
2019-03-27T03:45:44,C,230,148
2019-03-27T03:56:14,C,230,148
2019-03-27T04:05:14,C,230,150
2019-03-27T04:14:15,C,230,149
2019-03-27T04:24:15,C,230,150
2019-03-27T04:35:46,C,230,150
2019-03-27T04:44:45,C,230,150
2019-03-27T04:55:46,C,230,151
2019-03-27T05:06:00,C,230,152
2019-03-27T05:15:59,C,230,152
2019-03-27T05:25:30,C,230,152
2019-03-27T05:35:30,C,230,154
2019-03-27T05:45:30,C,230,155
2019-03-27T05:55:31,C,230,156
2019-03-27T06:06:01,C,230,162
2019-03-27T06:16:01,C,230,165
2019-03-27T06:26:02,C,230,167
2019-03-27T06:35:02,C,230,175
2019-03-27T06:45:33,C,230,188
2019-03-27T06:55:32,C,230,191
2019-03-27T07:05:33,C,230,201
2019-03-27T07:17:03,C,230,205
2019-03-27T07:26:04,C,230,208
2019-03-27T07:36:04,C,230,210
2019-03-27T07:45:05,C,230,216
2019-03-27T07:55:35,C,230,227
2019-03-27T08:06:35,C,230,230
2019-03-27T08:15:35,C,230,228
2019-03-27T08:25:36,C,230,228
2019-03-27T08:37:07,C,230,230
2019-03-27T08:45:07,C,230,225
2019-03-27T08:55:07,C,230,230
2019-03-27T09:06:38,C,230,230
2019-03-27T09:16:38,C,230,229
2019-03-27T09:25:38,C,230,230
2019-03-27T09:36:39,C,230,225
2019-03-27T09:46:09,C,230,226
2019-03-27T09:57:09,C,230,227
2019-03-27T10:06:09,C,230,230
2019-03-27T10:16:10,C,230,229
2019-03-27T10:26:40,C,230,229
2019-03-27T10:35:40,C,230,230
2019-03-27T10:46:41,C,230,229
2019-03-27T10:57:11,C,230,229
2019-03-27T11:07:11,C,230,228
2019-03-27T11:16:11,C,230,230
2019-03-27T11:26:12,C,230,230
2019-03-27T11:36:42,C,230,224
2019-03-27T11:46:42,C,230,220
2019-03-27T11:57:43,C,230,222
2019-03-27T12:06:43,C,230,222
2019-03-27T12:18:13,C,230,224
2019-03-27T12:27:14,C,230,224
2019-03-27T12:36:14,C,230,218
2019-03-27T12:47:14,C,230,216
2019-03-27T12:56:44,C,230,218
2019-03-27T13:07:45,C,230,218
2019-03-27T13:16:45,C,230,214
2019-03-27T13:28:15,C,230,219
2019-03-27T13:36:16,C,230,226
2019-03-27T13:47:16,C,230,230
2019-03-27T13:56:16,C,230,228
2019-03-27T14:07:47,C,230,228
2019-03-27T14:16:47,C,230,223
2019-03-27T14:27:47,C,230,227
2019-03-27T14:37:48,C,230,226
2019-03-27T14:47:18,C,230,225
2019-03-27T14:56:18,C,230,224
2019-03-27T15:07:18,C,230,229
2019-03-27T15:17:19,C,230,226
2019-03-27T15:26:49,C,230,228
2019-03-27T15:37:49,C,230,228
2019-03-27T15:47:50,C,230,224
2019-03-27T15:58:20,C,230,229
2019-03-27T16:07:20,C,230,224
2019-03-27T16:17:21,C,230,226
2019-03-27T16:28:21,C,230,228
2019-03-27T16:38:51,C,230,225
2019-03-27T16:48:51,C,230,227
2019-03-27T16:58:52,C,230,224
2019-03-27T17:08:52,C,230,223
2019-03-27T17:18:22,C,230,224
2019-03-27T17:27:23,C,230,229
2019-03-27T17:38:23,C,230,220
2019-03-27T17:47:23,C,230,223
2019-03-27T17:57:54,C,230,217
2019-03-27T18:08:54,C,230,213
2019-03-27T18:17:54,C,230,203
2019-03-27T18:27:24,C,230,204
2019-03-27T18:37:25,C,230,201
2019-03-27T18:48:25,C,230,204
2019-03-27T18:58:25,C,230,200
2019-03-27T19:08:56,C,230,196
2019-03-27T19:18:56,C,230,197
2019-03-27T19:28:56,C,230,195
2019-03-27T19:37:57,C,230,192
2019-03-27T19:48:28,C,230,192
2019-03-27T19:58:27,C,230,191
2019-03-27T20:08:28,C,230,185
2019-03-27T20:19:58,C,230,182
2019-03-27T20:29:59,C,230,182
2019-03-27T20:38:59,C,230,181
2019-03-27T20:47:59,C,230,184
2019-03-27T20:57:59,C,230,175
2019-03-27T21:08:29,C,230,176
2019-03-27T21:18:30,C,230,176
2019-03-27T21:28:30,C,230,177
2019-03-27T21:39:00,C,230,179
2019-03-27T21:49:01,C,230,179
2019-03-27T21:59:01,C,230,176
2019-03-27T22:08:01,C,230,176
2019-03-27T22:18:32,C,230,173
2019-03-27T22:29:32,C,230,173
2019-03-27T22:39:32,C,230,171
2019-03-27T22:49:03,C,230,169
2019-03-27T23:00:03,C,230,170
2019-03-27T23:10:03,C,230,169
2019-03-27T23:19:04,C,230,166
2019-03-27T23:28:34,C,230,165
2019-03-27T23:39:34,C,230,166
2019-03-27T23:49:34,C,230,164
2019-03-27T23:59:35,C,230,164
