date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:49,C,145,61
2019-03-26T13:10:49,C,145,61
2019-03-26T13:20:49,C,145,61
2019-03-26T13:29:49,C,145,62
2019-03-26T13:40:19,C,145,64
2019-03-26T13:50:20,C,145,62
2019-03-26T14:00:20,C,145,60
2019-03-26T14:10:21,C,145,60
2019-03-26T14:20:51,C,145,58
2019-03-26T14:30:51,C,145,58
2019-03-26T14:40:52,C,145,57
2019-03-26T14:51:22,C,145,58
2019-03-26T15:00:22,C,145,58
2019-03-26T15:11:22,C,145,58
2019-03-26T15:20:23,C,145,58
2019-03-26T15:31:53,C,145,58
2019-03-26T15:40:53,C,145,60
2019-03-26T15:51:54,C,145,60
2019-03-26T15:59:54,C,145,59
2019-03-26T16:10:24,C,145,60
2019-03-26T16:21:24,C,145,61
2019-03-26T16:31:25,C,145,60
2019-03-26T16:41:25,C,145,58
2019-03-26T16:51:56,C,145,59
2019-03-26T17:01:56,C,145,62
2019-03-26T17:10:56,C,145,63
2019-03-26T17:21:26,C,145,66
2019-03-26T17:31:27,C,145,64
2019-03-26T17:41:27,C,145,66
2019-03-26T17:51:27,C,145,65
2019-03-26T18:12:58,C,145,63
2019-03-26T18:31:58,C,145,63
2019-03-26T18:42:29,C,145,63
2019-03-26T18:52:29,C,145,58
2019-03-26T19:02:29,C,145,58
2019-03-26T19:14:00,C,145,57
2019-03-26T19:23:00,C,145,55
2019-03-26T19:33:03,C,145,55
2019-03-26T19:42:01,C,145,51
2019-03-26T19:53:31,C,145,49
2019-03-26T20:02:31,C,145,47
2019-03-26T20:13:32,C,145,47
2019-03-26T20:22:32,C,145,48
2019-03-26T20:34:02,C,145,48
2019-03-26T20:43:02,C,145,45
2019-03-26T20:53:03,C,145,46
2019-03-26T21:03:33,C,145,48
2019-03-26T21:13:33,C,145,47
2019-03-26T21:22:34,C,145,46
2019-03-26T21:33:34,C,145,46
2019-03-26T21:44:04,C,145,45
2019-03-26T21:54:04,C,145,45
2019-03-26T22:02:05,C,145,41
2019-03-26T22:13:05,C,145,39
2019-03-26T22:23:35,C,145,38
2019-03-26T22:33:36,C,145,36
2019-03-26T22:43:36,C,145,35
2019-03-26T22:53:36,C,145,35
2019-03-26T23:03:07,C,145,34
2019-03-26T23:14:07,C,145,33
2019-03-26T23:24:07,C,145,33
2019-03-26T23:34:38,C,145,31
2019-03-26T23:44:38,C,145,31
2019-03-26T23:54:38,C,145,32
2019-03-27T00:04:38,C,145,31
2019-03-27T00:14:09,C,145,31
2019-03-27T00:23:09,C,145,30
2019-03-27T00:30:09,C,145,29
2019-03-27T00:43:10,C,145,29
2019-03-27T00:54:40,C,145,29
2019-03-27T01:04:40,C,145,28
2019-03-27T01:14:41,C,145,27
2019-03-27T01:25:11,C,145,25
2019-03-27T01:35:11,C,145,25
2019-03-27T01:44:11,C,145,25
2019-03-27T01:54:12,C,145,25
2019-03-27T02:04:42,C,145,25
2019-03-27T02:14:42,C,145,24
2019-03-27T02:24:43,C,145,24
2019-03-27T02:34:43,C,145,24
2019-03-27T02:45:13,C,145,23
2019-03-27T02:55:14,C,145,23
2019-03-27T03:15:14,C,145,23
2019-03-27T03:25:45,C,145,22
2019-03-27T03:34:45,C,145,22
2019-03-27T03:45:45,C,145,20
2019-03-27T03:56:16,C,145,20
2019-03-27T04:05:16,C,145,20
2019-03-27T04:14:17,C,145,20
2019-03-27T04:24:16,C,145,20
2019-03-27T04:35:47,C,145,20
2019-03-27T04:44:47,C,145,21
2019-03-27T04:55:47,C,145,21
2019-03-27T05:05:48,C,145,21
2019-03-27T05:15:18,C,145,22
2019-03-27T05:25:18,C,145,23
2019-03-27T05:35:18,C,145,24
2019-03-27T05:45:19,C,145,25
2019-03-27T05:55:49,C,145,26
2019-03-27T06:05:49,C,145,26
2019-03-27T06:15:50,C,145,27
2019-03-27T06:26:20,C,145,28
2019-03-27T06:35:20,C,145,33
2019-03-27T06:45:21,C,145,34
2019-03-27T06:55:21,C,145,40
2019-03-27T07:05:52,C,145,39
2019-03-27T07:16:52,C,145,41
2019-03-27T07:25:52,C,145,43
2019-03-27T07:35:52,C,145,44
