date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:25,C,246,237
2019-03-26T13:10:55,C,246,238
2019-03-26T13:20:57,C,246,237
2019-03-26T13:29:55,C,246,237
2019-03-26T13:39:56,C,246,237
2019-03-26T13:50:25,C,246,235
2019-03-26T14:00:26,C,246,235
2019-03-26T14:10:26,C,246,237
2019-03-26T14:20:57,C,246,236
2019-03-26T14:30:57,C,246,237
2019-03-26T14:40:57,C,246,240
2019-03-26T14:50:58,C,246,240
2019-03-26T15:00:28,C,246,239
2019-03-26T15:11:28,C,246,240
2019-03-26T15:20:28,C,246,238
2019-03-26T15:31:29,C,246,238
2019-03-26T15:40:59,C,246,235
2019-03-26T15:51:59,C,246,239
2019-03-26T16:00:00,C,246,240
2019-03-26T16:10:00,C,246,240
2019-03-26T16:21:30,C,246,241
2019-03-26T16:31:31,C,246,239
2019-03-26T16:41:30,C,246,240
2019-03-26T16:52:01,C,246,238
2019-03-26T17:02:01,C,246,239
2019-03-26T17:11:01,C,246,236
2019-03-26T17:21:03,C,246,235
2019-03-26T17:31:33,C,246,236
2019-03-26T17:41:33,C,246,239
2019-03-26T17:51:33,C,246,241
2019-03-26T18:13:04,C,246,236
2019-03-26T18:32:04,C,246,238
2019-03-26T18:42:35,C,246,235
2019-03-26T18:52:35,C,246,234
2019-03-26T19:02:35,C,246,236
2019-03-26T19:13:35,C,246,234
2019-03-26T19:23:06,C,246,234
2019-03-26T19:33:07,C,246,236
2019-03-26T19:42:08,C,246,234
2019-03-26T19:53:10,C,246,235
2019-03-26T20:02:36,C,246,232
2019-03-26T20:13:37,C,246,227
2019-03-26T20:22:38,C,246,228
2019-03-26T20:34:08,C,246,227
2019-03-26T20:43:08,C,246,225
2019-03-26T20:53:09,C,246,225
2019-03-26T21:03:09,C,246,225
2019-03-26T21:13:40,C,246,224
2019-03-26T21:22:41,C,246,225
2019-03-26T21:33:41,C,246,224
2019-03-26T21:43:41,C,246,221
2019-03-26T21:54:12,C,246,222
2019-03-26T22:02:12,C,246,218
2019-03-26T22:13:12,C,246,219
2019-03-26T22:23:13,C,246,218
