date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:21,C,656,572
2019-03-26T13:10:50,C,656,566
2019-03-26T13:20:52,C,656,564
2019-03-26T13:29:51,C,656,567
2019-03-26T13:40:22,C,656,573
2019-03-26T13:50:22,C,656,572
2019-03-26T14:00:22,C,656,573
2019-03-26T14:10:22,C,656,568
2019-03-26T14:20:52,C,656,567
2019-03-26T14:30:52,C,656,566
2019-03-26T14:40:53,C,656,572
2019-03-26T14:50:53,C,656,579
2019-03-26T15:00:24,C,656,579
2019-03-26T15:11:24,C,656,581
2019-03-26T15:20:24,C,656,573
2019-03-26T15:31:55,C,656,573
2019-03-26T15:40:55,C,656,577
2019-03-26T15:51:55,C,656,572
2019-03-26T15:59:55,C,656,571
2019-03-26T16:10:25,C,656,566
2019-03-26T16:21:26,C,656,561
2019-03-26T16:31:26,C,656,562
2019-03-26T16:41:26,C,656,557
2019-03-26T16:51:59,C,656,557
2019-03-26T17:01:58,C,656,558
2019-03-26T17:10:57,C,656,558
2019-03-26T17:21:00,C,656,551
2019-03-26T17:31:29,C,656,549
2019-03-26T17:41:29,C,656,550
2019-03-26T17:51:29,C,656,560
2019-03-26T18:12:59,C,656,560
2019-03-26T18:32:00,C,656,556
2019-03-26T18:42:30,C,656,555
2019-03-26T18:52:30,C,656,553
2019-03-26T19:02:31,C,656,563
2019-03-26T19:13:31,C,656,558
2019-03-26T19:23:01,C,656,548
2019-03-26T19:33:02,C,656,545
2019-03-26T19:42:05,C,656,541
2019-03-26T19:53:33,C,656,537
2019-03-26T20:02:32,C,656,535
2019-03-26T20:13:33,C,656,528
2019-03-26T20:22:33,C,656,520
2019-03-26T20:34:03,C,656,525
2019-03-26T20:43:03,C,656,526
2019-03-26T20:53:04,C,656,530
2019-03-26T21:03:05,C,656,529
2019-03-26T21:13:34,C,656,523
2019-03-26T21:22:35,C,656,515
2019-03-26T21:33:35,C,656,506
2019-03-26T21:44:06,C,656,501
2019-03-26T21:54:05,C,656,500
2019-03-26T22:02:07,C,656,491
2019-03-26T22:13:07,C,656,486
2019-03-26T22:23:37,C,656,481
2019-03-26T22:33:37,C,656,481
2019-03-26T22:43:37,C,656,481
2019-03-26T22:53:37,C,656,480
2019-03-26T23:03:08,C,656,477
2019-03-26T23:14:08,C,656,474
2019-03-26T23:24:08,C,656,471
2019-03-26T23:34:39,C,656,469
2019-03-26T23:44:39,C,656,463
2019-03-26T23:54:39,C,656,463
2019-03-27T00:04:40,C,656,460
2019-03-27T00:14:10,C,656,460
2019-03-27T00:23:12,C,656,460
2019-03-27T00:30:11,C,656,456
2019-03-27T00:43:11,C,656,455
2019-03-27T00:54:41,C,656,455
2019-03-27T01:04:42,C,656,455
2019-03-27T01:14:42,C,656,454
2019-03-27T01:24:42,C,656,454
2019-03-27T01:35:12,C,656,454
2019-03-27T01:44:12,C,656,454
2019-03-27T01:54:13,C,656,454
2019-03-27T02:04:43,C,656,453
2019-03-27T02:14:43,C,656,452
2019-03-27T02:24:43,C,656,451
2019-03-27T02:34:44,C,656,451
2019-03-27T02:45:14,C,656,451
2019-03-27T02:55:15,C,656,452
2019-03-27T03:15:18,C,656,452
2019-03-27T03:25:46,C,656,452
2019-03-27T03:34:45,C,656,453
2019-03-27T03:45:46,C,656,452
2019-03-27T03:56:16,C,656,452
2019-03-27T04:05:17,C,656,460
2019-03-27T04:14:17,C,656,459
2019-03-27T04:24:17,C,656,458
2019-03-27T04:35:48,C,656,457
2019-03-27T04:44:48,C,656,457
2019-03-27T04:55:48,C,656,457
2019-03-27T05:05:47,C,656,457
2019-03-27T05:15:17,C,656,459
2019-03-27T05:25:17,C,656,460
2019-03-27T05:35:18,C,656,460
2019-03-27T05:45:18,C,656,463
2019-03-27T05:55:48,C,656,462
2019-03-27T06:05:49,C,656,463
2019-03-27T06:15:49,C,656,465
2019-03-27T06:26:19,C,656,472
2019-03-27T06:35:22,C,656,476
2019-03-27T06:45:20,C,656,484
2019-03-27T06:55:20,C,656,497
