date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:45,C,655,563
2019-03-26T13:09:41,C,655,564
2019-03-26T13:19:46,C,655,568
2019-03-26T13:30:06,C,655,570
2019-03-26T13:40:28,C,655,576
2019-03-26T13:49:18,C,655,576
2019-03-26T14:00:08,C,655,571
2019-03-26T14:09:18,C,655,569
2019-03-26T14:20:29,C,655,565
2019-03-26T14:30:37,C,655,566
2019-03-26T14:40:09,C,655,567
2019-03-26T14:50:59,C,655,567
2019-03-26T15:00:35,C,655,566
2019-03-26T15:11:38,C,655,563
2019-03-26T15:20:07,C,655,561
2019-03-26T15:30:20,C,655,559
2019-03-26T15:40:09,C,655,565
2019-03-26T15:50:30,C,655,557
2019-03-26T15:59:58,C,655,560
2019-03-26T16:10:12,C,655,556
2019-03-26T16:20:59,C,655,556
2019-03-26T16:29:46,C,655,559
2019-03-26T16:41:20,C,655,561
2019-03-26T16:50:00,C,655,560
2019-03-26T17:01:20,C,655,557
2019-03-26T17:10:16,C,655,556
2019-03-26T17:21:21,C,655,564
2019-03-26T17:30:52,C,655,568
2019-03-26T17:41:21,C,655,568
2019-03-26T17:51:13,C,655,567
2019-03-26T18:11:37,C,655,554
2019-03-26T18:32:47,C,655,542
2019-03-26T18:41:22,C,655,539
2019-03-26T18:51:54,C,655,527
2019-03-26T19:00:51,C,655,517
2019-03-26T19:13:24,C,655,515
2019-03-26T19:20:41,C,655,517
2019-03-26T19:32:50,C,655,517
2019-03-26T19:39:53,C,655,513
2019-03-26T19:53:23,C,655,506
2019-03-26T20:02:29,C,655,504
2019-03-26T20:13:11,C,655,503
2019-03-26T20:21:23,C,655,496
2019-03-26T20:32:54,C,655,494
2019-03-26T20:43:49,C,655,493
2019-03-26T20:53:56,C,655,485
2019-03-26T21:02:03,C,655,480
2019-03-26T21:13:31,C,655,471
2019-03-26T21:21:24,C,655,465
2019-03-26T21:33:24,C,655,455
2019-03-26T21:43:37,C,655,453
2019-03-26T21:52:02,C,655,449
2019-03-26T22:01:57,C,655,448
2019-03-26T22:13:26,C,655,436
2019-03-26T22:23:49,C,655,432
2019-03-26T22:31:37,C,655,430
2019-03-26T22:43:05,C,655,429
2019-03-26T22:53:25,C,655,427
2019-03-26T23:02:30,C,655,426
2019-03-26T23:13:26,C,655,426
2019-03-26T23:23:21,C,655,423
2019-03-26T23:33:54,C,655,421
2019-03-26T23:43:32,C,655,421
2019-03-26T23:53:26,C,655,417
2019-03-27T00:04:50,C,655,417
2019-03-27T00:13:26,C,655,416
2019-03-27T00:21:27,C,655,414
2019-03-27T00:28:52,C,655,413
2019-03-27T00:42:24,C,655,413
2019-03-27T00:54:42,C,655,412
2019-03-27T01:02:34,C,655,411
2019-03-27T01:13:27,C,655,411
2019-03-27T01:21:27,C,655,411
2019-03-27T01:34:21,C,655,408
2019-03-27T01:44:32,C,655,410
2019-03-27T01:53:28,C,655,409
2019-03-27T02:01:28,C,655,409
2019-03-27T02:13:28,C,655,408
2019-03-27T02:21:28,C,655,408
2019-03-27T02:34:39,C,655,407
2019-03-27T02:41:29,C,655,406
2019-03-27T02:53:29,C,655,405
2019-03-27T03:13:29,C,655,406
2019-03-27T03:25:29,C,655,406
2019-03-27T03:33:29,C,655,406
2019-03-27T03:43:34,C,655,405
2019-03-27T03:55:21,C,655,406
2019-03-27T04:03:06,C,655,405
2019-03-27T04:13:42,C,655,407
2019-03-27T04:21:30,C,655,407
2019-03-27T04:33:30,C,655,407
2019-03-27T04:41:30,C,655,407
2019-03-27T04:53:51,C,655,408
2019-03-27T05:05:31,C,655,409
2019-03-27T05:15:39,C,655,409
2019-03-27T05:25:31,C,655,407
2019-03-27T05:35:09,C,655,409
2019-03-27T05:43:02,C,655,409
2019-03-27T05:53:31,C,655,410
2019-03-27T06:05:31,C,655,414
2019-03-27T06:14:20,C,655,415
2019-03-27T06:24:14,C,655,416
2019-03-27T06:34:30,C,655,423
2019-03-27T06:43:48,C,655,426
2019-03-27T06:53:32,C,655,430
2019-03-27T07:05:48,C,655,440
2019-03-27T07:15:45,C,655,459
2019-03-27T07:25:33,C,655,467
2019-03-27T07:34:47,C,655,471
2019-03-27T07:44:54,C,655,484
2019-03-27T07:55:36,C,655,492
2019-03-27T08:05:53,C,655,504
2019-03-27T08:14:53,C,655,511
2019-03-27T08:24:55,C,655,517
2019-03-27T08:36:15,C,655,523
2019-03-27T08:44:38,C,655,531
2019-03-27T08:54:55,C,655,537
2019-03-27T09:05:54,C,655,538
2019-03-27T09:16:42,C,655,537
2019-03-27T09:24:50,C,655,549
2019-03-27T09:35:50,C,655,553
2019-03-27T09:43:54,C,655,553
2019-03-27T09:55:39,C,655,556
2019-03-27T10:06:42,C,655,552
2019-03-27T10:16:34,C,655,557
2019-03-27T10:25:35,C,655,559
2019-03-27T10:33:50,C,655,559
2019-03-27T10:46:08,C,655,555
2019-03-27T10:56:15,C,655,561
2019-03-27T11:05:57,C,655,560
2019-03-27T11:15:32,C,655,567
2019-03-27T11:25:54,C,655,567
2019-03-27T11:35:35,C,655,567
2019-03-27T11:46:09,C,655,564
2019-03-27T11:57:11,C,655,560
2019-03-27T12:06:19,C,655,558
2019-03-27T12:17:56,C,655,559
2019-03-27T12:26:05,C,655,557
2019-03-27T12:35:05,C,655,557
2019-03-27T12:45:58,C,655,555
2019-03-27T12:54:45,C,655,555
2019-03-27T13:07:41,C,655,554
2019-03-27T13:14:28,C,655,560
2019-03-27T13:26:36,C,655,561
2019-03-27T13:35:16,C,655,564
2019-03-27T13:47:23,C,655,570
2019-03-27T13:55:27,C,655,570
2019-03-27T14:06:45,C,655,569
2019-03-27T14:15:24,C,655,570
2019-03-27T14:28:00,C,655,575
2019-03-27T14:37:58,C,655,571
2019-03-27T14:47:08,C,655,572
2019-03-27T14:56:16,C,655,572
2019-03-27T15:07:46,C,655,568
2019-03-27T15:16:28,C,655,564
2019-03-27T15:26:17,C,655,563
2019-03-27T15:37:03,C,655,560
2019-03-27T15:47:05,C,655,563
2019-03-27T15:57:40,C,655,566
2019-03-27T16:06:58,C,655,567
2019-03-27T16:16:32,C,655,561
2019-03-27T16:27:18,C,655,563
2019-03-27T16:37:46,C,655,563
2019-03-27T16:48:02,C,655,562
2019-03-27T16:57:54,C,655,558
2019-03-27T17:07:29,C,655,554
2019-03-27T17:18:20,C,655,554
2019-03-27T17:27:35,C,655,554
2019-03-27T17:37:48,C,655,557
2019-03-27T17:46:55,C,655,559
2019-03-27T17:56:51,C,655,558
2019-03-27T18:07:53,C,655,554
2019-03-27T18:17:54,C,655,550
2019-03-27T18:26:21,C,655,545
2019-03-27T18:36:40,C,655,545
2019-03-27T18:47:55,C,655,540
2019-03-27T18:58:23,C,655,531
2019-03-27T19:08:25,C,655,530
2019-03-27T19:17:34,C,655,527
2019-03-27T19:27:54,C,655,523
2019-03-27T19:38:08,C,655,519
2019-03-27T19:48:18,C,655,512
2019-03-27T19:58:30,C,655,501
2019-03-27T20:06:00,C,655,501
2019-03-27T20:18:58,C,655,496
2019-03-27T20:28:48,C,655,494
2019-03-27T20:37:44,C,655,492
2019-03-27T20:48:53,C,655,488
2019-03-27T20:57:55,C,655,485
2019-03-27T21:08:05,C,655,478
2019-03-27T21:18:14,C,655,473
2019-03-27T21:28:20,C,655,466
2019-03-27T21:38:46,C,655,458
2019-03-27T21:47:33,C,655,456
2019-03-27T21:58:43,C,655,448
2019-03-27T22:07:48,C,655,439
2019-03-27T22:18:43,C,655,434
2019-03-27T22:27:26,C,655,430
2019-03-27T22:37:45,C,655,428
2019-03-27T22:46:42,C,655,425
2019-03-27T22:59:30,C,655,419
2019-03-27T23:09:46,C,655,417
2019-03-27T23:18:43,C,655,416
2019-03-27T23:28:35,C,655,415
2019-03-27T23:38:55,C,655,415
2019-03-27T23:47:39,C,655,412
2019-03-27T23:59:06,C,655,410
2019-03-28T00:09:47,C,655,408
2019-03-28T00:17:51,C,655,407
2019-03-28T00:28:26,C,655,408
2019-03-28T00:39:26,C,655,404
2019-03-28T00:45:47,C,655,407
