date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:31,C,270,219
2019-03-26T13:08:32,C,270,215
2019-03-26T13:18:32,C,270,215
2019-03-26T13:28:32,C,270,221
2019-03-26T13:38:32,C,270,221
2019-03-26T13:48:33,C,270,222
2019-03-26T13:58:33,C,270,223
2019-03-26T14:08:33,C,270,224
2019-03-26T14:18:34,C,270,218
2019-03-26T14:28:34,C,270,219
2019-03-26T14:38:34,C,270,220
2019-03-26T14:48:34,C,270,217
2019-03-26T14:58:35,C,270,219
2019-03-26T15:08:35,C,270,221
2019-03-26T15:18:35,C,270,215
2019-03-26T15:28:36,C,270,217
2019-03-26T15:38:36,C,270,208
2019-03-26T15:48:36,C,270,209
2019-03-26T15:58:36,C,270,204
2019-03-26T16:08:37,C,270,208
2019-03-26T16:18:37,C,270,205
2019-03-26T16:28:37,C,270,198
2019-03-26T16:38:38,C,270,203
2019-03-26T16:48:38,C,270,197
2019-03-26T16:58:38,C,270,194
2019-03-26T17:08:38,C,270,197
2019-03-26T17:18:39,C,270,196
2019-03-26T17:28:39,C,270,192
2019-03-26T17:38:39,C,270,186
2019-03-26T17:48:40,C,270,186
2019-03-26T18:10:40,C,270,170
2019-03-26T18:30:41,C,270,151
2019-03-26T18:40:41,C,270,145
2019-03-26T18:50:41,C,270,134
2019-03-26T19:00:42,C,270,126
2019-03-26T19:10:42,C,270,125
2019-03-26T19:20:42,C,270,123
2019-03-26T19:30:42,C,270,114
2019-03-26T19:40:43,C,270,114
2019-03-26T19:50:43,C,270,118
2019-03-26T20:00:43,C,270,115
2019-03-26T20:10:44,C,270,113
2019-03-26T20:20:44,C,270,110
2019-03-26T20:30:44,C,270,107
2019-03-26T20:40:44,C,270,105
2019-03-26T20:50:45,C,270,109
2019-03-26T21:00:45,C,270,110
2019-03-26T21:10:45,C,270,99
2019-03-26T21:20:46,C,270,98
2019-03-26T21:30:46,C,270,95
2019-03-26T21:40:46,C,270,99
2019-03-26T21:50:46,C,270,99
2019-03-26T22:00:47,C,270,94
2019-03-26T22:10:47,C,270,97
2019-03-26T22:20:47,C,270,88
2019-03-26T22:30:48,C,270,81
2019-03-26T22:40:48,C,270,78
2019-03-26T22:50:48,C,270,79
2019-03-26T23:00:48,C,270,79
2019-03-26T23:12:49,C,270,77
2019-03-26T23:22:49,C,270,67
2019-03-26T23:32:49,C,270,69
2019-03-26T23:42:50,C,270,67
2019-03-26T23:52:50,C,270,67
2019-03-27T00:02:50,C,270,66
2019-03-27T00:10:50,C,270,66
2019-03-27T00:20:51,C,270,65
2019-03-27T00:26:51,C,270,63
2019-03-27T00:40:51,C,270,62
2019-03-27T00:52:52,C,270,60
2019-03-27T01:02:52,C,270,64
2019-03-27T01:12:52,C,270,65
2019-03-27T01:22:52,C,270,61
2019-03-27T01:32:53,C,270,62
2019-03-27T01:42:53,C,270,60
2019-03-27T01:52:53,C,270,57
2019-03-27T02:02:54,C,270,57
2019-03-27T02:12:54,C,270,57
2019-03-27T02:22:54,C,270,55
2019-03-27T02:32:54,C,270,55
2019-03-27T02:42:55,C,270,54
2019-03-27T02:52:56,C,270,55
2019-03-27T03:12:56,C,270,54
2019-03-27T03:22:57,C,270,54
2019-03-27T03:32:57,C,270,53
2019-03-27T03:42:57,C,270,53
2019-03-27T03:52:58,C,270,54
2019-03-27T04:02:58,C,270,54
2019-03-27T04:12:58,C,270,54
2019-03-27T04:22:58,C,270,54
2019-03-27T04:32:59,C,270,54
2019-03-27T04:42:59,C,270,54
2019-03-27T04:52:59,C,270,52
2019-03-27T05:03:00,C,270,54
2019-03-27T05:13:00,C,270,55
2019-03-27T05:23:00,C,270,58
2019-03-27T05:33:00,C,270,62
2019-03-27T05:43:01,C,270,66
2019-03-27T05:53:01,C,270,67
2019-03-27T06:03:01,C,270,73
2019-03-27T06:13:02,C,270,73
2019-03-27T06:23:02,C,270,78
2019-03-27T06:33:02,C,270,84
2019-03-27T06:43:02,C,270,91
2019-03-27T06:53:03,C,270,101
2019-03-27T07:03:03,C,270,106
2019-03-27T07:13:03,C,270,120
2019-03-27T07:23:04,C,270,118
2019-03-27T07:33:04,C,270,123
2019-03-27T07:43:04,C,270,132
2019-03-27T07:53:04,C,270,136
2019-03-27T08:03:05,C,270,147
2019-03-27T08:13:05,C,270,145
2019-03-27T08:23:05,C,270,149
2019-03-27T08:33:06,C,270,151
2019-03-27T08:43:06,C,270,166
2019-03-27T08:53:06,C,270,168
2019-03-27T09:03:06,C,270,173
2019-03-27T09:13:07,C,270,177
2019-03-27T09:23:07,C,270,180
2019-03-27T09:33:07,C,270,180
2019-03-27T09:43:08,C,270,179
2019-03-27T09:53:08,C,270,182
2019-03-27T10:03:08,C,270,178
2019-03-27T10:13:08,C,270,185
2019-03-27T10:23:09,C,270,187
2019-03-27T10:33:09,C,270,187
2019-03-27T10:43:09,C,270,185
2019-03-27T10:53:10,C,270,185
2019-03-27T11:03:10,C,270,185
2019-03-27T11:13:10,C,270,189
2019-03-27T11:23:10,C,270,188
2019-03-27T11:33:11,C,270,192
2019-03-27T11:43:11,C,270,190
2019-03-27T11:55:41,C,270,188
2019-03-27T12:03:42,C,270,192
2019-03-27T12:15:42,C,270,193
2019-03-27T12:25:42,C,270,195
2019-03-27T12:33:42,C,270,195
2019-03-27T12:45:43,C,270,199
2019-03-27T12:53:43,C,270,201
2019-03-27T13:05:43,C,270,203
2019-03-27T13:13:44,C,270,210
2019-03-27T13:25:44,C,270,209
2019-03-27T13:33:44,C,270,207
2019-03-27T13:45:44,C,270,201
2019-03-27T13:53:45,C,270,204
2019-03-27T14:05:45,C,270,203
2019-03-27T14:13:45,C,270,194
2019-03-27T14:25:46,C,270,193
2019-03-27T14:35:46,C,270,194
2019-03-27T14:45:46,C,270,197
