date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:27,C,661,433
2019-03-26T13:09:27,C,661,438
2019-03-26T13:19:27,C,661,429
2019-03-26T13:29:28,C,661,423
2019-03-26T13:39:28,C,661,417
2019-03-26T13:49:28,C,661,425
2019-03-26T13:59:29,C,661,418
2019-03-26T14:09:29,C,661,424
2019-03-26T14:19:29,C,661,426
2019-03-26T14:29:30,C,661,428
2019-03-26T14:39:30,C,661,424
2019-03-26T14:50:30,C,661,426
2019-03-26T14:59:30,C,661,420
2019-03-26T15:10:31,C,661,416
2019-03-26T15:19:31,C,661,413
2019-03-26T15:30:31,C,661,417
2019-03-26T15:39:32,C,661,406
2019-03-26T15:50:32,C,661,409
2019-03-26T15:59:32,C,661,409
2019-03-26T16:09:32,C,661,416
2019-03-26T16:20:33,C,661,417
2019-03-26T16:30:33,C,661,412
2019-03-26T16:40:33,C,661,411
2019-03-26T16:50:34,C,661,401
2019-03-26T17:00:34,C,661,389
2019-03-26T17:10:34,C,661,395
2019-03-26T17:20:34,C,661,387
2019-03-26T17:30:35,C,661,380
2019-03-26T17:40:35,C,661,372
2019-03-26T17:50:35,C,661,356
2019-03-26T18:11:36,C,661,350
2019-03-26T18:31:37,C,661,321
2019-03-26T18:42:07,C,661,313
2019-03-26T18:52:07,C,661,293
2019-03-26T19:02:07,C,661,282
2019-03-26T19:13:08,C,661,262
2019-03-26T19:22:08,C,661,257
2019-03-26T19:33:08,C,661,251
2019-03-26T19:42:09,C,661,249
2019-03-26T19:53:09,C,661,237
2019-03-26T20:02:09,C,661,230
2019-03-26T20:13:10,C,661,220
2019-03-26T20:22:10,C,661,206
2019-03-26T20:33:10,C,661,196
2019-03-26T20:43:10,C,661,198
2019-03-26T20:53:11,C,661,199
2019-03-26T21:03:11,C,661,193
2019-03-26T21:13:11,C,661,179
2019-03-26T21:22:11,C,661,181
2019-03-26T21:33:12,C,661,176
2019-03-26T21:43:12,C,661,168
2019-03-26T21:53:12,C,661,165
2019-03-26T22:02:13,C,661,138
2019-03-26T22:13:13,C,661,136
2019-03-26T22:23:13,C,661,129
2019-03-26T22:33:14,C,661,120
2019-03-26T22:43:14,C,661,109
2019-03-26T22:53:14,C,661,102
2019-03-26T23:03:15,C,661,98
2019-03-26T23:14:15,C,661,100
2019-03-26T23:24:15,C,661,91
2019-03-26T23:33:15,C,661,92
2019-03-26T23:43:16,C,661,84
2019-03-26T23:53:16,C,661,83
2019-03-27T00:03:16,C,661,74
2019-03-27T00:12:16,C,661,75
2019-03-27T00:21:17,C,661,72
2019-03-27T00:28:17,C,661,69
2019-03-27T00:42:17,C,661,71
2019-03-27T00:53:18,C,661,65
2019-03-27T01:03:18,C,661,63
2019-03-27T01:13:18,C,661,63
2019-03-27T01:23:19,C,661,61
2019-03-27T01:33:19,C,661,60
2019-03-27T01:43:19,C,661,58
2019-03-27T01:53:19,C,661,107
2019-03-27T02:03:20,C,661,107
2019-03-27T02:13:20,C,661,103
2019-03-27T02:23:20,C,661,102
2019-03-27T02:33:21,C,661,104
2019-03-27T02:43:21,C,661,105
2019-03-27T02:54:22,C,661,105
2019-03-27T03:14:22,C,661,104
2019-03-27T03:24:23,C,661,102
2019-03-27T03:33:23,C,661,104
2019-03-27T03:44:23,C,661,102
2019-03-27T03:54:24,C,661,103
2019-03-27T04:04:24,C,661,101
2019-03-27T04:13:24,C,661,100
2019-03-27T04:23:24,C,661,102
2019-03-27T04:34:25,C,661,105
2019-03-27T04:43:25,C,661,104
2019-03-27T04:54:25,C,661,107
2019-03-27T05:04:26,C,661,109
2019-03-27T05:14:26,C,661,112
2019-03-27T05:24:26,C,661,109
2019-03-27T05:34:26,C,661,110
2019-03-27T05:44:27,C,661,112
2019-03-27T05:54:27,C,661,113
2019-03-27T06:04:27,C,661,118
2019-03-27T06:14:28,C,661,127
2019-03-27T06:24:28,C,661,139
2019-03-27T06:34:28,C,661,148
2019-03-27T06:44:29,C,661,164
2019-03-27T06:54:29,C,661,192
2019-03-27T07:04:29,C,661,216
2019-03-27T07:15:30,C,661,234
2019-03-27T07:24:30,C,661,258
2019-03-27T07:34:30,C,661,276
2019-03-27T07:44:30,C,661,312
2019-03-27T07:54:31,C,661,333
2019-03-27T08:05:31,C,661,348
