date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:55,C,1000,38
2019-03-26T13:10:55,C,1000,37
2019-03-26T13:20:55,C,1000,36
2019-03-26T13:30:55,C,1000,37
2019-03-26T13:40:55,C,1000,37
2019-03-26T13:50:56,C,1000,38
2019-03-26T14:00:56,C,1000,38
2019-03-26T14:10:56,C,1000,39
2019-03-26T14:20:56,C,1000,40
2019-03-26T14:30:56,C,1000,39
2019-03-26T14:40:56,C,1000,39
2019-03-26T14:51:56,C,1000,39
2019-03-26T15:00:56,C,1000,39
2019-03-26T15:11:56,C,1000,42
2019-03-26T15:20:57,C,1000,42
2019-03-26T15:31:57,C,1000,40
2019-03-26T15:40:57,C,1000,40
2019-03-26T15:51:57,C,1000,42
2019-03-26T16:00:57,C,1000,41
2019-03-26T16:10:57,C,1000,41
2019-03-26T16:21:57,C,1000,40
2019-03-26T16:31:58,C,1000,40
2019-03-26T16:41:58,C,1000,38
2019-03-26T16:51:58,C,1000,38
2019-03-26T17:01:58,C,1000,39
2019-03-26T17:11:58,C,1000,39
2019-03-26T17:21:58,C,1000,39
2019-03-26T17:31:58,C,1000,38
2019-03-26T17:41:58,C,1000,39
2019-03-26T17:51:59,C,1000,40
2019-03-26T18:12:59,C,1000,38
2019-03-26T18:32:59,C,1000,34
2019-03-26T18:42:59,C,1000,37
2019-03-26T18:52:59,C,1000,34
2019-03-26T19:03:00,C,1000,32
2019-03-26T19:13:59,C,1000,32
2019-03-26T19:23:00,C,1000,27
2019-03-26T19:34:00,C,1000,24
2019-03-26T19:43:00,C,1000,24
2019-03-26T19:54:00,C,1000,26
2019-03-26T20:03:00,C,1000,25
2019-03-26T20:14:00,C,1000,23
2019-03-26T20:23:01,C,1000,24
2019-03-26T20:34:01,C,1000,25
2019-03-26T20:44:01,C,1000,25
2019-03-26T20:54:01,C,1000,23
2019-03-26T21:04:01,C,1000,27
2019-03-26T21:14:01,C,1000,29
2019-03-26T21:23:01,C,1000,29
2019-03-26T21:34:02,C,1000,25
2019-03-26T21:44:02,C,1000,25
2019-03-26T21:54:02,C,1000,24
2019-03-26T22:03:02,C,1000,22
2019-03-26T22:14:02,C,1000,22
2019-03-26T22:24:02,C,1000,20
2019-03-26T22:34:02,C,1000,20
2019-03-26T22:44:02,C,1000,23
2019-03-26T22:54:03,C,1000,22
2019-03-26T23:04:03,C,1000,22
2019-03-26T23:15:03,C,1000,22
2019-03-26T23:25:03,C,1000,22
2019-03-26T23:35:03,C,1000,22
2019-03-26T23:45:03,C,1000,20
2019-03-26T23:55:03,C,1000,20
2019-03-27T00:05:03,C,1000,21
2019-03-27T00:14:04,C,1000,21
2019-03-27T00:23:04,C,1000,20
2019-03-27T00:30:04,C,1000,19
2019-03-27T00:44:04,C,1000,19
2019-03-27T00:55:04,C,1000,17
2019-03-27T01:05:04,C,1000,17
2019-03-27T01:15:04,C,1000,17
2019-03-27T01:25:04,C,1000,16
2019-03-27T01:35:05,C,1000,16
2019-03-27T01:45:05,C,1000,16
2019-03-27T01:55:05,C,1000,16
2019-03-27T02:05:05,C,1000,15
2019-03-27T02:15:05,C,1000,15
2019-03-27T02:25:05,C,1000,15
2019-03-27T02:35:05,C,1000,15
2019-03-27T02:45:06,C,1000,15
2019-03-27T02:56:06,C,1000,15
2019-03-27T03:16:06,C,1000,15
2019-03-27T03:26:06,C,1000,15
2019-03-27T03:35:06,C,1000,15
2019-03-27T03:46:06,C,1000,15
2019-03-27T03:56:06,C,1000,15
2019-03-27T04:06:07,C,1000,14
2019-03-27T04:15:07,C,1000,14
2019-03-27T04:25:07,C,1000,14
2019-03-27T04:36:07,C,1000,14
2019-03-27T04:45:07,C,1000,14
2019-03-27T04:56:07,C,1000,14
2019-03-27T05:06:07,C,1000,14
2019-03-27T05:16:07,C,1000,14
2019-03-27T05:26:08,C,1000,14
2019-03-27T05:36:08,C,1000,15
2019-03-27T05:46:08,C,1000,16
2019-03-27T05:56:08,C,1000,16
2019-03-27T06:06:08,C,1000,16
2019-03-27T06:16:08,C,1000,19
2019-03-27T06:26:08,C,1000,20
2019-03-27T06:36:08,C,1000,20
2019-03-27T06:46:09,C,1000,21
2019-03-27T06:56:09,C,1000,21
2019-03-27T07:06:09,C,1000,26
2019-03-27T07:17:09,C,1000,24
2019-03-27T07:26:09,C,1000,25
2019-03-27T07:36:09,C,1000,28
2019-03-27T07:46:09,C,1000,30
2019-03-27T07:56:09,C,1000,31
2019-03-27T08:07:10,C,1000,30
2019-03-27T08:16:10,C,1000,31
2019-03-27T08:26:10,C,1000,31
2019-03-27T08:37:10,C,1000,32
2019-03-27T08:46:10,C,1000,34
2019-03-27T08:56:10,C,1000,34
2019-03-27T09:07:10,C,1000,33
2019-03-27T09:17:11,C,1000,32
2019-03-27T09:26:11,C,1000,32
2019-03-27T09:37:11,C,1000,33
2019-03-27T09:46:11,C,1000,34
2019-03-27T09:57:11,C,1000,35
2019-03-27T10:07:11,C,1000,35
2019-03-27T10:17:11,C,1000,35
2019-03-27T10:27:11,C,1000,36
2019-03-27T10:36:12,C,1000,35
2019-03-27T10:47:12,C,1000,35
2019-03-27T10:57:12,C,1000,36
2019-03-27T11:07:12,C,1000,32
2019-03-27T11:17:12,C,1000,33
2019-03-27T11:27:12,C,1000,32
2019-03-27T11:37:12,C,1000,35
2019-03-27T11:47:13,C,1000,35
2019-03-27T11:58:13,C,1000,36
