date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T09:58:14,C,1000,117
2019-03-26T16:59:03,C,200,185
2019-03-26T17:11:03,C,200,184
2019-03-26T17:20:49,C,200,180
2019-03-26T17:30:46,C,200,182
2019-03-26T17:38:21,C,200,185
2019-03-26T17:51:44,C,200,185
2019-03-26T18:09:13,C,200,185
2019-03-26T18:29:14,C,200,185
2019-03-26T18:41:14,C,200,185
2019-03-26T18:49:14,C,200,185
2019-03-26T18:57:14,C,200,185
2019-03-26T19:13:14,C,200,185
2019-03-26T19:17:14,C,200,185
2019-03-26T19:29:14,C,200,185
2019-03-26T19:37:14,C,200,185
2019-03-26T19:53:14,C,200,185
2019-03-26T20:01:14,C,200,185
2019-03-26T20:13:14,C,200,185
2019-03-26T20:21:14,C,200,185
2019-03-26T20:29:14,C,200,185
2019-03-26T20:41:14,C,200,185
2019-03-26T20:53:14,C,200,185
2019-03-26T21:01:14,C,200,185
2019-03-26T21:13:14,C,200,185
2019-03-26T21:21:14,C,200,185
2019-03-26T21:33:14,C,200,185
2019-03-26T21:41:14,C,200,185
2019-03-26T21:53:14,C,200,185
2019-03-26T22:01:14,C,200,185
2019-03-26T22:13:14,C,200,185
2019-03-26T22:21:14,C,200,185
2019-03-26T22:33:14,C,200,185
2019-03-26T22:41:14,C,200,185
2019-03-26T22:53:14,C,200,185
2019-03-26T23:01:14,C,200,185
2019-03-26T23:13:14,C,200,185
2019-03-26T23:21:14,C,200,185
2019-03-26T23:33:14,C,200,185
2019-03-26T23:41:14,C,200,185
2019-03-26T23:53:14,C,200,185
2019-03-27T00:01:14,C,200,185
2019-03-27T00:13:14,C,200,185
2019-03-27T00:21:14,C,200,185
2019-03-27T00:29:14,C,200,185
2019-03-27T00:41:14,C,200,185
2019-03-27T00:53:14,C,200,185
2019-03-27T01:01:14,C,200,185
2019-03-27T01:13:14,C,200,185
2019-03-27T01:21:14,C,200,185
2019-03-27T01:33:14,C,200,185
2019-03-27T01:41:14,C,200,185
2019-03-27T01:53:14,C,200,185
2019-03-27T02:01:14,C,200,185
2019-03-27T02:13:15,C,200,185
2019-03-27T02:21:15,C,200,185
2019-03-27T02:33:15,C,200,185
2019-03-27T02:41:15,C,200,185
2019-03-27T02:53:15,C,200,185
2019-03-27T03:13:15,C,200,185
2019-03-27T03:25:15,C,200,185
2019-03-27T03:33:15,C,200,185
2019-03-27T03:45:15,C,200,185
2019-03-27T03:53:15,C,200,185
2019-03-27T04:05:15,C,200,185
2019-03-27T04:13:15,C,200,185
2019-03-27T04:21:15,C,200,185
2019-03-27T04:33:15,C,200,185
2019-03-27T04:41:15,C,200,185
2019-03-27T04:53:15,C,200,185
2019-03-27T05:05:15,C,200,185
2019-03-27T05:13:15,C,200,185
2019-03-27T05:25:15,C,200,185
2019-03-27T05:33:15,C,200,185
2019-03-27T05:45:15,C,200,185
2019-03-27T05:53:15,C,200,185
2019-03-27T06:05:15,C,200,185
2019-03-27T06:13:15,C,200,185
2019-03-27T06:21:15,C,200,185
2019-03-27T06:33:15,C,200,185
2019-03-27T06:41:15,C,200,185
2019-03-27T06:53:15,C,200,185
2019-03-27T07:05:15,C,200,185
2019-03-27T07:13:15,C,200,185
2019-03-27T07:25:15,C,200,185
2019-03-27T07:33:15,C,200,185
2019-03-27T07:41:15,C,200,185
2019-03-27T07:53:15,C,200,185
2019-03-27T08:05:15,C,200,185
2019-03-27T08:13:15,C,200,185
2019-03-27T08:21:15,C,200,185
2019-03-27T08:33:15,C,200,185
2019-03-27T08:41:15,C,200,185
2019-03-27T08:53:16,C,200,185
2019-03-27T09:05:16,C,200,185
2019-03-27T09:13:16,C,200,185
2019-03-27T09:25:16,C,200,185
2019-03-27T09:33:16,C,200,185
2019-03-27T09:45:16,C,200,185
2019-03-27T09:53:16,C,200,185
2019-03-27T10:05:16,C,200,185
2019-03-27T10:13:16,C,200,185
2019-03-27T10:25:16,C,200,185
2019-03-27T10:33:16,C,200,185
2019-03-27T10:45:16,C,200,185
2019-03-27T10:56:27,C,200,185
2019-03-27T11:05:16,C,200,185
