date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:08,C,144,107
2019-03-26T13:10:25,C,144,103
2019-03-26T13:20:04,C,144,105
2019-03-26T13:29:08,C,144,104
2019-03-26T13:37:08,C,144,104
2019-03-26T13:49:13,C,144,106
2019-03-26T13:58:01,C,144,105
2019-03-26T14:09:13,C,144,106
2019-03-26T14:19:41,C,144,107
2019-03-26T14:29:08,C,144,106
2019-03-26T14:38:17,C,144,112
2019-03-26T14:49:09,C,144,110
2019-03-26T14:59:43,C,144,108
2019-03-26T15:11:42,C,144,108
2019-03-26T15:20:02,C,144,107
2019-03-26T15:29:09,C,144,108
2019-03-26T15:39:42,C,144,105
2019-03-26T15:49:41,C,144,105
2019-03-26T15:59:48,C,144,102
2019-03-26T16:09:21,C,144,100
2019-03-26T16:19:54,C,144,97
2019-03-26T16:31:05,C,144,99
2019-03-26T16:41:10,C,144,99
2019-03-26T16:51:29,C,144,100
2019-03-26T17:00:43,C,144,100
2019-03-26T17:09:14,C,144,95
2019-03-26T17:21:11,C,144,95
2019-03-26T17:30:49,C,144,96
2019-03-26T17:38:42,C,144,97
2019-03-26T17:50:42,C,144,96
2019-03-26T18:11:40,C,144,97
2019-03-26T18:29:12,C,144,92
2019-03-26T18:41:41,C,144,91
2019-03-26T18:51:13,C,144,88
2019-03-26T19:02:11,C,144,89
2019-03-26T19:11:47,C,144,84
2019-03-26T19:21:29,C,144,81
2019-03-26T19:33:13,C,144,81
2019-03-26T19:41:36,C,144,79
2019-03-26T19:53:13,C,144,82
2019-03-26T20:01:13,C,144,81
2019-03-26T20:12:28,C,144,83
2019-03-26T20:21:13,C,144,83
2019-03-26T20:33:13,C,144,86
2019-03-26T20:43:46,C,144,83
2019-03-26T20:52:12,C,144,81
2019-03-26T21:01:14,C,144,78
2019-03-26T21:12:07,C,144,77
2019-03-26T21:21:24,C,144,68
2019-03-26T21:33:14,C,144,67
2019-03-26T21:41:14,C,144,68
2019-03-26T21:52:08,C,144,68
2019-03-26T22:01:59,C,144,66
2019-03-26T22:12:38,C,144,64
2019-03-26T22:21:33,C,144,66
2019-03-26T22:33:15,C,144,65
2019-03-26T22:42:50,C,144,63
2019-03-26T22:51:59,C,144,58
2019-03-26T23:02:47,C,144,52
2019-03-26T23:13:16,C,144,54
2019-03-26T23:21:16,C,144,54
2019-03-26T23:33:16,C,144,55
2019-03-26T23:41:16,C,144,55
2019-03-26T23:53:16,C,144,53
2019-03-27T00:04:03,C,144,52
2019-03-27T00:13:16,C,144,55
2019-03-27T00:21:17,C,144,55
2019-03-27T00:29:17,C,144,55
2019-03-27T00:41:17,C,144,54
2019-03-27T00:53:17,C,144,53
2019-03-27T01:01:17,C,144,53
2019-03-27T01:13:17,C,144,54
2019-03-27T01:21:23,C,144,53
2019-03-27T01:33:17,C,144,52
2019-03-27T01:41:18,C,144,51
2019-03-27T01:50:31,C,144,51
2019-03-27T02:01:22,C,144,51
2019-03-27T02:14:03,C,144,48
2019-03-27T02:21:23,C,144,48
2019-03-27T02:33:24,C,144,49
2019-03-27T02:41:24,C,144,49
2019-03-27T02:53:24,C,144,47
2019-03-27T03:13:24,C,144,46
2019-03-27T03:24:04,C,144,45
2019-03-27T03:33:24,C,144,46
2019-03-27T03:41:25,C,144,45
2019-03-27T03:54:21,C,144,44
2019-03-27T04:05:25,C,144,50
2019-03-27T04:13:25,C,144,50
2019-03-27T04:21:25,C,144,50
2019-03-27T04:34:48,C,144,49
2019-03-27T04:42:51,C,144,49
2019-03-27T04:54:41,C,144,48
2019-03-27T05:05:26,C,144,48
2019-03-27T05:13:26,C,144,49
2019-03-27T05:25:26,C,144,49
2019-03-27T05:33:26,C,144,50
2019-03-27T05:45:26,C,144,50
2019-03-27T05:53:26,C,144,52
2019-03-27T06:04:07,C,144,53
2019-03-27T06:13:27,C,144,55
2019-03-27T06:21:27,C,144,57
2019-03-27T06:33:27,C,144,56
2019-03-27T06:45:27,C,144,60
2019-03-27T06:53:27,C,144,62
2019-03-27T07:01:27,C,144,64
2019-03-27T07:16:01,C,144,70
2019-03-27T07:25:28,C,144,70
2019-03-27T07:35:11,C,144,72
2019-03-27T07:43:54,C,144,77
2019-03-27T07:54:33,C,144,80
2019-03-27T08:05:50,C,144,86
2019-03-27T08:13:28,C,144,89
2019-03-27T08:25:28,C,144,92
2019-03-27T08:33:29,C,144,93
2019-03-27T08:43:50,C,144,92
2019-03-27T08:55:25,C,144,97
2019-03-27T09:05:29,C,144,100
2019-03-27T09:16:29,C,144,101
2019-03-27T09:25:29,C,144,105
2019-03-27T09:33:29,C,144,104
2019-03-27T09:43:28,C,144,104
2019-03-27T09:53:39,C,144,106
2019-03-27T10:05:44,C,144,103
2019-03-27T10:15:49,C,144,100
2019-03-27T10:25:30,C,144,100
2019-03-27T10:35:22,C,144,96
2019-03-27T10:45:55,C,144,94
2019-03-27T10:53:30,C,144,98
2019-03-27T11:06:07,C,144,100
2019-03-27T11:16:12,C,144,103
2019-03-27T11:25:31,C,144,102
2019-03-27T11:36:19,C,144,101
2019-03-27T11:45:31,C,144,104
2019-03-27T11:56:08,C,144,103
2019-03-27T12:05:31,C,144,106
2019-03-27T12:17:32,C,144,106
2019-03-27T12:27:41,C,144,105
2019-03-27T12:35:16,C,144,105
2019-03-27T12:46:48,C,144,102
2019-03-27T12:56:07,C,144,101
2019-03-27T13:06:28,C,144,100
2019-03-27T13:16:32,C,144,103
2019-03-27T13:25:33,C,144,102
2019-03-27T13:33:58,C,144,101
2019-03-27T13:46:54,C,144,103
2019-03-27T13:53:56,C,144,104
2019-03-27T14:05:33,C,144,105
2019-03-27T14:15:24,C,144,108
2019-03-27T14:25:33,C,144,108
2019-03-27T14:36:19,C,144,107
2019-03-27T14:47:01,C,144,103
2019-03-27T14:56:27,C,144,106
2019-03-27T15:05:37,C,144,100
2019-03-27T15:16:07,C,144,103
2019-03-27T15:25:34,C,144,104
2019-03-27T15:33:34,C,144,107
2019-03-27T15:45:47,C,144,105
2019-03-27T15:56:31,C,144,105
2019-03-27T16:06:32,C,144,105
2019-03-27T16:13:48,C,144,104
2019-03-27T16:25:35,C,144,102
2019-03-27T16:37:35,C,144,101
2019-03-27T16:47:03,C,144,101
2019-03-27T16:57:35,C,144,99
2019-03-27T17:06:13,C,144,98
2019-03-27T17:18:05,C,144,98
2019-03-27T17:27:09,C,144,100
2019-03-27T17:37:36,C,144,102
2019-03-27T17:45:36,C,144,101
2019-03-27T17:56:58,C,144,104
2019-03-27T18:05:36,C,144,104
2019-03-27T18:17:15,C,144,102
2019-03-27T18:25:37,C,144,102
2019-03-27T18:37:10,C,144,98
2019-03-27T18:46:23,C,144,99
2019-03-27T18:57:37,C,144,100
2019-03-27T19:07:26,C,144,95
2019-03-27T19:17:37,C,144,92
2019-03-27T19:27:19,C,144,93
2019-03-27T19:37:38,C,144,94
2019-03-27T19:47:04,C,144,90
2019-03-27T19:57:38,C,144,93
2019-03-27T20:06:31,C,144,87
2019-03-27T20:19:06,C,144,83
2019-03-27T20:28:19,C,144,81
2019-03-27T20:38:20,C,144,82
2019-03-27T20:47:12,C,144,81
2019-03-27T20:57:39,C,144,81
2019-03-27T21:07:05,C,144,80
2019-03-27T21:17:39,C,144,80
2019-03-27T21:28:17,C,144,78
2019-03-27T21:37:39,C,144,75
2019-03-27T21:45:39,C,144,73
2019-03-27T21:57:39,C,144,72
2019-03-27T22:05:33,C,144,69
2019-03-27T22:18:09,C,144,72
2019-03-27T22:26:21,C,144,67
2019-03-27T22:38:22,C,144,65
2019-03-27T22:46:15,C,144,65
2019-03-27T22:57:40,C,144,65
2019-03-27T23:08:56,C,144,60
2019-03-27T23:17:41,C,144,60
2019-03-27T23:25:41,C,144,59
2019-03-27T23:38:15,C,144,57
2019-03-27T23:45:41,C,144,59
2019-03-27T23:57:41,C,144,58
2019-03-28T00:09:41,C,144,58
2019-03-28T00:17:41,C,144,57
2019-03-28T00:25:42,C,144,56
2019-03-28T00:38:04,C,144,56
2019-03-28T00:49:12,C,144,55
2019-03-28T00:59:13,C,144,54
2019-03-28T01:09:27,C,144,51
2019-03-28T01:17:50,C,144,50
2019-03-28T01:29:42,C,144,47
2019-03-28T01:37:43,C,144,48
2019-03-28T01:45:43,C,144,47
2019-03-28T01:57:46,C,144,47
2019-03-28T02:05:49,C,144,47
2019-03-28T02:19:45,C,144,47
2019-03-28T02:29:50,C,144,47
2019-03-28T02:37:50,C,144,47
2019-03-28T02:49:50,C,144,47
2019-03-28T02:57:50,C,144,47
2019-03-28T03:09:50,C,144,46
2019-03-28T03:17:50,C,144,46
2019-03-28T03:29:50,C,144,46
2019-03-28T03:37:50,C,144,46
2019-03-28T03:47:17,C,144,45
2019-03-28T03:57:51,C,144,44
2019-03-28T04:09:51,C,144,45
2019-03-28T04:17:51,C,144,46
2019-03-28T04:29:51,C,144,45
2019-03-28T04:41:34,C,144,46
2019-03-28T04:49:51,C,144,46
2019-03-28T04:57:52,C,144,45
2019-03-28T05:09:52,C,144,46
2019-03-28T05:17:52,C,144,46
2019-03-28T05:30:53,C,144,47
2019-03-28T05:37:52,C,144,49
2019-03-28T05:49:52,C,144,49
2019-03-28T05:57:52,C,144,51
2019-03-28T06:09:52,C,144,54
2019-03-28T06:19:25,C,144,61
2019-03-28T06:30:38,C,144,61
2019-03-28T06:37:53,C,144,61
2019-03-28T06:49:53,C,144,64
2019-03-28T06:59:45,C,144,72
2019-03-28T07:09:53,C,144,72
2019-03-28T07:20:10,C,144,74
2019-03-28T07:29:54,C,144,77
2019-03-28T07:39:39,C,144,80
2019-03-28T07:51:02,C,144,88
2019-03-28T08:00:39,C,144,88
2019-03-28T08:11:08,C,144,92
2019-03-28T08:18:41,C,144,90
2019-03-28T08:29:54,C,144,95
2019-03-28T08:41:29,C,144,99
2019-03-28T08:50:48,C,144,102
2019-03-28T08:57:55,C,144,101
2019-03-28T09:11:01,C,144,104
2019-03-28T09:19:34,C,144,107
2019-03-28T09:29:55,C,144,106
2019-03-28T09:41:55,C,144,103
2019-03-28T09:50:00,C,144,102
2019-03-28T09:57:56,C,144,102
2019-03-28T10:10:17,C,144,106
2019-03-28T10:21:56,C,144,108
2019-03-28T10:32:00,C,144,107
2019-03-28T10:41:08,C,144,107
2019-03-28T10:50:38,C,144,109
2019-03-28T11:01:56,C,144,110
2019-03-28T11:10:25,C,144,107
2019-03-28T11:22:35,C,144,103
