date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:12:51,C,126,114
2019-03-26T12:21:58,C,126,117
2019-03-26T12:32:40,C,126,119
2019-03-26T13:18:17,C,126,123
2019-03-26T13:28:48,C,126,122
2019-03-26T13:38:51,C,126,121
2019-03-26T13:48:53,C,126,122
2019-03-26T13:57:51,C,126,123
2019-03-26T14:08:54,C,126,121
2019-03-26T14:17:41,C,126,118
2019-03-26T14:28:22,C,126,118
2019-03-26T14:38:33,C,126,121
2019-03-26T14:48:50,C,126,123
2019-03-26T14:58:53,C,126,122
2019-03-26T15:08:50,C,126,121
2019-03-26T15:18:01,C,126,121
2019-03-26T15:28:55,C,126,121
2019-03-26T15:38:09,C,126,120
2019-03-26T15:46:56,C,126,117
2019-03-26T15:57:42,C,126,114
2019-03-26T16:07:26,C,126,115
2019-03-26T16:17:46,C,126,112
2019-03-26T16:26:05,C,126,111
2019-03-26T16:37:58,C,126,112
2019-03-26T16:46:59,C,126,113
2019-03-26T16:56:57,C,126,113
2019-03-26T17:04:44,C,126,113
2019-03-26T17:15:33,C,126,114
2019-03-26T17:24:42,C,126,112
2019-03-26T17:33:49,C,126,115
2019-03-26T17:53:51,C,126,114
2019-03-26T18:11:34,C,126,107
2019-03-26T18:21:59,C,126,105
2019-03-26T18:29:58,C,126,103
2019-03-26T18:39:09,C,126,102
2019-03-26T18:49:54,C,126,101
2019-03-26T18:57:49,C,126,103
2019-03-26T19:07:58,C,126,98
2019-03-26T19:15:26,C,126,94
2019-03-26T19:25:58,C,126,96
2019-03-26T19:33:37,C,126,95
2019-03-26T19:43:53,C,126,94
2019-03-26T19:51:52,C,126,93
2019-03-26T20:02:45,C,126,90
2019-03-26T20:11:41,C,126,87
2019-03-26T20:20:47,C,126,85
2019-03-26T20:30:49,C,126,82
2019-03-26T20:39:48,C,126,80
2019-03-26T20:48:53,C,126,81
2019-03-26T20:57:40,C,126,79
2019-03-26T21:07:59,C,126,77
2019-03-26T21:16:26,C,126,72
2019-03-26T21:24:58,C,126,70
2019-03-26T21:35:55,C,126,67
2019-03-26T21:44:57,C,126,66
2019-03-26T21:54:48,C,126,67
2019-03-26T22:04:57,C,126,66
2019-03-26T22:14:58,C,126,62
2019-03-26T22:23:55,C,126,63
2019-03-26T22:34:21,C,126,56
2019-03-26T22:44:48,C,126,54
2019-03-26T22:54:34,C,126,54
2019-03-26T23:03:36,C,126,53
2019-03-26T23:15:33,C,126,51
2019-03-27T00:02:42,C,126,49
2019-03-27T00:12:36,C,126,48
2019-03-27T00:22:09,C,126,47
2019-03-27T00:29:04,C,126,46
2019-03-27T00:42:48,C,126,42
2019-03-27T00:54:09,C,126,42
2019-03-27T01:04:05,C,126,42
2019-03-27T01:14:10,C,126,42
2019-03-27T01:23:47,C,126,42
2019-03-27T01:30:10,C,126,42
2019-03-27T01:43:32,C,126,41
2019-03-27T01:51:48,C,126,41
2019-03-27T02:03:02,C,126,42
2019-03-27T02:10:10,C,126,42
2019-03-27T02:23:22,C,126,42
2019-03-27T02:33:34,C,126,42
2019-03-27T02:42:26,C,126,42
2019-03-27T02:54:11,C,126,42
2019-03-27T03:14:11,C,126,41
2019-03-27T03:22:11,C,126,41
2019-03-27T03:32:35,C,126,41
2019-03-27T03:42:12,C,126,41
2019-03-27T03:54:12,C,126,41
2019-03-27T04:04:20,C,126,40
2019-03-27T04:11:19,C,126,40
2019-03-27T04:23:07,C,126,40
2019-03-27T04:34:12,C,126,40
2019-03-27T04:42:28,C,126,40
2019-03-27T04:54:13,C,126,39
2019-03-27T05:04:32,C,126,40
2019-03-27T05:14:13,C,126,40
2019-03-27T05:23:14,C,126,42
2019-03-27T05:34:58,C,126,44
