date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:11:19,C,10,0
2019-03-26T12:21:52,C,10,1
2019-03-26T12:31:40,C,10,1
2019-03-26T13:17:39,C,10,1
2019-03-26T13:28:31,C,10,0
2019-03-26T13:37:37,C,10,2
2019-03-26T13:47:04,C,10,3
2019-03-26T13:57:55,C,10,4
2019-03-26T14:07:23,C,10,4
2019-03-26T14:17:38,C,10,4
2019-03-26T14:26:32,C,10,1
2019-03-26T14:38:47,C,10,0
2019-03-26T14:47:33,C,10,3
2019-03-26T14:58:35,C,10,7
2019-03-26T15:07:51,C,10,1
2019-03-26T15:18:46,C,10,0
2019-03-26T15:27:23,C,10,0
2019-03-26T15:37:57,C,10,0
2019-03-26T15:47:51,C,10,0
2019-03-26T15:56:25,C,10,0
2019-03-26T16:07:35,C,10,0
2019-03-26T16:17:50,C,10,0
2019-03-26T16:26:51,C,10,3
2019-03-26T16:36:45,C,10,4
2019-03-26T16:45:41,C,10,5
2019-03-26T16:56:49,C,10,4
2019-03-26T17:04:51,C,10,3
2019-03-26T17:15:55,C,10,0
2019-03-26T17:23:58,C,10,4
2019-03-26T17:33:54,C,10,3
2019-03-26T17:53:58,C,10,0
2019-03-26T18:11:23,C,10,0
2019-03-26T18:20:56,C,10,0
2019-03-26T18:29:58,C,10,0
2019-03-26T18:39:49,C,10,0
2019-03-26T18:48:55,C,10,0
2019-03-26T18:57:57,C,10,0
2019-03-26T19:06:36,C,10,0
2019-03-26T19:15:57,C,10,0
2019-03-26T19:25:44,C,10,0
2019-03-26T19:32:49,C,10,0
2019-03-26T19:43:57,C,10,0
2019-03-26T19:51:54,C,10,0
2019-03-26T20:01:51,C,10,0
2019-03-26T20:11:41,C,10,0
2019-03-26T20:20:59,C,10,0
2019-03-26T20:29:58,C,10,0
2019-03-26T20:38:59,C,10,0
2019-03-26T20:47:48,C,10,0
2019-03-26T20:57:51,C,10,0
2019-03-26T21:07:59,C,10,0
2019-03-26T21:16:59,C,10,0
2019-03-26T21:24:58,C,10,0
2019-03-26T21:35:58,C,10,0
2019-03-26T21:44:53,C,10,0
2019-03-26T21:54:56,C,10,0
2019-03-26T22:03:34,C,10,0
2019-03-26T22:13:47,C,10,0
2019-03-26T22:22:57,C,10,0
2019-03-26T22:34:55,C,10,0
2019-03-26T22:43:54,C,10,0
2019-03-26T22:54:57,C,10,0
2019-03-26T23:04:48,C,10,0
2019-03-26T23:15:10,C,10,1
2019-03-27T00:04:12,C,10,1
2019-03-27T00:13:49,C,10,0
2019-03-27T00:23:35,C,10,0
2019-03-27T00:29:50,C,10,0
2019-03-27T00:43:34,C,10,0
2019-03-27T00:54:37,C,10,0
2019-03-27T01:02:28,C,10,0
2019-03-27T01:14:54,C,10,0
2019-03-27T01:25:05,C,10,0
2019-03-27T01:34:08,C,10,0
2019-03-27T01:43:41,C,10,0
2019-03-27T01:53:51,C,10,1
2019-03-27T02:04:32,C,10,1
2019-03-27T02:13:52,C,10,0
2019-03-27T02:22:05,C,10,0
2019-03-27T02:34:54,C,10,0
2019-03-27T02:44:58,C,10,0
2019-03-27T02:56:14,C,10,0
2019-03-27T03:13:53,C,10,1
2019-03-27T03:25:53,C,10,0
2019-03-27T03:33:53,C,10,1
2019-03-27T03:42:19,C,10,0
2019-03-27T03:55:56,C,10,0
2019-03-27T04:05:54,C,10,4
2019-03-27T04:15:13,C,10,2
2019-03-27T04:23:06,C,10,4
2019-03-27T04:33:55,C,10,4
2019-03-27T04:43:37,C,10,4
2019-03-27T04:55:00,C,10,5
2019-03-27T05:05:55,C,10,5
2019-03-27T05:15:04,C,10,4
2019-03-27T05:24:00,C,10,4
2019-03-27T05:35:28,C,10,3
2019-03-27T05:45:56,C,10,4
2019-03-27T05:55:47,C,10,1
2019-03-27T06:03:55,C,10,1
2019-03-27T06:14:46,C,10,3
2019-03-27T06:24:57,C,10,3
2019-03-27T06:32:54,C,10,4
2019-03-27T06:39:55,C,10,4
2019-03-27T06:48:49,C,10,3
2019-03-27T06:58:58,C,10,1
2019-03-27T07:07:58,C,10,3
2019-03-27T07:16:44,C,10,1
2019-03-27T07:25:58,C,10,0
2019-03-27T07:34:58,C,10,0
2019-03-27T07:43:50,C,10,1
2019-03-27T07:53:59,C,10,0
2019-03-27T08:01:59,C,10,2
2019-03-27T08:25:07,C,10,0
2019-03-27T08:34:55,C,10,2
2019-03-27T08:43:52,C,10,3
2019-03-27T08:52:59,C,10,2
2019-03-27T09:03:57,C,10,1
2019-03-27T09:12:55,C,10,4
2019-03-27T09:21:44,C,10,3
2019-03-27T09:31:45,C,10,3
2019-03-27T09:39:52,C,10,1
2019-03-27T09:50:29,C,10,2
2019-03-27T10:00:33,C,10,6
2019-03-27T10:11:59,C,10,3
2019-03-27T10:21:09,C,10,2
2019-03-27T10:29:56,C,10,0
2019-03-27T10:41:50,C,10,1
2019-03-27T10:51:38,C,10,2
2019-03-27T11:01:53,C,10,0
2019-03-27T11:11:08,C,10,2
2019-03-27T11:22:59,C,10,2
2019-03-27T11:32:38,C,10,2
2019-03-27T11:42:33,C,10,3
2019-03-27T11:53:51,C,10,2
2019-03-27T12:02:57,C,10,1
2019-03-27T12:12:19,C,10,3
2019-03-27T12:23:59,C,10,3
2019-03-27T12:32:12,C,10,2
2019-03-27T12:43:53,C,10,0
2019-03-27T12:52:59,C,10,0
2019-03-27T13:03:57,C,10,2
2019-03-27T13:11:29,C,10,3
2019-03-27T13:23:10,C,10,0
2019-03-27T13:32:44,C,10,1
2019-03-27T13:43:53,C,10,3
2019-03-27T13:52:58,C,10,3
2019-03-27T14:03:32,C,10,4
2019-03-27T14:12:38,C,10,0
2019-03-27T14:22:59,C,10,0
2019-03-27T14:33:53,C,10,0
2019-03-27T14:42:18,C,10,3
2019-03-27T14:51:29,C,10,4
2019-03-27T15:02:33,C,10,4
2019-03-27T15:13:59,C,10,4
2019-03-27T15:21:53,C,10,1
2019-03-27T15:33:53,C,10,1
2019-03-27T15:42:24,C,10,0
2019-03-27T15:53:49,C,10,0
2019-03-27T16:02:36,C,10,0
2019-03-27T16:12:53,C,10,0
2019-03-27T16:23:56,C,10,0
2019-03-27T16:33:58,C,10,0
2019-03-27T16:42:49,C,10,0
2019-03-27T16:52:20,C,10,0
2019-03-27T17:01:43,C,10,0
2019-03-27T17:11:56,C,10,0
2019-03-27T17:19:56,C,10,0
2019-03-27T17:30:56,C,10,0
2019-03-27T17:38:53,C,10,0
2019-03-27T17:47:54,C,10,0
2019-03-27T17:58:46,C,10,0
2019-03-27T18:05:41,C,10,0
2019-03-27T18:15:58,C,10,0
2019-03-27T18:24:57,C,10,0
2019-03-27T18:33:55,C,10,0
2019-03-27T18:43:47,C,10,0
2019-03-27T19:07:59,C,10,0
2019-03-27T19:16:58,C,10,0
2019-03-27T19:25:54,C,10,0
2019-03-27T19:34:19,C,10,0
2019-03-27T19:43:54,C,10,0
2019-03-27T19:53:53,C,10,0
2019-03-27T20:01:07,C,10,0
2019-03-27T20:12:54,C,10,0
2019-03-27T20:21:46,C,10,0
2019-03-27T20:29:48,C,10,0
2019-03-27T20:38:53,C,10,0
2019-03-27T20:48:56,C,10,0
2019-03-27T20:57:55,C,10,0
2019-03-27T21:07:45,C,10,0
2019-03-27T21:16:37,C,10,0
2019-03-27T21:26:53,C,10,0
2019-03-27T21:35:44,C,10,0
2019-03-27T21:46:56,C,10,0
2019-03-27T21:54:44,C,10,0
2019-03-27T22:04:54,C,10,0
2019-03-27T22:14:54,C,10,0
2019-03-27T22:24:36,C,10,0
2019-03-27T22:33:21,C,10,0
2019-03-27T22:43:56,C,10,0
2019-03-27T22:53:46,C,10,0
2019-03-27T23:04:01,C,10,0
2019-03-27T23:14:15,C,10,0
2019-03-27T23:25:56,C,10,0
2019-03-27T23:36:53,C,10,0
2019-03-27T23:47:57,C,10,0
2019-03-28T00:08:53,C,10,0
2019-03-28T00:19:03,C,10,0
2019-03-28T00:30:28,C,10,1
2019-03-28T00:38:52,C,10,0
2019-03-28T00:48:46,C,10,0
2019-03-28T00:59:29,C,10,0
2019-03-28T01:10:17,C,10,0
2019-03-28T01:18:29,C,10,0
2019-03-28T01:30:18,C,10,0
2019-03-28T01:38:18,C,10,0
2019-03-28T01:49:49,C,10,0
2019-03-28T02:00:23,C,10,0
2019-03-28T02:09:48,C,10,0
2019-03-28T02:20:51,C,10,0
2019-03-28T02:30:19,C,10,0
2019-03-28T02:40:39,C,10,0
2019-03-28T02:50:19,C,10,0
2019-03-28T02:59:42,C,10,0
2019-03-28T03:10:54,C,10,0
2019-03-28T03:18:59,C,10,0
2019-03-28T03:30:20,C,10,0
2019-03-28T03:39:48,C,10,0
2019-03-28T03:50:20,C,10,0
2019-03-28T03:59:15,C,10,0
2019-03-28T04:10:32,C,10,1
2019-03-28T04:18:32,C,10,1
2019-03-28T04:30:32,C,10,0
2019-03-28T04:42:13,C,10,0
2019-03-28T04:50:32,C,10,2
2019-03-28T05:02:07,C,10,1
2019-03-28T05:10:18,C,10,2
2019-03-28T05:19:49,C,10,2
2019-03-28T05:31:54,C,10,0
2019-03-28T05:41:33,C,10,0
2019-03-28T05:50:33,C,10,0
2019-03-28T06:00:51,C,10,0
2019-03-28T06:10:39,C,10,0
2019-03-28T06:19:15,C,10,0
2019-03-28T06:29:56,C,10,0
2019-03-28T06:34:35,C,10,0
2019-03-28T06:45:57,C,10,0
2019-03-28T06:54:59,C,10,0
2019-03-28T07:03:55,C,10,0
2019-03-28T07:13:52,C,10,0
2019-03-28T07:22:57,C,10,0
2019-03-28T07:30:59,C,10,0
2019-03-28T07:40:57,C,10,0
2019-03-28T07:48:54,C,10,0
2019-03-28T07:58:47,C,10,0
2019-03-28T08:08:57,C,10,0
2019-03-28T08:17:57,C,10,0
2019-03-28T08:26:44,C,10,0
2019-03-28T08:35:44,C,10,0
2019-03-28T08:45:56,C,10,0
2019-03-28T08:55:24,C,10,0
2019-03-28T09:04:32,C,10,0
2019-03-28T09:13:47,C,10,0
2019-03-28T09:24:27,C,10,1
2019-03-28T09:34:59,C,10,0
2019-03-28T09:43:29,C,10,0
2019-03-28T09:53:49,C,10,0
2019-03-28T10:05:54,C,10,0
2019-03-28T10:14:59,C,10,0
2019-03-28T10:22:39,C,10,1
2019-03-28T10:32:29,C,10,1
2019-03-28T10:42:40,C,10,0
2019-03-28T10:52:19,C,10,0
2019-03-28T11:02:59,C,10,1
2019-03-28T11:14:53,C,10,0
2019-03-28T11:23:52,C,10,0
2019-03-28T11:33:31,C,10,0
2019-03-28T11:44:27,C,10,1
2019-03-28T11:53:57,C,10,0
2019-03-28T12:04:55,C,10,0
2019-03-28T12:14:58,C,10,0
2019-03-28T12:24:40,C,10,0
2019-03-28T12:35:57,C,10,0
2019-03-28T12:44:40,C,10,0
2019-03-28T12:54:42,C,10,0
2019-03-28T13:04:58,C,10,0
2019-03-28T13:14:42,C,10,0
2019-03-28T13:23:53,C,10,0
2019-03-28T13:34:54,C,10,0
2019-03-28T13:43:53,C,10,0
2019-03-28T13:54:43,C,10,0
