date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:02,C,68,49
2019-03-26T13:09:54,C,68,49
2019-03-26T13:19:37,C,68,48
2019-03-26T13:29:53,C,68,51
2019-03-26T13:40:13,C,68,52
2019-03-26T13:49:33,C,68,52
2019-03-26T13:59:31,C,68,48
2019-03-26T14:07:39,C,68,49
2019-03-26T14:20:23,C,68,46
2019-03-26T14:31:02,C,68,45
2019-03-26T14:40:05,C,68,44
2019-03-26T14:51:02,C,68,46
2019-03-26T14:59:02,C,68,50
2019-03-26T15:11:40,C,68,47
2019-03-26T15:19:02,C,68,50
2019-03-26T15:30:17,C,68,44
2019-03-26T15:39:20,C,68,47
2019-03-26T15:51:02,C,68,46
2019-03-26T15:59:39,C,68,46
2019-03-26T16:07:35,C,68,42
2019-03-26T16:20:30,C,68,41
2019-03-26T16:29:17,C,68,41
2019-03-26T16:41:26,C,68,42
2019-03-26T16:51:33,C,68,43
2019-03-26T17:01:56,C,68,42
2019-03-26T17:11:12,C,68,47
2019-03-26T17:19:30,C,68,47
2019-03-26T17:30:38,C,68,48
2019-03-26T17:41:25,C,68,48
2019-03-26T17:51:38,C,68,46
2019-03-26T18:11:49,C,68,40
2019-03-26T18:32:24,C,68,34
2019-03-26T18:41:31,C,68,37
2019-03-26T18:51:42,C,68,38
2019-03-26T18:59:17,C,68,39
2019-03-26T19:11:02,C,68,39
2019-03-26T19:20:41,C,68,41
2019-03-26T19:32:48,C,68,38
2019-03-26T19:40:51,C,68,38
2019-03-26T19:53:10,C,68,29
2019-03-26T20:03:03,C,68,32
2019-03-26T20:12:51,C,68,30
2019-03-26T20:21:33,C,68,30
2019-03-26T20:32:50,C,68,23
2019-03-26T20:43:49,C,68,23
2019-03-26T20:54:05,C,68,25
2019-03-26T21:03:03,C,68,28
2019-03-26T21:13:12,C,68,24
2019-03-26T21:21:00,C,68,27
2019-03-26T21:32:22,C,68,28
2019-03-26T21:40:33,C,68,25
2019-03-26T21:51:03,C,68,27
2019-03-26T22:01:24,C,68,26
2019-03-26T22:11:06,C,68,28
2019-03-26T22:23:10,C,68,24
2019-03-26T22:31:03,C,68,23
2019-03-26T22:43:03,C,68,19
2019-03-26T22:52:54,C,68,22
2019-03-26T23:03:03,C,68,24
2019-03-26T23:11:03,C,68,24
2019-03-26T23:23:03,C,68,22
2019-03-26T23:32:53,C,68,23
2019-03-26T23:43:03,C,68,21
2019-03-26T23:52:08,C,68,22
2019-03-27T00:04:21,C,68,22
2019-03-27T00:12:08,C,68,22
2019-03-27T00:22:29,C,68,19
2019-03-27T00:27:03,C,68,19
2019-03-27T00:43:30,C,68,20
2019-03-27T00:51:03,C,68,21
2019-03-27T01:04:05,C,68,19
2019-03-27T01:13:36,C,68,19
2019-03-27T01:23:03,C,68,21
2019-03-27T01:31:03,C,68,20
2019-03-27T01:43:03,C,68,20
2019-03-27T01:55:03,C,68,20
2019-03-27T02:03:03,C,68,22
2019-03-27T02:14:12,C,68,21
2019-03-27T02:23:03,C,68,22
2019-03-27T02:31:03,C,68,23
2019-03-27T02:43:03,C,68,22
2019-03-27T02:55:03,C,68,21
2019-03-27T03:15:03,C,68,21
2019-03-27T03:23:03,C,68,20
2019-03-27T03:34:23,C,68,19
2019-03-27T03:44:07,C,68,19
2019-03-27T03:55:03,C,68,15
2019-03-27T04:03:03,C,68,17
2019-03-27T04:11:03,C,68,17
2019-03-27T04:23:03,C,68,17
2019-03-27T04:35:03,C,68,17
2019-03-27T04:43:40,C,68,16
2019-03-27T04:55:03,C,68,16
2019-03-27T05:03:03,C,68,16
2019-03-27T05:15:03,C,68,16
2019-03-27T05:23:03,C,68,16
2019-03-27T05:35:03,C,68,16
2019-03-27T05:43:03,C,68,17
2019-03-27T05:55:03,C,68,19
2019-03-27T06:05:29,C,68,18
2019-03-27T06:15:03,C,68,18
2019-03-27T06:24:29,C,68,17
2019-03-27T06:35:03,C,68,18
2019-03-27T06:43:03,C,68,21
2019-03-27T06:53:45,C,68,25
2019-03-27T07:05:59,C,68,29
2019-03-27T07:15:39,C,68,33
2019-03-27T07:24:15,C,68,35
2019-03-27T07:34:54,C,68,34
2019-03-27T07:44:52,C,68,34
2019-03-27T07:55:45,C,68,32
2019-03-27T08:05:44,C,68,36
