date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:19,C,421,369
2019-03-26T13:10:50,C,421,368
2019-03-26T13:20:50,C,421,371
2019-03-26T13:29:49,C,421,370
2019-03-26T13:39:50,C,421,369
2019-03-26T13:50:20,C,421,368
2019-03-26T14:00:20,C,421,370
2019-03-26T14:10:20,C,421,368
2019-03-26T14:19:21,C,421,374
2019-03-26T14:30:51,C,421,369
2019-03-26T14:40:52,C,421,370
2019-03-26T14:50:52,C,421,368
2019-03-26T15:00:22,C,421,366
2019-03-26T15:11:22,C,421,368
2019-03-26T15:20:23,C,421,366
2019-03-26T15:31:24,C,421,367
2019-03-26T15:40:57,C,421,367
2019-03-26T15:51:53,C,421,364
2019-03-26T15:59:54,C,421,366
2019-03-26T16:10:26,C,421,366
2019-03-26T16:21:24,C,421,363
2019-03-26T16:31:24,C,421,363
2019-03-26T16:41:25,C,421,353
2019-03-26T16:51:56,C,421,359
2019-03-26T17:01:58,C,421,358
2019-03-26T17:10:56,C,421,353
2019-03-26T17:20:57,C,421,354
2019-03-26T17:31:27,C,421,356
2019-03-26T17:41:27,C,421,354
2019-03-26T17:51:28,C,421,353
2019-03-26T18:12:58,C,421,343
2019-03-26T18:31:59,C,421,328
2019-03-26T18:42:30,C,421,328
2019-03-26T18:52:28,C,421,319
2019-03-26T19:02:29,C,421,322
2019-03-26T19:14:01,C,421,320
2019-03-26T19:22:00,C,421,313
2019-03-26T19:33:00,C,421,302
2019-03-26T19:42:03,C,421,300
2019-03-26T19:53:31,C,421,295
2019-03-26T20:02:31,C,421,290
2019-03-26T20:13:30,C,421,283
2019-03-26T20:22:31,C,421,280
2019-03-26T20:34:01,C,421,275
2019-03-26T20:43:01,C,421,272
2019-03-26T20:53:02,C,421,262
2019-03-26T21:03:33,C,421,257
2019-03-26T21:13:32,C,421,248
2019-03-26T21:22:32,C,421,243
2019-03-26T21:33:33,C,421,241
2019-03-26T21:43:03,C,421,232
2019-03-26T21:54:03,C,421,234
2019-03-26T22:02:05,C,421,237
2019-03-26T22:13:04,C,421,233
2019-03-26T22:23:34,C,421,230
2019-03-26T22:33:34,C,421,228
2019-03-26T22:43:34,C,421,224
2019-03-26T22:54:06,C,421,219
2019-03-26T23:03:05,C,421,222
2019-03-26T23:14:06,C,421,218
2019-03-26T23:24:06,C,421,218
2019-03-26T23:34:36,C,421,214
2019-03-26T23:44:37,C,421,214
2019-03-26T23:54:37,C,421,216
2019-03-27T00:04:37,C,421,213
2019-03-27T00:14:07,C,421,213
2019-03-27T00:23:09,C,421,211
2019-03-27T00:30:09,C,421,208
2019-03-27T00:43:08,C,421,204
2019-03-27T00:54:38,C,421,208
2019-03-27T01:04:39,C,421,208
2019-03-27T01:14:42,C,421,209
2019-03-27T01:25:09,C,421,208
2019-03-27T01:35:09,C,421,209
2019-03-27T01:44:10,C,421,206
2019-03-27T01:54:10,C,421,205
2019-03-27T02:04:41,C,421,203
2019-03-27T02:14:40,C,421,201
2019-03-27T02:24:40,C,421,203
2019-03-27T02:34:41,C,421,203
2019-03-27T02:45:11,C,421,199
2019-03-27T02:55:11,C,421,201
2019-03-27T03:15:12,C,421,201
2019-03-27T03:25:42,C,421,202
2019-03-27T03:34:45,C,421,202
2019-03-27T03:45:43,C,421,201
2019-03-27T03:56:13,C,421,202
2019-03-27T04:05:13,C,421,206
2019-03-27T04:14:13,C,421,206
2019-03-27T04:24:13,C,421,205
2019-03-27T04:35:44,C,421,204
2019-03-27T04:44:44,C,421,204
2019-03-27T04:55:44,C,421,206
2019-03-27T05:05:53,C,421,206
2019-03-27T05:15:53,C,421,205
2019-03-27T05:25:23,C,421,204
2019-03-27T05:35:24,C,421,204
2019-03-27T05:45:24,C,421,206
2019-03-27T05:55:54,C,421,207
2019-03-27T06:05:54,C,421,209
2019-03-27T06:15:55,C,421,213
2019-03-27T06:25:55,C,421,220
2019-03-27T06:35:25,C,421,225
2019-03-27T06:45:26,C,421,239
2019-03-27T06:55:26,C,421,250
2019-03-27T07:05:26,C,421,258
2019-03-27T07:16:57,C,421,272
2019-03-27T07:25:57,C,421,285
2019-03-27T07:34:57,C,421,285
2019-03-27T07:44:59,C,421,293
2019-03-27T07:55:29,C,421,300
2019-03-27T08:06:29,C,421,300
2019-03-27T08:15:29,C,421,311
2019-03-27T08:25:59,C,421,316
2019-03-27T08:35:59,C,421,315
2019-03-27T08:44:59,C,421,323
2019-03-27T08:55:31,C,421,328
2019-03-27T09:06:30,C,421,337
2019-03-27T09:16:30,C,421,334
2019-03-27T09:25:30,C,421,336
2019-03-27T09:37:01,C,421,338
2019-03-27T09:46:01,C,421,338
2019-03-27T09:56:01,C,421,338
2019-03-27T10:06:31,C,421,339
2019-03-27T10:16:32,C,421,344
2019-03-27T10:26:32,C,421,348
2019-03-27T10:35:32,C,421,353
2019-03-27T10:47:03,C,421,352
2019-03-27T10:57:02,C,421,347
2019-03-27T11:06:03,C,421,353
2019-03-27T11:16:03,C,421,352
2019-03-27T11:26:33,C,421,353
2019-03-27T11:36:33,C,421,350
2019-03-27T11:46:34,C,421,354
2019-03-27T11:58:04,C,421,354
2019-03-27T12:07:05,C,421,354
2019-03-27T12:17:05,C,421,349
2019-03-27T12:27:05,C,421,354
2019-03-27T12:36:35,C,421,353
2019-03-27T12:47:35,C,421,350
2019-03-27T12:56:35,C,421,350
2019-03-27T13:07:36,C,421,350
2019-03-27T13:17:06,C,421,351
2019-03-27T13:27:06,C,421,356
2019-03-27T13:36:06,C,421,350
2019-03-27T13:47:37,C,421,351
2019-03-27T13:56:37,C,421,350
2019-03-27T14:07:37,C,421,349
2019-03-27T14:16:37,C,421,350
2019-03-27T14:28:07,C,421,345
2019-03-27T14:38:08,C,421,354
2019-03-27T14:47:08,C,421,352
2019-03-27T14:56:08,C,421,353
2019-03-27T15:07:37,C,421,352
2019-03-27T15:17:38,C,421,351
2019-03-27T15:26:38,C,421,352
2019-03-27T15:38:08,C,421,354
2019-03-27T15:48:08,C,421,354
2019-03-27T15:57:08,C,421,353
2019-03-27T16:07:08,C,421,355
2019-03-27T16:17:38,C,421,352
2019-03-27T16:28:38,C,421,350
2019-03-27T16:38:38,C,421,345
2019-03-27T16:48:38,C,421,342
2019-03-27T16:59:07,C,421,342
2019-03-27T17:08:08,C,421,345
2019-03-27T17:18:08,C,421,347
2019-03-27T17:27:38,C,421,349
2019-03-27T17:38:38,C,421,347
2019-03-27T17:47:39,C,421,347
2019-03-27T17:57:38,C,421,339
2019-03-27T18:09:09,C,421,333
2019-03-27T18:17:08,C,421,332
2019-03-27T18:27:08,C,421,330
2019-03-27T18:37:38,C,421,323
2019-03-27T18:48:39,C,421,323
2019-03-27T18:58:38,C,421,314
2019-03-27T19:08:39,C,421,308
2019-03-27T19:19:08,C,421,306
2019-03-27T19:28:11,C,421,302
2019-03-27T19:38:08,C,421,298
2019-03-27T19:48:38,C,421,295
2019-03-27T19:58:38,C,421,290
2019-03-27T20:08:38,C,421,284
2019-03-27T20:19:38,C,421,277
2019-03-27T20:29:11,C,421,271
2019-03-27T20:38:10,C,421,275
2019-03-27T20:48:11,C,421,272
2019-03-27T20:58:41,C,421,269
2019-03-27T21:08:40,C,421,261
2019-03-27T21:18:41,C,421,261
2019-03-27T21:28:41,C,421,259
2019-03-27T21:39:11,C,421,250
2019-03-27T21:48:11,C,421,243
2019-03-27T21:59:11,C,421,234
2019-03-27T22:08:41,C,421,230
2019-03-27T22:18:41,C,421,225
2019-03-27T22:29:40,C,421,227
2019-03-27T22:39:41,C,421,224
2019-03-27T22:49:11,C,421,225
2019-03-27T22:59:10,C,421,222
2019-03-27T23:09:11,C,421,219
2019-03-27T23:19:11,C,421,220
2019-03-27T23:28:41,C,421,215
2019-03-27T23:39:41,C,421,217
2019-03-27T23:49:40,C,421,214
2019-03-28T00:00:12,C,421,211
2019-03-28T00:10:11,C,421,211
2019-03-28T00:19:11,C,421,209
2019-03-28T00:29:11,C,421,209
2019-03-28T00:39:41,C,421,209
2019-03-28T00:49:41,C,421,206
2019-03-28T00:59:41,C,421,206
2019-03-28T01:11:11,C,421,208
2019-03-28T01:21:11,C,421,207
2019-03-28T01:30:11,C,421,207
2019-03-28T01:39:11,C,421,205
2019-03-28T01:49:41,C,421,203
2019-03-28T02:00:41,C,421,203
2019-03-28T02:09:41,C,421,201
2019-03-28T02:20:41,C,421,200
2019-03-28T02:31:11,C,421,199
2019-03-28T02:40:11,C,421,198
2019-03-28T02:50:11,C,421,196
2019-03-28T02:59:42,C,421,193
2019-03-28T03:10:41,C,421,194
2019-03-28T03:19:41,C,421,195
2019-03-28T03:30:41,C,421,193
2019-03-28T03:41:11,C,421,193
2019-03-28T03:50:11,C,421,193
2019-03-28T04:00:12,C,421,194
2019-03-28T04:10:12,C,421,209
2019-03-28T04:21:42,C,421,209
2019-03-28T04:30:42,C,421,209
2019-03-28T04:41:45,C,421,208
2019-03-28T04:51:12,C,421,209
2019-03-28T05:01:11,C,421,208
2019-03-28T05:10:12,C,421,207
2019-03-28T05:21:13,C,421,208
2019-03-28T05:31:43,C,421,208
2019-03-28T05:40:43,C,421,210
2019-03-28T05:51:46,C,421,210
2019-03-28T06:00:47,C,421,215
2019-03-28T06:12:14,C,421,219
2019-03-28T06:20:14,C,421,222
2019-03-28T06:30:14,C,421,232
2019-03-28T06:40:45,C,421,243
2019-03-28T06:51:45,C,421,253
2019-03-28T07:00:46,C,421,260
2019-03-28T07:11:47,C,421,271
2019-03-28T07:22:17,C,421,289
2019-03-28T07:31:17,C,421,296
2019-03-28T07:41:17,C,421,305
2019-03-28T07:51:47,C,421,314
2019-03-28T08:01:48,C,421,319
2019-03-28T08:11:48,C,421,325
2019-03-28T08:21:50,C,421,327
2019-03-28T08:31:18,C,421,337
2019-03-28T08:41:20,C,421,337
2019-03-28T08:51:19,C,421,340
2019-03-28T09:00:50,C,421,342
2019-03-28T09:12:50,C,421,348
2019-03-28T09:21:50,C,421,351
2019-03-28T09:31:50,C,421,350
2019-03-28T09:42:20,C,421,354
2019-03-28T09:52:20,C,421,349
2019-03-28T10:01:21,C,421,357
2019-03-28T10:11:20,C,421,355
2019-03-28T10:22:51,C,421,357
2019-03-28T10:32:52,C,421,351
2019-03-28T10:42:51,C,421,353
2019-03-28T10:51:52,C,421,354
2019-03-28T11:02:23,C,421,353
2019-03-28T11:11:22,C,421,360
2019-03-28T11:22:23,C,421,356
2019-03-28T11:32:53,C,421,358
2019-03-28T11:42:53,C,421,358
2019-03-28T11:52:54,C,421,355
2019-03-28T12:02:54,C,421,360
2019-03-28T12:12:24,C,421,357
2019-03-28T12:22:25,C,421,358
2019-03-28T12:32:26,C,421,358
2019-03-28T12:42:25,C,421,357
2019-03-28T12:52:56,C,421,358
2019-03-28T13:02:55,C,421,358
2019-03-28T13:12:56,C,421,359
2019-03-28T13:22:27,C,421,359
2019-03-28T13:32:28,C,421,357
2019-03-28T13:42:26,C,421,358
2019-03-28T13:52:27,C,421,355
2019-03-28T14:02:57,C,421,361
2019-03-28T14:13:57,C,421,358
